MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,0.0,,,,,,,0.0,,,,CID779196,O=C(O)c1ccc(Br)c(S(=O)(=O)N2CCCC2)c1
,,,,,,,,,0.0,,0.0,,0.0,,,,CID787672,CC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
,,,,,0.0,,,,,,,,,,,,CID2669474,COc1ccc(C(=O)NC(C)(C)C)cc1S(=O)(=O)N1CCCC1
0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,CID535805,Nc1ccc(S(=O)(=O)N2CCCC2)cc1
,,,,,0.0,,,,0.0,,,,,,,,CID788064,NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
,,0.0,0.0,,,,,,,,,0.0,,,,,CID2947888,CNC(=O)C1CCCN1S(=O)(=O)c1ccc(OC)cc1
,,,,,,,,,,,,,0.0,,,,CID1217305,Cc1ccc(S(=O)(=O)N2CCCC2)cc1C(=O)O
,,,,,,,,,0.0,,,,,,,,CID970422,COc1ccc(Cl)cc1S(=O)(=O)N1CCCC1
0.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,CID1259406,COc1cc(C)c(Br)cc1S(=O)(=O)N1CCCC1
,,,,,,,,,,,,,0.0,,,,CID859908,CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
,,,,,,,,0.0,0.0,,,,0.0,,,,CID859907,CN(C)S(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
,,,,,,,,,,,0.0,,,,,,CID832746,CCCC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1
,,,,,,,,,,,,,0.0,,,,CID850046,COc1cc(C)c(Cl)cc1S(=O)(=O)N1CCCC1
,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,,,CID970938,COc1ccc(S(=O)(=O)N2CCCC2)c(C)c1C
,,,,,,,,,,,,,0.0,,,,CID970153,CCOc1cc(S(=O)(=O)N2CCCC2)c(C)cc1C
,,,,,,,,,,,0.0,,0.0,,,,CID858146,Cc1ccc(C(=O)O)cc1S(=O)(=O)N1CCCC1
