MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,0.0,,0.0,,,,,,,CID2189062,CCCNC(=O)C1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
,,,,,,,,,0.0,,,,,,,0.0,CID652036,CC(C)(C)C(=O)NC1CCN(S(=O)(=O)c2ccccc2F)CC1
,,,,,,,,0.0,,,,,,,,,CID870722,O=S(=O)(c1cc(Cl)ccc1Br)N1CCCCC1
,0.0,,,0.0,,0.0,,,,,,,,,0.0,,CID756572,COc1cc(S(=O)(=O)N2CCC(C(N)=O)CC2)c(C)cc1C
,,,,,,,,0.0,,,,,,,0.0,,CID2980753,NC(=O)C1CCCN(S(=O)(=O)c2ccc(Br)cc2)C1
,,,,,,,,,,,,,0.0,,,,CID2426629,N#C/C(=N\Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)C(N)=S
,,,,,,,,0.0,,,,,,,,,CID2983260,CCOC(=O)C1CCCN(S(=O)(=O)c2ccc(Br)c(OC)c2)C1
0.0,,,,,,,,0.0,,,,,,0.0,0.0,,CID2296299,C=CCNC(=O)C1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,CID2192390,CN(C)CCCNc1cc(Cl)c(S(=O)(=O)N2CCCCC2)cc1C(=O)O
,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,CID3238512,COC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)ccc1F
,,,,,,,,0.0,,,0.0,,,0.0,,,CID2842864,CC1CCN(S(=O)(=O)c2cccc(C(=O)O)c2)CC1
,,,,,,,,,,,,,0.0,,,,CID737840,Cc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1
,,,0.0,,,,0.0,,,,,,,,0.0,0.0,CID3240407,CCCCCNC(=O)c1cc(S(=O)(=O)N2CCCCC2)ccc1F
,,,,,,,,0.0,,,0.0,,,,,,CID3156759,CCCC(C)NC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1
,,,,,,,,,0.0,0.0,,,0.0,,,,CID934597,CCOc1cc(S(=O)(=O)N2CCC(C(N)=O)CC2)ccc1F
,,,0.0,0.0,,,,,,,,0.0,,,,0.0,CID650491,CC1CCN(S(=O)(=O)c2ccc(S(=O)(=O)NCC(=O)C(C)(C)C)cc2)CC1
0.0,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,CID2843095,NC(=O)c1ccc(Br)c(S(=O)(=O)N2CCCCC2)c1
,,,,,,0.0,,0.0,,,,,,,,0.0,CID1258440,COc1ccc(S(=O)(=O)N2CCCCC2)cc1C(C)C
,,,,,,,,0.0,,,,,,,0.0,,CID772156,O=S(=O)(c1ccc(Cl)cc1Br)N1CCCCC1
,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,,CID655564,CCNC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1
,,,,,,0.0,,0.0,,,,,,,,,CID3240637,COc1ccc(S(=O)(=O)N2CCCCC2C(=O)O)cc1OC
,,,,0.0,,,0.0,0.0,,,,0.0,,,,,CID2951996,Cc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1C(=O)O
,,,,,,,,,,,,,0.0,,,,CID2512509,CC(=O)c1cccc(S(=O)(=O)N2CCC(C(=O)O)CC2)c1
,,,,,,,,,,,,,0.0,,,,CID1143554,COc1cc(S(=O)(=O)N2CCCCC2)c(OC)cc1Br
,,,,,,,,,,,,,0.0,,,,CID976573,CCOc1ccc(S(=O)(=O)N2CCCCC2)c(C)c1C
,,,,,,,,0.0,0.0,,,,,,,,CID2904830,CCOC(=O)C1CCCN(S(=O)(=O)c2ccc(OC)cc2)C1
,,,,,,,,,,,0.0,,,,,,CID848330,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(OCC)cc2)CC1
,,,,,,,,0.0,,,,,,,0.0,,CID1258929,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(Br)c(OCC)c2)CC1
,,,,,,,,,,,,,0.0,0.0,,,CID2842628,Cc1ccc(S(=O)(=O)N2CCC(C)CC2)cc1[N+](=O)[O-]
,,,,,,,,0.0,,,0.0,,,,,,CID737721,COC(=O)C1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1
0.0,,,,0.0,,,,,0.0,,,,,,,,CID646229,CC(C)(C)C(=O)NC1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1
,,,,,,,,0.0,0.0,,,,0.0,,,,CID975257,Cc1ccc(S(=O)(=O)N2CCC(C(N)=O)CC2)c(C)c1C
,,,,,,,,0.0,,,,,,,,,CID2770157,O=C(O)C1CCCN(S(=O)(=O)c2ccc(Br)cc2)C1
,,,,,,,,0.0,0.0,,,,0.0,,,,CID818681,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
,0.0,,0.0,,,,,,0.0,,,,0.0,,,,CID310129,CC1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
,,,,,,,,,,,,,0.0,,,,CID796971,O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1
,,,,,,,,,,,,,0.0,,,,CID2378712,CCOc1ccc(Br)cc1S(=O)(=O)N1CCC(C(N)=O)CC1
,,,,,,,,,0.0,,,,,,,,CID1296916,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(Cl)cc2OC)CC1
,0.0,,,,,,,,0.0,,,,0.0,,,,CID647466,CCOc1cc(S(=O)(=O)N2CCCCC2)ccc1Cl
,,,0.0,,,0.0,,,,,,,,,0.0,,CID652597,COc1ccc(Cl)cc1S(=O)(=O)N1CCCC(C(=O)NCC(N)=O)C1
,,,,,,,,,,,,,,0.0,,,CID3760804,CC(=O)c1ccc(S(=O)(=O)N2CCCCC2C(=O)O)cc1
