MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,CID257476,O=C(O)c1cccc(S(=O)(=O)N2CCOCC2)c1
,,,,,,,,0.0,,,,,,,,,CID870721,O=S(=O)(c1cc(Cl)ccc1Br)N1CCOCC1
,,,,,,,,0.0,,,,,,,,,CID1798709,CC(C)(C)SCCNC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCOCC2)c1
,,,,,,,,0.0,,,,,,,,,CID1258040,COc1cc(C)c(Br)cc1S(=O)(=O)N1CCOCC1
,,,,,,,,,,,,,0.0,,,,CID793747,CCOC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1
,,,,,,,,,,,,,,,,0.0,CID697921,O=S(=O)(c1ccccc1C(F)(F)F)N1CCOCC1
,,,,,,,,,0.0,,,,,,,,CID1093365,COc1ccc(S(=O)(=O)N2CCOCC2)cc1Cl
,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,CID767897,Cc1ccc(C(=O)O)cc1S(=O)(=O)N1CCOCC1
,,,,0.0,,,,,0.0,,,,,,,,CID674491,CS(=O)(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,0.0,,,,,,,,,CID747368,COc1cc(C)c(C(C)C)cc1S(=O)(=O)N1CCOCC1
,,,,,,,,0.0,0.0,,0.0,,,,,,CID850073,CCOc1ccc(C(C)(C)C)cc1S(=O)(=O)N1CCOCC1
,,,0.0,,,,,0.0,,,,,0.0,,0.0,,CID847895,COc1cc(C)c(S(=O)(=O)N2CCOCC2)cc1C(C)C
,,0.0,0.0,,,0.0,,,0.0,,,,,,,,CID2083498,COc1ccc(C(=O)NCCC(C)C)cc1S(=O)(=O)N1CCOCC1
0.0,,,,,,0.0,,0.0,,,,,0.0,,,,CID2930814,COc1ccc(Br)cc1S(=O)(=O)N1CC(C)OC(C)C1
,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,CID872135,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)O
,,,,,,,,,,,,,0.0,,,,CID776862,COc1ccc(S(=O)(=O)N2CCOCC2)cc1OC
,,,,,,,,,,,,,0.0,0.0,,,CID850074,CCOc1ccc(C(C)C)cc1S(=O)(=O)N1CCOCC1
,,,,,,,0.0,0.0,,,,,0.0,,,,CID2849564,CC1CN(S(=O)(=O)c2ccccc2)CC(C)O1
,,,,,,,,,,,,,0.0,,0.0,,CID2162909,CCOCC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,0.0,,,,,,,,,,,,0.0,,CID3067696,CCOC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,,CID971646,COc1ccc(S(=O)(=O)N2CCOCC2)cc1C(C)C
,,,,,,,,0.0,,,,,,,,,CID2968838,CCOc1ccc(C(C)(C)C)cc1S(=O)(=O)N1CC(C)OC(C)C1
,,,0.0,,,,,0.0,,,0.0,,,,,,CID655210,COc1cc(S(=O)(=O)N2CCOCC2)ccc1F
,,,,,,,,,0.0,,,,,,,,CID2320116,CCN(CC)C(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,0.0,0.0,,0.0,,,,,,CID1085553,COc1ccc(S(=O)(=O)N2CCOCC2)c(C)c1C
,,,,0.0,,,,0.0,,,,,,,,,CID972838,COC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1C
,,,,,,,,,,,0.0,,,,,,CID2969390,CCOc1cc(Br)ccc1S(=O)(=O)N1CC(C)OC(C)C1
,,,,,,,0.0,0.0,,,,,,,,,CID934719,CCOc1cc(S(=O)(=O)N2CCOCC2)ccc1F
,,,,,,,,,,,,,,0.0,,,CID15945434,CC(C)C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-])C(=O)OCC(N)=O
,,,,,,,0.0,,,,,0.0,,,0.0,,CID847855,COC(=O)NCc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,0.0,0.0,,,,,,,,,CID2981287,CCOc1cc(C)c(C(C)C)cc1S(=O)(=O)N1CC(C)OC(C)C1
,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,CID935156,CCOc1cc(C)c(C(C)C)cc1S(=O)(=O)N1CCOCC1
,,,,,,,,,,,,,,0.0,,,CID88976,CC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,0.0,0.0,,0.0,,0.0,,,,CID801472,COc1cc(C)c(S(=O)(=O)N2CCOCC2)cc1C
0.0,,,,,,0.0,,0.0,,,,,,,0.0,,CID2933068,CCOc1ccc(Br)cc1S(=O)(=O)N1CC(C)OC(C)C1
0.0,,,,,,,,,0.0,,,,,,0.0,,CID2353836,CCCCOC(=O)Nc1ccc(OC)cc1S(=O)(=O)N1CCOCC1
,0.0,0.0,,,,,,,,,0.0,,,,,,CID977826,Cc1cc(S(=O)(=O)N2CCOCC2)ccc1F
,,,,,,,,0.0,,,,,,,,,CID779656,COC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1
,,,,,0.0,,0.0,,,,,0.0,,,,,CID2999657,CCC(C)NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1
,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,0.0,,CID699559,Cc1cc(C(=O)O)cc(S(=O)(=O)N2CCOCC2)c1C
,,,,,,,,,,,0.0,,0.0,,,,CID2322807,O=C(O)CCc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,0.0,,,,,,,,0.0,,,,,,CID2968385,CCC(C)c1cc(S(=O)(=O)N2CCOCC2)ccc1OC
,,,,,,,,0.0,,,,,,0.0,,,CID890650,COc1cccc(S(=O)(=O)N2CCOCC2)c1
,0.0,,0.0,0.0,,,,,,,,,,,0.0,,CID647348,COC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,CID650123,CC(=O)NCCc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,0.0,,,,,0.0,,,,CID775747,COc1ccc(Br)cc1S(=O)(=O)N1CCOCC1
,,,0.0,,,,,0.0,,,,,,,,,CID2949860,Cc1cc(Cl)c(S(=O)(=O)N2CC(C)OC(C)C2)cc1OCC(N)=O
,,,,,,,,,,,0.0,,,,,,CID894294,COc1ccc(S(=O)(=O)N2CCOCC2)c(Cl)c1Cl
,,,,,,,,0.0,,,,,,,,,CID832695,CCCC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,,,,,,0.0,,,,CID4354570,CSCCC(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-])C(=O)OCC(=O)N(C(C)C)C(C)C
,,,,0.0,,0.0,,,,0.0,,,,,,,CID646302,CC#CCN(CC#CC)S(=O)(=O)c1ccc(S(=O)(=O)N2CCOCC2)cc1
,,,,,,,,,,,0.0,,,,,,CID2476157,CCCCN(C)C(=O)c1ccc(S(=O)(=O)N2CCOCC2)cc1
