MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,,,,,0.0,,,,,0.0,,,,CID2989582,COCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C
,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,CID651503,C=CCn1c(Br)nc2c1c(=O)n(C)c(=O)n2C
,,,,,,,0.0,,,,,,0.0,,,,CID652907,CCN(CC)C(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
,0.0,0.0,,,,,0.0,,,,,,,,,,CID712745,Cn1c(=O)c2c(ncn2CC(=O)NC(C)(C)C)n(C)c1=O
,0.0,,,,,,,0.0,,,0.0,,,0.0,,,CID3144847,C=CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CC
,,,,,,,,,,,0.0,,,,,,CID3111694,CCCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C
,,0.0,,,,,,,,,0.0,,,,0.0,,CID650364,CCOCCn1c(SCC)nc2c1c(=O)[nH]c(=O)n2C
,,0.0,,,,0.0,,,,,,,,,,,CID64125,C=CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C
,,,,,,,,0.0,,,,,,,,,CID64127,Cn1c(=O)c2c(nc(Br)n2C)n(C)c1=O
,,,0.0,,,,0.0,,,,,,,,,,CID660194,C=CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCCCC
,0.0,,,,,0.0,,,,,,0.0,,,,,CID654819,CC(C)n1c(SCC(N)=O)nc2c1c(=O)n(C)c(=O)n2C
,0.0,0.0,,,,,,,,,,,,,,,CID5757303,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C/C=C(/C)Cl
,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,CID656226,Cn1c(=O)c2c(ncn2CC(N)=O)n(C)c1=O
,,,0.0,,,,,,,,0.0,0.0,,,0.0,,CID660255,CCOCCn1c(SC)nc2c1c(=O)[nH]c(=O)n2C
,,,,,,0.0,,,,,,,,,,,CID5761858,C/C=C/CSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C
0.0,,,,,,,,0.0,,,,,,,,,CID650519,CC(C)CCn1c(Br)nc2c1c(=O)n(CC(N)=O)c(=O)n2C
,,,,,,,0.0,,,,,,,,,0.0,CID647181,CCCCn1c(SCC(=O)OC)nc2c1c(=O)n(C)c(=O)n2C
,0.0,,,,,,,,,,,,0.0,,,,CID742948,CCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
,,,0.0,,,,,,,,0.0,,,,,,CID802770,C/C(Cl)=C/CSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C
,,,0.0,,,,,,,,,,,,,,CID645186,CCCCCCn1c(SCC(C)C)nc2c1c(=O)[nH]c(=O)n2C
0.0,,,,,,,,0.0,,,,,,,,0.0,CID647322,CCC(=O)OCCn1c(Br)nc2c1c(=O)[nH]c(=O)n2C
0.0,,,,,,,,0.0,,,0.0,,,,0.0,,CID658492,Cn1c(=O)[nH]c(=O)c2c1nc(Br)n2CCCO
,0.0,0.0,0.0,,,,,,,0.0,,,,,,,CID658127,CCC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C
,,,,,,,,,,,,,,0.0,,,CID65681,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C
,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,CID648979,C=CCSc1nc2c(c(=O)n(C)c(=O)n2C)n1CC
,0.0,,0.0,,,,,,,,,,,,,,CID225170,CCn1c(N)nc2c1c(=O)n(C)c(=O)n2C
,0.0,0.0,,,,,0.0,,,,,,,,,,CID3151091,CCCCCCn1c(SCCOC)nc2c1c(=O)[nH]c(=O)n2C
,0.0,,0.0,,,,,,,,,,,,,,CID663837,CC(C)OCCCNc1nc2c([nH]1)c(=O)n(C)c(=O)n2C
,0.0,0.0,,,,,,0.0,,,0.0,,,,,,CID664781,CCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CC
,,,,,,,0.0,,,,,,,,,,CID3758,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21
,,,,,,,,,,,,0.0,,,,,CID101172,Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C
,,0.0,,,,,,,,,,,,,,,CID5742127,C/C=C/Cn1c(SC)nc2c1c(=O)[nH]c(=O)n2C
0.0,,,,,,,,0.0,,,,,,,,0.0,CID657755,C=CC(C)n1c(Br)nc2c1c(=O)[nH]c(=O)n2C
,0.0,,,,,0.0,,,0.0,,,0.0,,,,,CID654051,CC(C)n1c(SCC(N)=O)nc2c1c(=O)[nH]c(=O)n2C
0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,,CID651957,CC(=O)OCCn1c(Br)nc2c1c(=O)[nH]c(=O)n2C
,0.0,,,,,0.0,,,,,,,,,,,CID2962692,CC(CCO)Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C
,0.0,,,,,0.0,0.0,,,,0.0,,,,,,CID853496,CN(C)Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2C
0.0,,,,0.0,,,,,,,,,,,,,CID805886,C/C(Cl)=C/Cn1c(SCC(C)C)nc2c1c(=O)[nH]c(=O)n2C
,,,,,,,,,,,0.0,,,,,,CID350767,CCCCn1cnc2c1c(=O)[nH]c(=O)n2CCCC
,0.0,0.0,,,,,,,,,,,,,,,CID647469,CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C
,,,,,,,,,,,,,,,,0.0,CID1232727,CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1C/C=C(/C)Cl
