MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,0.0,,,,0.0,,0.0,,,0.0,,,,0.0,,CID1091852,Cn1c(=O)n(C)c2cc(C(N)=O)ccc21
,,,,,,,,,,,,,,0.0,,,CID609555,CC(C)(C)NC(=O)Cn1c(=O)n(CC(=O)NC(C)(C)C)c2ccccc21
,,,,,0.0,,,,0.0,,,,0.0,,,,CID1894652,CCCCOC(=O)Cn1c(=O)n(CC(=O)OCCCC)c2ccccc21
,,,,,,,,,,,0.0,,,,,,CID100278,C=C(C)n1c(=O)[nH]c2ccccc21
,,,,,,,,0.0,,,,,,,,,CID2020993,COCCNC(=O)Cn1c(=O)n(C)c2ccccc21
,,,,,,,,,,,,,0.0,,,,CID1484103,CCOC(=O)n1c(=O)n(C)c2ccc(Cl)cc21
,,0.0,,,,,0.0,,,,,,,,,,CID757043,C=CCn1c(=O)n(CC=C)c2c(C)cc(C)cc21
,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,,CID661355,Cn1c(=O)n(CCC(=O)O)c2ccccc21
,,,,,,,,,,,,,0.0,,,,CID2079894,CCCC(=O)OCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
,,0.0,,,,,,,,,,,,,,,CID973024,CC(=O)Nc1ccc2c(c1)n(C)c(=O)n2C
,,,0.0,,,,,0.0,,,0.0,0.0,,,,,CID663461,Cn1c(=O)n(CC(N)=O)c2ccccc21
,,,,,0.0,,,,,,,,,,,,CID1900387,CCCCOC(=O)Cn1c(=O)n(CC(=O)OCCCC)c2cc(C)ccc21
,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,,CID787615,CCN(CC)S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1
,,,0.0,,,0.0,,,,0.0,,,,,,,CID664799,CN(C)C(=O)Cn1c(=O)n(C)c2ccccc21
,,,0.0,,,,,,,,,0.0,,,,,CID648539,Cn1c(=O)n(C)c2cc(NS(C)(=O)=O)ccc21
,,,0.0,,,0.0,0.0,,,,,0.0,,,,,CID1253646,CCn1c(=O)n(CC)c2cc(S(N)(=O)=O)c(C)cc21
,,,,,,,0.0,,0.0,,,,,,,,CID302926,CCOC(=O)Cn1c(=O)n(CC(=O)OCC)c2ccccc21
,,,,,,,,,,,,,,0.0,,,CID827916,CCCn1c(=O)n(N)c2ccccc21
,,,0.0,,,,,,,,0.0,,,,,,CID2036061,CCCCNC(=O)Cn1c(=O)n(C)c2ccccc21
,,0.0,,,,,,,,,0.0,,,,,0.0,CID1653580,CC(C)n1c(=O)[nH]c2ccccc21
,,0.0,,,,0.0,,,,,,,,,,,CID2055845,Cn1c(=O)n(C)c2cc(S(=O)(=O)O)ccc21
,,,0.0,,0.0,,,,,,,,,,,,CID1734838,CCCCn1c(=O)[nH]c2ccccc21
,,,,,,,,,0.0,,,,,,,,CID1096383,Cn1c(=O)n(C)c2cc(NC(=O)CCl)ccc21
,,,,,,,,,,,0.0,,,,,,CID715107,CCn1c(=O)n(CC)c2cc(S(N)(=O)=O)ccc21
,,,,,,,,0.0,,,,,,,,,CID3093030,CN(C)c1c([N+](=O)[O-])cc2[nH]c(=O)[nH]c2c1[N+](=O)[O-]
,,,,,,,,0.0,,,0.0,,,,,,CID649424,Cn1c(=O)n(C)c2cc(NC(=O)C(F)(F)F)ccc21
,,,,,,,0.0,0.0,,,0.0,,,,,,CID945489,CNC(=O)Cn1c(=O)n(C)c2ccccc21
,,,,,,,,,,,0.0,,,,,,CID1527023,CCCn1c(=O)[nH]c2ccccc21
,0.0,,,,,,,,,,0.0,0.0,,,,,CID652224,Cn1c(=O)n(C)c2cc(C(=O)O)ccc21
,,,,,0.0,,,,,,,,,,0.0,,CID755066,C=CCn1c(=O)n(CC=C)c2cc(C)ccc21
