MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,0.0,0.0,,0.0,,,,,,CID752688,CCCC(=O)NCc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1C
,,,,,,,,,,,,,0.0,,,,CID723947,CCOC(=O)Cn1nc(-c2ccc(C)cc2)c2ccccc2c1=O
,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,CID1295754,COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1CNS(C)(=O)=O
,,,,,,,,,,,,,0.0,,,,CID697435,CCOC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O
,,,,0.0,,,,0.0,,,,,0.0,,,,CID660518,CCOC(=O)CNS(=O)(=O)c1cc(-c2n[nH]c(=O)c3ccccc23)ccc1C
,,0.0,,0.0,,,0.0,0.0,,,,,,,,,CID662036,CNC(=O)CCn1nc(-c2ccccc2)c2ccccc2c1=O
,,,0.0,,,,0.0,0.0,,,,,,,1.0,,CID1984462,Cc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1S(=O)(=O)NCCO
,,,,,,,,,,,,,0.0,,,,CID3154337,CCC(CO)Nc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1[N+](=O)[O-]
0.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,CID2196909,NC(=O)CCn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O
,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,CID943623,COC(=O)c1ccc(-c2nn(C)c(=O)c3ccccc23)cc1
,,,0.0,,,,,,,,,0.0,0.0,0.0,,,CID819382,O=C(O)Cn1nc(-c2ccccc2)c2ccccc2c1=O
,,0.0,,0.0,,,,,,,,0.0,,,,,CID751867,CCC(=O)Nc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1OC
,,,,,,,,0.0,,,,,,,,,CID1073222,Cc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1S(=O)(=O)N(C)CCO
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,CID762086,CCOC(=O)c1ccc(-c2n[nH]c(=O)c3ccccc23)cc1
,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,,CID662701,CCCC(=O)Nc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1OC
0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,CID943455,COC(=O)COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1
,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,CID1890699,CCOC(=O)NCc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1C
,0.0,,,,0.0,,,,0.0,0.0,,0.0,,,,,CID662113,CCNC(=O)CCn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O
,,,,,0.0,,,0.0,,,0.0,,,,,,CID941822,Cn1nc(-c2ccc(OCC(N)=O)cc2)c2ccccc2c1=O
,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,CID661612,CCOC(=O)CNS(=O)(=O)c1cc(-c2nn(C)c(=O)c3ccccc23)ccc1C
,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,CID2288388,CCN(CC)CCNC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O
,,,,,,,0.0,,,,0.0,,,,0.0,,CID677574,Nc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1N
,,,,,0.0,,,,,0.0,0.0,,,,,,CID3155240,CCC(CO)NC(=O)c1ccc(-c2nn(C)c(=O)c3ccccc23)cc1
,,,,,,,,0.0,,,,,,,,,CID941357,CNC(=O)COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1
,,,,,0.0,,,,,,,,,,,,CID1979983,CCN(CC)S(=O)(=O)c1cc(-c2nn(C)c(=O)c3ccccc23)ccc1C
0.0,0.0,,,,,,,0.0,,,,,,,0.0,,CID1085031,Cc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1CNS(C)(=O)=O
,,,,,,,,,,,,,0.0,,,,CID895376,CCOC(=O)CCn1nc(-c2ccc(C)cc2)c2ccccc2c1=O
,,0.0,,0.0,,,,0.0,,,0.0,,0.0,,,,CID880303,COc1ccc(-c2nn(CC(=O)N(C)C)c(=O)c3ccccc23)cc1
,,,,,,0.0,,,,,,0.0,0.0,0.0,,,CID745851,COC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O
,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,CID745853,CN(C)C(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O
,,,,,,,,0.0,,,,,,,,,CID1634592,Cc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1S(=O)(=O)NCCO
,,,,,,,,,,,,,,0.0,,,CID738018,CN(C)C(=O)c1ccc(-c2n[nH]c(=O)c3ccccc23)cc1
,,,0.0,,,0.0,0.0,,,,,,,,0.0,,CID662720,Cc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1N
,0.0,,,,0.0,,,,,,,0.0,,,,,CID646241,NC(=O)CCn1nc(-c2ccccc2)c2ccccc2c1=O
,,,,,,,,,,,,,0.0,,,,CID714737,COC(=O)Cn1nc(-c2ccc(C)cc2)c2ccccc2c1=O
,,,,,,,,,0.0,,,,,,,,CID3155241,CC(O)CNC(=O)c1ccc(-c2nn(C)c(=O)c3ccccc23)cc1
,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,CID661484,COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1NS(C)(=O)=O
