MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,CID2262138,CCCNc1cc(=O)n(C)c(=O)n1C
,,0.0,0.0,,,,0.0,,,,,,,,,,CID3242056,CCCCOc1cc(=O)[nH]c(=O)[nH]1
,,,,,,,,,,,0.0,,,,,,CID2150008,CCCCCNC(=O)Cc1cc(=O)[nH]c(=O)[nH]1
,,,,,,,,0.0,,,0.0,,,,,,CID822144,CCn1c(NC)cc(=O)n(C)c1=O
,,,0.0,,,,,0.0,,,0.0,0.0,,,,,CID768406,CCN(CC)CCn1c(OC)cc(=O)[nH]c1=O
,,,,,,,,0.0,,,,,,,,,CID777240,CC(C)CCNc1cc(=O)n(C)c(=O)n1C
,,,,,0.0,,,,,,,,0.0,,,,CID1815357,CCCCCCCCCCn1cc(C(C)=O)c(=O)[nH]c1=O
,,,,,,,,,,,,,,0.0,,,CID2489467,CCCCn1c(N)c(C(=S)NC(=O)CC(C)C)c(=O)n(C)c1=O
,,,,,,,,,,,,,,0.0,,,CID2118143,CCN(CC)CCn1c(N)cc(=O)[nH]c1=O
,,,0.0,,0.0,,,,,,,0.0,,,,,CID2148482,CCC(CC)C(=O)Nc1cc(=O)n(C)c(=O)n1C
,0.0,,,,,,,,,,,0.0,,,,,CID4637181,CCCCNc1cc(=O)n(C)c(=O)[nH]1
,,,,,0.0,,,,,,,,,,,,CID2148437,CCCC(=O)Nc1cc(=O)n(C)c(=O)n1C
,,,,,,,,,,,,,0.0,,,,CID2366802,CC(C)CNc1c(N)n(CC(C)C)c(=O)[nH]c1=O
,,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,CID652709,CCNc1cc(=O)n(C)c(=O)n1C
,,,,,,0.0,0.0,,,,0.0,,,,,,CID2149960,CCCNC(=O)Cc1cc(=O)[nH]c(=O)[nH]1
,,,,0.0,,,0.0,,,,,,,,,,CID658361,CCCC(=O)c1c(O)[nH]c(=O)[nH]c1=O
,,,0.0,,,,,0.0,,,0.0,,,,,,CID752094,C=CCn1c(NC)cc(=O)n(C)c1=O
,,,,,,,,,,,,,,0.0,,,CID254701,Cn1c(N)c(C(=O)CCl)c(=O)n(C)c1=O
,,,,,,,,,,,,,0.0,,,,CID2461611,CC(C)Cn1c(N)c(C=O)c(=O)n(C)c1=O
,,,,,,,,,,,,,0.0,,,,CID901758,CCOC(=O)NC(=O)c1cn(CCN(C)C)c(=O)[nH]c1=O
,,,0.0,,,,0.0,,,,,0.0,,,0.0,,CID663021,C=CCn1c(O)c(C(=O)CCCCCC)c(=O)[nH]c1=O
,,,,,,,,,,,,,,0.0,,,CID4199451,CCCCN(CC)S(=O)(=O)c1c(C)[nH]c(=O)[nH]c1=O
,,,0.0,,,,,,,,,0.0,,,,,CID2149971,CCOCCCNC(=O)Cc1cc(=O)[nH]c(=O)[nH]1
,,,0.0,,,,,,,,,,,,,,CID2262624,CCCCNc1cc(=O)n(C)c(=O)n1C
,,,,,,,0.0,,,,,0.0,,,,,CID2148509,COCC(=O)Nc1cc(=O)n(C)c(=O)n1C
,,,,,,,,0.0,,,,,,,,,CID2148506,Cn1c(NC(=O)CC(C)(C)C)cc(=O)n(C)c1=O
,,,,,,,,,,0.0,,,,,,,CID9550300,CCCCN(C)S(=O)(=O)c1c(C)[nH]c(=O)[nH]c1=O
,,,,,,,,0.0,,,0.0,,,,,,CID977883,CCCC(CCC)C(=O)Nc1c[nH]c(=O)[nH]c1=O
,,,,,,,0.0,,,,,0.0,,,,,CID2843129,CC(=O)OCc1cc(=O)n(C)c(=O)n1C
,,,,,,,,,,,,,,0.0,,,CID73015,CCCCOC(=O)c1cc(=O)[nH]c(=O)[nH]1
,,,,,,,,0.0,,,,,,,,,CID2227167,CC(C)NC(=O)c1cc(=O)n(C)c(=O)n1C
,,,0.0,,,,,,0.0,,,,,,,,CID320023,CC(=O)c1c(N)n(C)c(=O)n(C)c1=O
,,,,,,,,,,,,,0.0,,,,CID748597,CC(C)Cn1cc(Cl)c(=O)n(CC(C)C)c1=O
,,,0.0,,,,0.0,,,,0.0,,,,,,CID777239,CC(C)CNc1cc(=O)n(C)c(=O)n1C
,,,,,0.0,,,,,,,,,,,,CID1781283,C=CCCCCCCCCC(=O)Nc1c[nH]c(=O)[nH]c1=O
,,,,,,,,,,0.0,,,,,0.0,,CID2257313,CC(=O)OCCN(CCOC(C)=O)c1c(C)[nH]c(=O)[nH]c1=O
,0.0,,0.0,,,,,,0.0,,,,,,,0.0,CID3237181,C=CCn1cc(Cl)c(=O)n(CC=C)c1=O
,,,,,,,,,,,,,,0.0,,,CID855055,CCCn1c(N)cc(=O)n(CCC)c1=O
