MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,0.0,,,,,0.0,,,,0.0,,,,0.0,CID648897,CCOCCCNC(=O)c1c[nH]c2cc(C)ccc2c1=O
,,,,,,,,,,,,,,,0.0,,CID608398,CCN(CC)Cc1c(C)[nH]c2ccc(OC)cc2c1=O
,,,,,0.0,,0.0,,0.0,0.0,,,,,,,CID1569343,COCCN(CCOC)Cc1c(C)[nH]c2c(C)c(C)ccc2c1=O
,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,CID232605,CCOC(=O)c1ccc2[nH]c(C)cc(=O)c2c1
,0.0,,,,,,,0.0,,,,0.0,,,0.0,0.0,CID3237868,C=CCn1cc(C(=O)NCCOC)c(=O)c2cc(S(=O)(=O)N(CC)CC)ccc21
,0.0,,0.0,,0.0,,0.0,,,,,,,,,,CID653977,CCCCCCC(=O)Nc1c(O)[nH]c2ccccc2c1=O
,,0.0,,0.0,,,,,,,,,,,,,CID650613,COCCNC(=O)c1c[nH]c2ccc(OC)cc2c1=O
,,,,,,,,0.0,,,0.0,,,,,,CID764592,CCn1cc(C(=O)O)c(=O)c2cc(Br)ccc21
,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,CID653066,CCCCCOC(=O)Cc1c(O)[nH]c2ccccc2c1=O
,0.0,,,,,,,0.0,,,,,,,0.0,,CID3240574,CCN(CC)S(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NCCCOC)cn2C
,,0.0,,,,,,,,,,,,,0.0,,CID654210,CCc1ccc2[nH]cc(C(=O)OCCOC)c(=O)c2c1
0.0,,0.0,,,,,,,,,,,,,,,CID5308902,CCCCN(C)C(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C)cc2c1=O
,,,,,0.0,,,,,,,,,,,,CID721188,CCOC(=O)c1c[nH]c2ccc(OCC)cc2c1=O
,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,CID650731,CCCCc1c(O)[nH]c2ccccc2c1=O
