MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,0.0,,0.0,,,,,,,,,,,,0.0,CID1973736,CCCSc1nc(=O)cc(C)[nH]1
,,0.0,0.0,,,0.0,,,,,,0.0,,,,,CID309333,CCOC(=O)CSc1nc(=O)cc(N)[nH]1
,,,,,,0.0,0.0,,,,,0.0,,0.0,,,CID647470,CCCc1[nH]c(SCC(N)=O)nc(=O)c1CC
,,,,,,,,0.0,,,,,,,,,CID2094767,CCCc1cc(=O)nc(SCC(=O)NCCCC(=O)OCC)[nH]1
,,,,,,,0.0,,,,,,,,,,CID645513,CCCCSc1nc(=O)c(CC(=O)O)c(C)[nH]1
,,,0.0,,,,,,,0.0,,0.0,,,,,CID3241344,Cc1[nH]c(N)nc(=O)c1CCC(=O)OCC(C)C
,,,0.0,0.0,,,,,,,,0.0,,,,0.0,CID729251,CCCc1cc(=O)nc(SCC)[nH]1
,,,,0.0,,,,,,,,,,,,,CID660943,C=CCSc1nc(=O)c(CC=C)c(C)[nH]1
,,,,,,,0.0,,,,,,,,,,CID2175621,C=CCSc1nc(=O)c(CC(=O)OCC(C)C)c(C)[nH]1
,,,,,,,,0.0,,,,,,,,,CID2336009,CCCc1cc(=O)nc(SCC(=O)C(C)(C)C)[nH]1
,,,,0.0,,0.0,,,,,,,,,,,CID2842627,C=CCSc1nc(=O)c(CC)c(O)n1C(C)CC
,,,0.0,0.0,,0.0,,,,,,,,,,,CID659133,C=CCn1c(O)cc(=O)nc1SCCCCCC
,,,,,,0.0,,,,,,,,,,,CID658666,CCn1c(O)cc(=O)nc1SCC(=O)NC(C)(C)C
,,,,,,0.0,,,,,,,,,,,CID653155,C=C(C)CSc1nc(=O)cc(N)[nH]1
,0.0,,0.0,0.0,,,,,,,,,,,,,CID738713,C=CCc1c(C)[nH]c(SC(C)C)nc1=O
,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,CID660881,CCCSc1nc(=O)c(CC(=O)OCC)c(C)[nH]1
,,,0.0,0.0,,0.0,,,,,,,,,,,CID2842565,CCCSc1nc(=O)c(CC)c(O)n1C(C)CC
,,,0.0,0.0,,0.0,,,,,,,,,,,CID2843391,CCSc1nc(=O)c(CC)c(O)n1C(C)CC
,,,,,,,,0.0,,,0.0,,,,,,CID1633309,CCCCCCCSc1nc(=O)cc(N)[nH]1
,,,,,,,,,,,0.0,,,,,,CID1621571,CCCCCCOC(=O)CCc1c(C)[nH]c(N)nc1=O
,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,CID755668,C=CCn1c(O)cc(=O)nc1SCC(=O)N(CC)CC
,,0.0,0.0,0.0,,,,,0.0,,,,,,,,CID649201,CCc1[nH]c(SC)nc(=O)c1C
,,,,0.0,,,,,,,,0.0,,,,0.0,CID1562597,CCCCSc1nc(=O)cc(CCC)[nH]1
,,,,,,,,,,,,,,0.0,,,CID4202488,Cc1cc(=O)nc(CCl)[nH]1
,,,0.0,0.0,,,,,,,,,,,,,CID1618319,C=CCn1c(O)cc(=O)nc1SCCCC
,,,0.0,,,,,,,,,,,,,0.0,CID2172306,CCCc1cc(=O)nc(SCC(=O)NC(=O)OCC)[nH]1
,,0.0,,0.0,0.0,0.0,,,,,,,,,,,CID650031,CCCCSc1nc(=O)c(CC(=O)OC)c(C)[nH]1
,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,CID650646,C=CCSc1nc(=O)c(CC(=O)OCCCC)c(C)[nH]1
,,,,0.0,,,,,,,,0.0,,,,0.0,CID801933,C=CCc1c(C)[nH]c(SCC(=C)C)nc1=O
,0.0,,0.0,,,,,,,,,,,,,,CID659106,Cn1c(O)cc(=O)nc1SCC(=O)NC(C)(C)C
,,,0.0,,,,0.0,,,,,,,,,,CID870081,COC(=O)Cn1cnc(=O)c(C#N)c1/C=C/N(C)C
,,,,,,,,,,,,,,0.0,,,CID2906440,CCCCSc1nc(=O)cc(O)n1CC
,,,,,,,,,,0.0,,,,,,0.0,CID593193,CCOC(=O)CSc1nc(=O)cc(C)[nH]1
,,,0.0,,,0.0,,,,,,0.0,,,,,CID716897,CCCc1cc(=O)nc(SCC(N)=O)[nH]1
,,,0.0,,,,,,,,,,,,,,CID768193,CCN(CC)C(=O)CSc1nc(=O)cc(O)n1CC
,,,,,,,,,,,0.0,,,,,,CID248387,C=CCc1c(C)[nH]c(N)nc1=O
,,,0.0,,,,,,0.0,,,,,,,,CID662483,CCCSc1nc(=O)c(CC(=O)O)c(C)[nH]1
,0.0,,,,,,,,,,,,,,,0.0,CID757478,CCN(CC)C(=O)CSc1nc(=O)cc(O)n1C
,,,0.0,,,,,,,,,,,0.0,,,CID2219910,CCCCCc1c(C)[nH]c(SCC(=O)O)nc1=O
,,,,,0.0,0.0,,,,,0.0,,,,,,CID99313,CCCCc1c(C)[nH]c(N)nc1=O
,,,,0.0,,,,,,,,,,,0.0,,CID660570,C=CCc1c(C)[nH]c(SCCC)nc1=O
,,,,,,,,,,,0.0,,,,,,CID936743,COC(=O)CCc1c(C)[nH]c(N)nc1=O
