MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,0.0,,,0.0,,,,,0.0,,,,,,CID662476,Cc1ccc2cc(CNC(C)C)c(=O)[nH]c2c1
,,,,,,,,,,,,,0.0,,,,CID2365518,CNC(=O)COC(=O)c1cc(=O)[nH]c2ccccc12
,,,,,0.0,,,,,,,0.0,,,,0.0,CID654772,CCOc1ccc2[nH]c(=O)c(CN(CCCO)C(C)=O)cc2c1
,,,,,0.0,0.0,,,,,0.0,,,,,0.0,CID333984,Cc1cc(=O)[nH]c2c(C)c(N)ccc12
,,,,,,,,,,,0.0,0.0,,,0.0,,CID663692,CCN(Cc1cc2ccccc2[nH]c1=O)C(=O)C(C)C
,,,,,,0.0,,,,,,,,,,,CID664957,Cc1ccc2[nH]c(=O)c(CNC(C)(C)C)cc2c1
,,,,,,0.0,0.0,,,,,,,,,0.0,CID3242159,CCCC(=O)NCCc1cc2cc(C)c(C)cc2[nH]c1=O
,,,,,,0.0,,,,,,,,,,,CID3399627,Cc1ccc(C)c2[nH]c(=O)c(CCNC(=O)CC(C)(C)C)cc12
,0.0,,,,,,,,,,,,,,,,CID3239437,Cc1cc2cc(CCNS(C)(=O)=O)c(=O)[nH]c2cc1C
,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,CID663640,CCNCc1cc2cc(C)ccc2[nH]c1=O
,0.0,0.0,,,,0.0,0.0,,,,,,,,0.0,,CID767435,CCCc1c(C)c2cc(C)ccc2[nH]c1=O
,,,0.0,,,,,,,0.0,,,,,,,CID3245532,CCC(=O)NCCc1cc2cc(C)c(C)cc2[nH]c1=O
,,0.0,0.0,,,,0.0,,,0.0,,,,,0.0,,CID660495,CCCCOC(=O)c1cc(=O)[nH]c2ccccc12
,,,,,,,0.0,,,,,,,,,,CID3241102,CCS(=O)(=O)NCCc1cc2c(OC)ccc(OC)c2[nH]c1=O
,,,,,,,,,0.0,,,,,,,,CID3296992,COc1ccc2cc(CCNC(=O)C(C)(C)C)c(=O)[nH]c2c1
,,,,,,,,,,,,,0.0,,,,CID6621092,CCOC(=O)CSc1cc(=O)n(CC)c2ccccc12
