MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,CID974498,CNC(=O)c1cc2cccc(OC)c2oc1=O
,,,,,,,,0.0,,,,,,,,,CID875046,CC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1
,,,0.0,,,,0.0,,0.0,,,0.0,,,,,CID93864,CCOC(=O)Nc1ccc2c(C)cc(=O)oc2c1
,,,,,,0.0,,,,,,,,,,,CID5381321,CCOC(=O)Cc1c(C)c2c(O)cc(O)cc2oc1=O
,,,,,,,,0.0,,,,,0.0,,,,CID30553,COC(=O)c1cc2ccccc2oc1=O
,,0.0,,,,,,,0.0,,,0.0,,,,,CID646866,CCOC(=O)Nc1cc2c(C)cc(=O)oc2cc1C
,,,,,,,,,,,,,,,,0.0,CID3244511,CCCC(=O)c1cc2cc(Cl)ccc2oc1=O
,,,,,,,,0.0,,,,,0.0,,,,CID2247855,C=CCOC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1
,,,,,,,0.0,0.0,,,,,0.0,,,,CID1799746,CCCOc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1
,,,0.0,0.0,,,,,,,,0.0,,,,,CID889783,CCc1c(C)c2ccc(OCC(N)=O)cc2oc1=O
,,,,,,,,,,,,,0.0,,0.0,,CID879257,CCC(=O)Oc1ccc2c(C)cc(=O)oc2c1C
,,,,,,,,,,,,0.0,,,,0.0,CID1263102,COc1cc(OC)c2c(C)c(Cl)c(=O)oc2c1
,,0.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,CID696828,C=CCc1cccc2cc(C(=O)N(C)C)c(=O)oc12
,,,,,,0.0,0.0,,,,,,,,,,CID696829,COc1cccc2cc(C(=O)N(C)C)c(=O)oc12
,,,,,,,,,,,,,0.0,,,,CID749232,Cc1cc(=O)oc2ccc(OCC(=O)O)cc12
,,,,,,,,,,,,,0.0,,,,CID145611,CCN(CC)c1ccc2c(Cl)cc(=O)oc2c1
,,,,,,,,,,,0.0,,,,,,CID2292720,CCc1cc(=O)oc2cc(OS(C)(=O)=O)ccc12
,,,,,,,,,0.0,,,,,,,,CID780553,NC(=O)c1cc2cc(Cl)ccc2oc1=O
,,,,,,,,,0.0,,,,,,,,CID271643,O=C(O)c1cc2cc(Cl)ccc2oc1=O
,,0.0,0.0,,,,,,,,,,,,,0.0,CID662377,Cc1cc(OC(=O)CNC(=O)OC(C)(C)C)c2c(C)cc(=O)oc2c1
,,0.0,,,,,,,,,,,,,,,CID2955775,CCOC(=O)CCc1c(C)c2ccc(OC(C)C(=O)OCC)c(C)c2oc1=O
,,,,,,,,0.0,,,,,,,,,CID688945,CCOc1ccc2oc(=O)cc(C)c2c1
,,,,,,,,,,,,0.0,0.0,,,,CID711717,COc1ccc2oc(=O)c(C(=O)O)cc2c1
,,,,,,,,,0.0,,,,0.0,,,0.0,CID644427,CCCc1cc(=O)oc2cc(OCC(=O)N(C)C)c(Cl)cc12
,,,,,,,,0.0,,,,,,,0.0,,CID890738,CCc1c(C)c2ccc(OCC(=O)OC)cc2oc1=O
,,0.0,,,,0.0,,,,,0.0,,,,,,CID650276,CC(C)Nc1c(N)c(=O)oc2ccccc12
,,,,,0.0,,,,,,,,,,0.0,,CID5292521,CCC(=O)c1cc2c(C)cc(=O)oc2c(C)c1O
,,,,,,,,0.0,0.0,,,,0.0,,,,CID366,CC(=O)Oc1ccc2c(C)cc(=O)oc2c1
0.0,,,,,,,,,,,0.0,,,,,0.0,CID778746,COC(=O)Oc1c(Br)c(=O)oc2ccccc12
