MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,0.0,0.0,,,,0.0,,CID661052,COC(=O)c1cc(Br)c(=O)n(CCN(C(C)C)C(C)C)c1
,,,,,,,0.0,,,,,,,,,0.0,CID659086,CCCCC(=O)c1c(C)cc(C)[nH]c1=O
,,,,,,,,0.0,,,0.0,,,,,,CID1480186,CC(C)(C)c1cc(C(F)(F)F)c(C#N)c(=O)[nH]1
,,,,,,,0.0,,,,,,,,,,CID88731,COc1ccc[nH]c1=O
,,0.0,,,,,,,,,,,,,,,CID3146302,Cc1cc(=O)n(CCCO)c(O)c1C#N
,,,,,,,,,,,,,,0.0,,,CID2289888,COC(=O)c1cc(C(C)=O)c(C)[nH]c1=O
,,,,,,0.0,,,,,,,,,0.0,0.0,CID737752,Cc1[nH]c(=O)c(C#N)c(C)c1Br
,,,,,,,,,,,,,,,0.0,,CID1504761,Cc1cc(=O)n(CC(C)C)c(O)c1C#N
,,,0.0,,,,,,,,,,,,,0.0,CID2122848,CC(C)(C)NC(=O)NC(=O)Cn1cc(C(F)(F)F)ccc1=O
,,,,,,,,0.0,,,,,,,,,CID2079895,CC(C)CCNC(=O)NC(=O)Cn1cc(C(F)(F)F)ccc1=O
,,,,,,,,0.0,,,,,,,,,CID1478207,CCCc1cc(C(F)(F)F)c(C#N)c(=O)[nH]1
,,,,,,,0.0,,0.0,,,,,,,,CID3235648,CCCCOC(=O)CCc1c(C)[nH]c(=O)c(C#N)c1C
,,,,,,,,,,,0.0,,,,,,CID1488700,CN(C)c1cc[nH]c(=O)c1C#N
,,,,,,,,,,,0.0,,,,,,CID660920,Cc1cc(N(C)C)c(C#N)c(=O)[nH]1
,,,,,,,,0.0,,,,,,,,,CID247440,Cc1cc(C(F)(F)F)c(C#N)c(=O)[nH]1
0.0,,,,,,,,,,,,,,,,,CID660987,COC(=O)c1cc(Br)c(=O)n(CC(C)C)c1
,0.0,,,,,,,,,,0.0,,,,,,CID2997731,CCOC(=O)c1cc(C(C)=O)c(=O)n(C)c1N
,0.0,,,,,,,,,,,,,,0.0,,CID650531,Cc1cc(=O)n(CC(C)O)c(O)c1C#N
,,,,,,,,,,0.0,,,,,,,CID1096408,Cc1ccc(=O)n(CC(=O)O)c1
0.0,,,,,,,,,,,,,,,,,CID659240,COC(=O)Cn1cc(C(=O)OC)cc(Br)c1=O
,,,,,,,,0.0,,,,,,,,,CID716976,COCc1c(Br)c(C)[nH]c(=O)c1C#N
,,,,,,,,,,,,,,,,0.0,CID599528,O=c1ccc(Br)c[nH]1
,,0.0,0.0,,,,,,,0.0,0.0,,,,,,CID657923,Cc1cc(=O)[nH]c(SCC(N)=O)c1C#N
,,,,,,0.0,,,,0.0,,,,,,,CID298474,CCOCc1cc(C)[nH]c(=O)c1C#N
,,,,,,,0.0,,,,,,,,,,CID658109,CCOC(=O)CC(=O)CSc1[nH]c(=O)cc(C)c1C#N
,,,,,,,,,,0.0,0.0,,,,,,CID2054211,CCOC(=O)CSc1[nH]c(=O)cc(C)c1C#N
,,,,,,0.0,,,,,,0.0,,,,,CID120054,Cc1cc(=O)n(CCO)c(O)c1C#N
,,,,,,,,,,,,,0.0,,,,CID2382426,Cc1c(C=O)c(Cl)n(C)c(=O)c1C#N
,,,,,,,,0.0,,,,0.0,,,,,CID664110,COC(=O)Cn1ccc(N(C)C)c(C#N)c1=O
,,,0.0,,,,,0.0,,,,,,,,0.0,CID2121670,CCCCNC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O
,,,,,,0.0,0.0,,,,,,,,,,CID3152509,Cc1cc(C(=O)O)c(=O)[nH]c1C
,,,,0.0,,,,,,,,0.0,,,,,CID2185556,C=CCSc1[nH]c(=O)cc(C)c1C(N)=O
