MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,0.0,,0.0,,,0.0,,,,,,,,CID976041,COC(=O)c1c(NS(C)(=O)=O)sc2c1CCCC2
,,,,,,0.0,,,,,,,,,,,CID290223,NC(=O)c1c(N)sc2c1CCCC2
,,,,,0.0,,,,,,,,,,,,CID3570389,CCCCNC(=S)NNC(=O)c1csc2c1CCC(C)C2
,,0.0,,,,,0.0,0.0,,,,,,,,,CID649845,COCC(=O)Nc1sc2c(c1C(=O)OC)CCC(C)C2
,,,0.0,0.0,,,,,,,,,,,0.0,,CID3238421,COCCNC(=O)c1csc2c1CCCC2
,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,CID3127949,CCOC(=O)c1c(NS(C)(=O)=O)sc2c1CCC(C)C2
,,,,0.0,0.0,,0.0,,,0.0,,,,,,,CID2788860,CCOC(=O)c1c(N)sc2c1CCC(C)C2
,,,0.0,0.0,,0.0,,,,,,,,,,,CID2999207,CCOC(=O)Nc1sc2c(c1C#N)CCC(C)C2
,,,,,,,,,0.0,,,,,,,,CID2887357,CCCC1CCc2c(sc(N)c2C(N)=O)C1
,0.0,,,,,0.0,,0.0,,,,,,,,,CID1825628,CCOCC(=O)Nc1sc2c(c1C(=O)OCC)CCCC2
,,,0.0,,,,,,,,,,,,,,CID78262,CCOC(=O)c1c(N)sc2c1CCCC2
,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,CID646890,N#Cc1c(NC(=O)CSCC(=O)O)sc2c1CCCC2
,,,,,0.0,,,,,,,,,,,,CID1120919,CCNC(=O)c1c(NC(C)=O)sc2c1CCCC2
,,,0.0,,,,0.0,0.0,,,,,,,,,CID733286,COCC(=O)Nc1sc2c(c1C(=O)OC)CCCC2
,,,,,,,,,0.0,,,,,,,,CID2850256,CC1CCc2c(sc(N)c2C(=O)OC(C)C)C1
,,,0.0,,,0.0,,,,,,0.0,,,,0.0,CID616673,CC(C)(C)C1CCc2c(sc(N)c2C(N)=O)C1
,,,,,,0.0,0.0,,,,,,,,,,CID871834,CC(C)OC(=O)c1c(N)sc2c1CCCC2
,,,,0.0,,,,,,,,,,,,,CID646914,COC(=O)c1c(NC(C)=O)sc2c1CCCC2
0.0,,,,,,0.0,,,,,,,,,,0.0,CID658359,CCOC(=O)NC(Nc1sc2c(c1C(N)=O)CCCC2)(C(=O)OCC)C(F)(F)F
,,,0.0,,,,,,0.0,,,,0.0,,,,CID2063443,O=C(O)c1cc2c(s1)CCCC2
,,0.0,0.0,,,0.0,,,,,,,,,,,CID647543,COC(=O)CCC(=O)Nc1sc2c(c1C#N)CCCC2
,,,,,,,,,0.0,,,,0.0,,,,CID2998934,CCC1CCc2sc(C(=O)O)cc2C1
,,,,,,,,,,,,,,0.0,,,CID3114323,CC(=O)Nc1sc2c(c1C#N)CCC(C)C2
,,,,,,0.0,,,,,,0.0,,,,,CID2143385,N#CCC(=O)Nc1sc2c(c1C(N)=O)CCCC2
,,,,,,,,,,,,,0.0,0.0,,,CID1789960,CC(C)C(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCCC2
,,,,,,0.0,,,,,,,,,0.0,,CID885804,CCOC(=O)c1c(NC(=O)COC)sc2c1CCCC2
,,0.0,0.0,,,,,,,,,,,,,,CID601254,N#Cc1c(NC(=O)CCC(=O)O)sc2c1CCCC2
,,,,,,0.0,0.0,,,,,,,,,,CID1622478,COCCNC(=O)c1c(N)sc2c1CCCC2
,,,,,,,,,0.0,,,0.0,,,,,CID2852749,CC1CCc2c(sc(N)c2C(N)=O)C1
0.0,,,,,,,,,0.0,,,,,,,0.0,CID658937,COC(=O)NC(Nc1sc2c(c1C(N)=O)CCCC2)(C(=O)OC)C(F)(F)F
,,,,,,,,,0.0,0.0,,,,,,,CID2971294,CC(NC(=O)c1cc2c(s1)CCCC2)C(C)(C)C
,0.0,,0.0,0.0,,,,,,,,,0.0,,,0.0,CID657966,CCCC(=O)Nc1sc2c(c1C#N)CCCC2
