MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,0.0,0.0,,,,,,,,,CID717707,CCN(CC)C(=O)COc1ccc(-c2ccccc2)cc1
,,,,,0.0,,,,,,,,,,,,CID3809547,CC(CNC(=O)c1ccc(-c2ccccc2)cc1)CN(C)C
,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,CID611836,CC(=O)Oc1ccc(-c2ccc(C(=O)O)cc2)cc1
,,,,,,,,,,,0.0,,,,,,CID2166878,CCCCCC(=O)NNC(=O)c1ccc(-c2ccccc2)cc1
,,,,,,,,,,0.0,,,,0.0,,,CID1381656,CCN(CC)S(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)N(CC)CC)cc2)cc1
,,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,CID889302,CCN(CC)C(=O)c1cccc(-c2ccc(OC)cc2)c1
,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,CID768313,CN(C)CC(=O)c1ccc(-c2ccccc2)cc1
,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,CID890085,COc1ccc(-c2cccc(C(=O)NCC(=O)O)c2)cc1
,,,,,,,,,,,,,,0.0,,,CID1431328,O=C(O)COCC(=O)Nc1ccccc1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID2236648,CC(C)(C)C(=O)NC(=S)NNC(=O)c1ccc(-c2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID893637,O=C(O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1
,,,0.0,,,0.0,,,0.0,0.0,,,,,0.0,,CID79419,CC(=O)Nc1cc(-c2ccccc2)ccc1O
,,,,,,,,,,,,,,0.0,,,CID3092021,CCOC(=O)CCS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)CCC(=O)OCC)cc2)cc1
0.0,,,,,,,,,0.0,,,,,,0.0,0.0,CID974772,CCOc1cc(-c2ccc(N)c(OCC)c2)ccc1N
,,,,,,,,,,0.0,,,,,,,CID683373,CC(C)CNC(=O)c1ccccc1-c1ccccc1C(=O)O
,,,,,,0.0,,,0.0,0.0,,,,,,,CID768473,CCN(CC)CC(=O)c1ccc(-c2ccccc2)cc1
,,,,0.0,,,0.0,,,,0.0,,,,0.0,,CID650353,O=C(O)c1cc(O)ccc1-c1ccc(O)cc1
,,,,0.0,,,,,0.0,0.0,,,,,,,CID612269,COc1ccc(-c2cc(O)cc(O)c2)cc1
,,,,,,,,,,,,,0.0,,,,CID847746,COc1cc(OC)c(-c2cc(C(=O)O)ccc2OC)c(OC)c1
,,,,0.0,,,,,,,,,,,,,CID3240751,COCCNS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)NCCOC)cc2)cc1
,,,,,,,,,,,,,0.0,,,,CID2190037,COCCNS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1
,,,,,0.0,,,,,,,,,,,,CID2331133,CC(=O)Oc1ccc(-c2cccc(C(=O)NC(C)(C)C)c2)cc1
,,,,,,,,,,0.0,0.0,,,,,,CID16484,COc1ccc(-c2ccc(OC)cc2)cc1
,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,CID2060525,COc1ccc(-c2ccc(OC)cc2C(=O)O)cc1
,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,,CID802859,CN(C)S(=O)(=O)c1ccc(-c2ccccc2)cc1
,,,,,,,0.0,,,,,,,,,,CID836139,O=C(O)c1ccc(-c2ccc(O)c(F)c2)cc1
