MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,,,,,,,,,,CID791159,Cc1cc(C(N)=O)c(-c2ccccc2)o1
,,,,,0.0,,,,,,,,,,,,CID694393,Cc1c(-c2ccc(C=O)o2)ccc([N+](=O)[O-])c1C
,,,,,,,,,,,,,0.0,,,,CID2060247,CCOC(=O)c1cccc(-c2ccc(C=O)o2)c1
,,,,,,,,,,,,,0.0,,,,CID1583581,Cc1ccc(-c2ccc(/C=C(\C#N)C(N)=S)o2)c([N+](=O)[O-])c1
,,0.0,,,,,,,,,,,0.0,,,,CID784625,O=C(O)c1ccc(-c2ccccc2Cl)o1
,,,,,,,,0.0,,,,,,,,,CID646782,CC(=O)Nc1ccccc1-c1ccc(C)o1
,,,,,,,,,,,,,0.0,0.0,,,CID802913,CCOc1ccc(-c2ccc(C=O)o2)c([N+](=O)[O-])c1
,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,CID655924,COc1ccc(-c2cc(C(=O)NC(C(=O)O)C(C)C)c(C)o2)cc1OC
,,,,,,,,0.0,,0.0,,,0.0,,,,CID797772,Cc1ccc(-c2ccc(CCC(=O)O)o2)cc1
,,,0.0,,,,,,,,,,,,,0.0,CID647499,O=C(O)c1ccc(-c2ccccc2C(F)(F)F)o1
,,,,,,,,,,,,,,,0.0,,CID1249778,CC(C)NC(=O)c1ccc(-c2ccccc2C(F)(F)F)o1
,,,,,,,,,,,,,,0.0,,,CID1672419,C=CCNC(=S)N/N=C/c1ccc(-c2cc(Cl)ccc2Cl)o1
,,,,,,,,,,,,,0.0,,,,CID612216,O=Cc1ccc(-c2cccc(C(=O)O)c2)o1
,,,,,,,,,,,,,0.0,,,,CID854401,N#CC(C#N)=Cc1ccc(-c2ccccc2)o1
,,,,,0.0,,,,,,,,,,,,CID2882753,COc1ccc(-c2ccc(CO)o2)cc1
,,,,,,,,,,,,,0.0,,,,CID894412,Cc1cc(C(=O)O)ccc1-c1ccc(CO)o1
,,,,,0.0,,,,,,,,,,,,CID2268638,C=CCNC(=O)c1ccc(-c2cccc([N+](=O)[O-])c2)o1
,,,,,,,,,,,0.0,,,,,,CID876323,NC(=S)N/N=C/c1ccc(-c2cccc(Cl)c2Cl)o1
,,,,,,,,,,,,,0.0,,,,CID806394,CC(C)OC(=O)c1cccc(-c2ccc(C=O)o2)c1
,,,,,,,,,,,,,,0.0,,,CID1227638,CNC(=S)N/N=C/c1ccc(-c2cc([N+](=O)[O-])ccc2Cl)o1
,,,,,0.0,,,,,,,,,0.0,,,CID900059,CCOC(=O)c1ccc(-c2ccc(CO)o2)cc1
,,,,,,,,,,,,,0.0,,,,CID844978,CCN(CC)Cc1oc(-c2ccccc2)cc1C(=O)O
0.0,,,,,,0.0,,,,,,,,,,0.0,CID3244890,O=C(O)CCc1ccc(-c2ccc(Br)cc2)o1
,,,,,,,0.0,0.0,,,,,0.0,,,,CID974237,COc1cc(C)c(-c2cc(C(=O)O)c(C)o2)cc1C(C)C
,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,CID878695,COC(=O)c1coc(-c2ccc(C)cc2)c1C(=O)OC
,,,,,,,,,,,,,0.0,0.0,,,CID798765,COc1ccc(-c2ccc(CCC(=O)O)o2)cc1
,,,,,0.0,,,,,,,,,,,,CID921969,Cc1ccc(-c2ccccc2NC(=O)CCl)o1
,,,,,,,,,,,,,0.0,,,,CID2271723,CCCOC(=O)c1cc(-c2ccc(C=O)o2)ccc1Cl
,,,,,,,,0.0,,,,0.0,0.0,,,,CID878489,CC(C)(Oc1ccc(-c2ccco2)cc1)C(=O)O
,,,,,,,,,,,,,,0.0,,,CID782463,CNC(=O)/C(C#N)=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1
,,,0.0,,,,,,0.0,0.0,0.0,,,,,,CID760979,Cc1oc(-c2ccccc2)cc1C(N)=O
,,,0.0,,,,,0.0,,0.0,,,0.0,,,,CID593970,O=C(O)CCc1ccc(-c2ccccc2)o1
0.0,,,,,,,,,,,0.0,,,,0.0,0.0,CID658747,NC(=O)c1ccc(-c2ccc(Br)cc2)o1
,,,,,0.0,,,,,,,,,,,,CID3489202,CC(=O)N(C(C)=O)c1ccc(-c2ccco2)cc1
,0.0,,,,,,,,0.0,,,,0.0,,,,CID745896,OCCc1ccc(-c2ccc(Cl)cc2)o1
,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,CID900796,COc1ccc(-c2cc(C(=O)O)c(C)o2)cc1OC
,,,,,,,,,,,,,0.0,,,,CID2264893,COc1ccc(-c2occ(C(=O)O)c2C(=O)O)cc1
,,,,,,,,,,,,,,0.0,,,CID2274646,COCCNC(=O)/C(C#N)=C/c1ccc(-c2ccc(OC)cc2[N+](=O)[O-])o1
,,,,,,,,,,,,,0.0,,,,CID745870,CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)o1
,,,,,,0.0,,0.0,,,,0.0,0.0,,,,CID776315,COc1ccccc1-c1ccc(C(=O)O)o1
