MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,0.0,,,,CID788035,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)O)cc1
,,,,,,,,,,0.0,,,,,,,CID882911,COc1ccc(-c2nn(-c3ccccc3)cc2CO)cc1
,,,,,,,0.0,0.0,,0.0,0.0,,,,,,CID1287692,COc1cccc(-c2nn(-c3ccccc3)cc2C(=O)NCC(=O)O)c1
,,,,,,,,,0.0,0.0,,,,,,,CID829984,O=C(O)c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1
,,,,,,,,,,,,,,,0.0,,CID202779,Nc1ccc(-c2cc(N)n(-c3ccccc3)n2)cc1
,,,,,0.0,,,,,,,,,,,,CID2360790,NC(=O)/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID2347877,CCOC(=O)c1cc(-c2ccc(OC)cc2)nn1-c1ccc(C(=O)O)cc1
0.0,,,,,,,0.0,,,,0.0,,,,,,CID542822,N#Cc1cc(-c2ccccc2)nn1-c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID886557,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C/C(=O)O)cc1
,,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,CID786192,Cc1ccc(-n2nc(-c3ccc(N)cc3)cc2N)cc1
,,,,,0.0,,,,,,,,,,,,CID2827798,CCCCNC(=O)c1cn(-c2ccccc2)nc1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID1478026,Cc1ccc(-c2cc(N)n(-c3ccc(F)cc3)n2)cc1
0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,CID778690,CC(=O)Nc1ccc(-c2cc(NC(C)=O)n(-c3ccccc3)n2)cc1
,,,,,0.0,,,,,,,,,,,,CID5125614,Cc1c(C(=O)NCCCC(=O)O)c(-c2ccccc2)nn1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID4387745,CCC(C)/C(C)=N/NC(=O)c1cn(-c2ccccc2)nc1-c1ccccc1
,,,,,,,,,,,,,,0.0,,,CID1356260,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C(\C#N)C(N)=O)cc1[N+](=O)[O-]
,,,,,,,,,,,,,0.0,,,,CID880209,COc1ccc(-c2nn(-c3ccccc3)cc2C#N)cc1
0.0,0.0,,,,,0.0,,,,,,,,,,,CID700979,N#Cc1cn(-c2ccccc2)nc1-c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID818597,O=Cc1cn(-c2ccccc2)nc1-c1cccc([N+](=O)[O-])c1
,,,,,,,,,,,,,,0.0,,,CID2060622,Cc1cccc(-c2cc(N)n(-c3ccccc3)n2)c1
,,,,,,,,,,,,0.0,,,0.0,,CID778714,Cc1ccccc1-n1nc(-c2ccc(N)cc2)cc1N
,,,,,,,,,,,,,0.0,0.0,,,CID740223,COC(=O)c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1
,,,,,,,,,,,,,,0.0,,,CID2121575,CN(Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)C(=O)CCC(=O)O
0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,CID977051,COc1cccc(-c2nn(-c3ccccc3)cc2CO)c1
,,,,,,,,,,,,,0.0,,,,CID2360136,COc1ccc(-c2nn(-c3ccccc3)cc2/C=N/N=C(N)N)cc1OC
,,,,,,,,,,,,,,0.0,,,CID2387114,COc1ccc(-c2cc(C(=O)NN)n(-c3ccccc3)n2)cc1
,0.0,,,,0.0,,,,0.0,,,,,,,,CID883556,COc1ccc(-c2nn(-c3ccccc3)cc2CO)cc1OC
,,0.0,,,,,0.0,,,,,,,,0.0,,CID869424,CNc1ccccc1-n1ccc(-c2ccccc2)n1
,,,,,0.0,,,0.0,,,,,,,,,CID854142,Cc1ccc(-c2cc(N)n(-c3ccccc3)n2)cc1
,,,,,0.0,,,,,,,,,,,,CID880050,Cc1cc(C)c(-c2nn(-c3ccccc3)cc2C=O)c(C)c1
,,,,,0.0,,,,,,,,,,,,CID880054,CCNC(=O)/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1
0.0,,,,,,0.0,,,,,,0.0,,,,,CID673680,Cc1c(C(=O)O)c(-c2ccccc2)nn1-c1ccccc1
,,,,,0.0,,,0.0,,,,,,0.0,,,CID827499,COC(=O)c1cn(-c2ccccc2)nc1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID1040797,CC(=O)C(=CNc1cc(-c2ccc(C)cc2)nn1-c1ccccc1)C(C)=O
,,,,,,,,,,,,,0.0,0.0,,,CID882240,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)O)cc1OC
,,,,,,,,,,,,,0.0,,,,CID2315922,CC(=O)C(=Cc1cn(-c2ccccc2)nc1-c1ccccc1)C(C)=O
,,,,,,,,,,,,,0.0,,,,CID2121583,CN(Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1)C(=O)CCC(=O)O
,,,,,,,,,,,,,,0.0,,,CID759525,Cc1c(C(=O)NC(C)C)c(-c2ccccc2)nn1-c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID744754,CCOC(=O)c1c(-c2ccccc2)nn(-c2ccccc2)c1C
,,,,,0.0,,,,,,,,,0.0,,,CID800457,Cc1ccc(-c2cc(N)n(-c3ccc(C)cc3)n2)cc1
,,,,,0.0,,,,0.0,,,,0.0,,,,CID2377173,COc1cccc(-c2nn(-c3ccccc3)cc2C(=O)O)c1
