MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,CID652507,CCc1nc(N)c(C#N)c(-c2ccc(OC)c(OC)c2)c1C
,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,CID2057307,C=CCSc1nc(N)c(C#N)c(-c2ccccc2)c1C#N
,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,CID650363,Cc1nc(N)c(C#N)c(-c2ccccc2)c1C
,,,,,,,,,,,,,0.0,,,,CID711468,Cc1cc(-c2cccc(Br)c2)c(C#N)c(N)n1
0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,CID658286,CCOC(=O)CC(=O)CSc1nc(N)c(C#N)c(-c2ccc(Cl)cc2)c1C#N
,,0.0,,,,,0.0,,,,,,,,,,CID659299,CCCCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OC)cc2)c1C#N
,,,,,0.0,,,,,,,,,,,,CID668114,CC(C)Cc1cc(-c2ccccc2)c(C#N)c(N)n1
,,,,,,,,,,,,,,0.0,,,CID748943,Cc1c(CC(C)C)nc(N)c(C#N)c1-c1ccccc1
,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,CID3241330,CCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OCC)cc2)c1C#N
,,,,,,0.0,,,,,,,,,0.0,,CID679950,CCN(CC)c1ccc(-c2c(C#N)c(N)nc(OC)c2C#N)cc1
,0.0,,,0.0,,,,,,0.0,,,,,,0.0,CID659287,CCSc1nc(N)c(C#N)c(-c2ccccc2Cl)c1C#N
,0.0,,,,,,,,,,0.0,,,,,,CID649978,COc1ccccc1-c1c(C)c(C)nc(N)c1C#N
,0.0,,,,,0.0,,,,,,,,0.0,,,CID660824,C=CCSc1nc(N)c(C#N)c(-c2ccc(C)cc2)c1C#N
,,,0.0,,,0.0,,,,,,,,,,,CID1070243,CCN(CC)C(=O)c1cncc(C(=O)N(CC)CC)c1-c1ccccc1
,,0.0,,,,,,0.0,,,,0.0,,,,,CID1519307,CCC(=O)Nc1cccc(-c2c(C(=O)OC)c(C)nc(C)c2C(=O)OC)c1
,0.0,,0.0,,,,0.0,,,,,,,,0.0,,CID653098,CCc1nc(N)c(C#N)c(-c2ccccc2OC)c1C
,0.0,,0.0,0.0,,,,,,,,,,,,0.0,CID661167,CSc1nc(N)c(C#N)c(-c2ccc(Cl)cc2)c1C#N
,,,0.0,0.0,,,,,,,,,,,,0.0,CID659242,CSc1nc(N)c(C#N)c(-c2ccccc2Cl)c1C#N
,,,,,,0.0,,,,,,0.0,,,,,CID659844,CCCCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OCC)cc2)c1C#N
,,,,,,,,,,,,,0.0,,,,CID990726,CCOC(=O)c1c(C)nc(SCC(N)=O)c(C#N)c1-c1ccccc1
0.0,0.0,,,,,,,,0.0,0.0,,,,,,,CID658034,CCOC(=O)CC(=O)CSc1nc(N)c(C#N)c(-c2ccc(F)cc2)c1C#N
,,,,,,,0.0,,,,,,,,0.0,,CID227783,CN(C)c1ccc(-c2ccncc2)cc1
,,,,,,0.0,,,,,,,,,0.0,,CID660788,CCCSc1nc(N)c(C#N)c(-c2ccc(C)cc2)c1C#N
,,,,,,,,,,,,,0.0,0.0,,,CID629929,CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1-c1ccccc1
,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,CID659270,CCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OC)cc2)c1C#N
,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,CID657615,CNc1nc(C)c(C#N)c(-c2ccccc2)c1C(C)=O
,,,,,,,,,,,,,,,0.0,0.0,CID658006,CCCCOc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1
,0.0,,,,,,0.0,,,,,,,,0.0,,CID650585,CCCOc1nc(N)c(C#N)c(-c2ccccc2F)c1C#N
,,,,,,,,,,,,,,0.0,,,CID2332950,CCOC(=O)c1c(C)nc(SC)c(C#N)c1-c1ccccc1
,0.0,,0.0,,,,,,0.0,,,0.0,,,,,CID648486,Cc1cc(-c2ccccc2)c(C#N)c(SCC(N)=O)n1
,0.0,,,,,0.0,,,0.0,,,,,,,0.0,CID892465,C=C(C)CSc1nc(N)c(C#N)c(-c2ccc(C)cc2)c1C#N
,,,,,,,,,,,,0.0,0.0,,,,CID610514,Cc1cc(-c2ccccc2)c(C#N)c(N)n1
