MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,0.0,,0.0,,,,,,,,,CID655586,Nc1ccc(-c2nc3c(Cl)cc(N)cc3[nH]2)cc1
,,,0.0,,,,,,0.0,,0.0,,,,,,CID745079,COc1ccc2nc(-c3ccccc3)[nH]c2c1
,,,,,,,,,,,,,,0.0,,,CID895866,COc1ccc(-c2nc3ccc([N+](=O)[O-])cc3[nH]2)cc1
,,,,,,,,,,,0.0,,,,,,CID784698,COc1ccc2nc(-c3ccc(N)cc3)[nH]c2c1
,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,CID648054,CCOc1ccc2nc(-c3ccccc3)[nH]c2c1
0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,CID755505,COCn1c(-c2cccc(Br)c2)nc2ccccc21
,,,,,,,,0.0,,,0.0,,0.0,,,,CID755501,COCn1c(-c2ccc(OC)cc2)nc2ccccc21
0.0,,,,,,,0.0,,,,,,,,,,CID661309,C=C(C)Cn1c(-c2ccc(OC)cc2)nc2ccccc21
,,,,,,,,,,,,,,0.0,,,CID2446079,CCNC(=S)Nc1ccc(-c2nc3ccccc3[nH]2)cc1
0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,CID748266,CCCn1c(-c2ccc(OC)cc2)nc2ccccc21
0.0,,,,,,,0.0,,,,,0.0,,,0.0,,CID748269,C=CCn1c(-c2ccc(OC)cc2)nc2ccccc21
,,,,,,,,,0.0,,,,,,,,CID2764985,CCOC(=O)C(C)On1c(-c2ccc(Cl)cc2)nc2ccc([N+](=O)[O-])cc21
0.0,0.0,,,,,,,,,,,,,,0.0,,CID762544,Nc1ccc(-c2nc3c(Cl)c(N)ccc3[nH]2)cc1
,,,,,,,,,0.0,,0.0,,,,,,CID1477032,Cc1ccc(-c2nc3ccc(Cl)cc3n2OC(=O)N(C)C)cc1
,,,,,,,,,,,,,,,0.0,,CID650556,CC(=O)Nc1ccc(-c2nc3c(C)cccc3[nH]2)cc1
