MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,0.0,,,,,,,,,0.0,,CID649840,Cc1ccc(C)c(-c2nc3cc(N)ccc3o2)c1
,,,,,,0.0,0.0,0.0,,,,,,,0.0,,CID650931,COC(=O)c1ccc(-c2nc3ccccc3o2)cc1
1.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,CID667358,CCCC(=O)Nc1ccc2oc(-c3ccc(OC)c(Br)c3)nc2c1
0.0,,,,0.0,,,,,,,,,,,,,CID893405,CCC(CC)C(=O)Nc1cccc(-c2nc3ccccc3o2)c1
0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,CID735943,CCc1ccc2oc(-c3ccc(N)cc3)nc2c1
,,,,0.0,,,,,,,0.0,,,,,0.0,CID763443,CC(C)C(=O)Nc1cccc(-c2nc3ccccc3o2)c1
,,,,,0.0,,,,,,,,,,,,CID735990,Cc1ccc2nc(-c3ccc(N)cc3)oc2c1
,,,,,,,,,,,0.0,,,,,,CID738764,Cc1ccc2nc(-c3cc(N)cc(N)c3)oc2c1
,,,,,,,,,0.0,,0.0,,,0.0,,,CID721026,Cc1ccc2nc(-c3cccc(N)c3)oc2c1
,,,,,,,,,,,,,0.0,,,,CID1345435,CCC(=O)NC(=S)Nc1ccc2oc(-c3ccc(OC)cc3)nc2c1
0.0,,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,CID651240,COC(=O)c1ccc(-c2nc3ccc(C)cc3o2)cc1
0.0,,,0.0,,,,,,,,,0.0,,,0.0,,CID644550,CCc1ccc2oc(-c3cc(N)ccc3Cl)nc2c1
,,,,,,0.0,0.0,,,,,0.0,,,0.0,,CID767305,Nc1cc(N)cc(-c2nc3ccccc3o2)c1
,,,,,,,,,,,,,0.0,,,,CID804363,Cc1cccc(-c2nc3cc([N+](=O)[O-])ccc3o2)c1
0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,CID875934,CCCC(=O)Nc1cccc(-c2nc3cc(C)c(C)cc3o2)c1
,,,,,0.0,0.0,,0.0,,,,0.0,,,,,CID880161,COc1cccc(-c2nc3cc(C)ccc3o2)c1
0.0,,,,,,,,,,,,,,,,0.0,CID659499,Nc1ccc2oc(-c3cc(Br)ccc3Cl)nc2c1
,,0.0,,0.0,,0.0,,,,,0.0,,,,,0.0,CID878218,Cc1cc2nc(-c3ccc(NC(=O)C(C)C)cc3)oc2cc1C
0.0,,,,,,0.0,,0.0,,,,,,0.0,,0.0,CID644527,CC(=O)Nc1ccc2oc(-c3ccccc3Br)nc2c1
0.0,,,,,,,,,,,,,0.0,,0.0,0.0,CID721069,Nc1ccc2oc(-c3cccc(Br)c3)nc2c1
,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,,,CID542899,Nc1ccc(-c2nc3ccc(N)cc3o2)cc1
0.0,,,,,,0.0,,0.0,,,0.0,,,,0.0,0.0,CID738874,CCC(=O)Nc1ccc2oc(-c3ccccc3Br)nc2c1
,,,,,,,,0.0,,,,,,,,,CID81919,Cc1ccc2oc(-c3ccccc3)nc2c1
,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,0.0,CID772857,CC(C)c1ccc2oc(-c3ccc(N)cc3)nc2c1
,,,,,,,,,0.0,,,,,,,,CID700329,Cc1ccccc1-c1nc2cc(Cl)ccc2o1
0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,CID745954,Cc1ccc2oc(-c3ccc(NC(=O)CC(C)C)cc3)nc2c1
,,,,,0.0,,,,,,,,,,,,CID739219,CCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1
,,,,,,0.0,,0.0,,,,,,,0.0,0.0,CID661005,CCN(CC)CC(=O)Nc1ccc(-c2nc3cc(NC(=O)CN(CC)CC)ccc3o2)cc1
,,,,,,,,,0.0,,,,0.0,,,,CID759153,COC(=O)c1ccc(-c2nc3cc(N)ccc3o2)cc1
0.0,,0.0,0.0,,,,,,0.0,,,,,,,0.0,CID659630,Nc1ccc2oc(-c3ccccc3Cl)nc2c1
,,0.0,,0.0,0.0,,,,,,,,,,,0.0,CID2871846,CCCC(=O)Nc1ccc(-c2nc3cc(C)c(C)cc3o2)cc1
,,,,,,,,0.0,0.0,,,,,,,,CID1017003,CC(C)C(=O)Nc1ccc2oc(-c3cc(F)c(F)cc3Cl)nc2c1
,,,0.0,0.0,,0.0,,,,,,,,,,,CID728380,CCC(=O)Nc1cccc(-c2nc3ccccc3o2)c1
,,,,,0.0,,,,,,,,,,,,CID728383,CCC(=O)Nc1ccc(-c2nc3ccccc3o2)cc1
,,,,,,,0.0,0.0,0.0,,,,,,,0.0,CID888125,COc1cc(OC)cc(-c2nc3cc(C)ccc3o2)c1
,,,,0.0,,,,,,,0.0,0.0,,,,0.0,CID876225,CCCC(=O)Nc1ccc(-c2nc3cc(C)ccc3o2)cc1
,,,,,0.0,,,,0.0,0.0,0.0,,,,,,CID735963,CCc1ccc2oc(-c3cccc(N)c3)nc2c1
,,,,,,0.0,,,,,,,,,0.0,,CID661250,CCC(C)NCC(=O)Nc1ccc(-c2nc3cc(NC(=O)CNC(C)CC)ccc3o2)cc1
,,,,,,,,,,,,,,,0.0,,CID661339,CCCCNCC(=O)Nc1ccc(-c2nc3cc(NC(=O)CNCCCC)ccc3o2)cc1
,,,,,,,,,,,,,,,,0.0,CID833950,CC(=O)Nc1ccc2oc(-c3cc(F)c(F)cc3Cl)nc2c1
