MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,,,,,0.0,,,,,CID5308649,Cc1ccc(-c2nc(CS(=O)CC(=O)NCCC(C)C)c(C)o2)cc1
0.0,0.0,,,0.0,,,,,,,,,,,,0.0,CID3244781,CCN(CC)CCNC(=O)CS(=O)Cc1nc(-c2ccc(Cl)cc2)oc1C
,0.0,,,,,,,,,,,,,,,,CID5309940,CCCCNC(=O)CS(=O)Cc1nc(-c2cccc(Cl)c2)oc1C
0.0,,,,0.0,0.0,,,0.0,,,0.0,,,,,,CID661150,CCOc1ccc(-c2nc(C#N)c(NCC(C)C)o2)cc1
,,,0.0,,,0.0,,,,,,,,,,,CID949824,CN(C)c1oc(-c2ccccc2F)nc1C#N
,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,CID5307631,CCCNC(=O)CS(=O)(=O)Cc1nc(-c2cccc(OC)c2)oc1C
0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,CID661088,COCCNc1oc(-c2ccc(Cl)cc2)nc1C#N
,,,,,,,0.0,,,,,,,,,,CID3243730,Cc1ccc(-c2nc(CS(=O)CC(=O)NCCN(CC(C)C)CC(C)C)c(C)o2)cc1
,0.0,,,,,,0.0,,,,,0.0,,,,,CID5309032,CCCNC(=O)CS(=O)Cc1nc(-c2ccccc2C)oc1C
,,,,,,,0.0,0.0,,,,,,,0.0,,CID2941177,C=CCNc1oc(-c2ccc(OC)cc2)nc1C#N
,,1.0,,0.0,0.0,,,,,,,,,,,,CID3245395,COCCNC(=O)CSCc1nc(-c2ccc(SC)cc2)oc1C
0.0,,,,,,0.0,,,,,,0.0,,,0.0,0.0,CID664168,CN(C)CCCNc1oc(-c2cccc(Cl)c2)nc1C#N
,,,,,,,,,,,,,0.0,0.0,,,CID1486770,CNC(=O)c1oc(-c2ccc(Cl)cc2)nc1C
0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,CID1984543,C=CCNc1oc(-c2ccc(OCC)cc2)nc1C#N
,0.0,,0.0,,,,0.0,,,,0.0,,,,,,CID892397,CN(C)CCNc1oc(-c2ccccc2F)nc1C#N
0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,CID3237307,CCN(CC)CCNC(=O)CS(=O)Cc1nc(-c2ccccc2Cl)oc1C
,,,,,,0.0,0.0,,,,,0.0,,,,,CID569077,CNc1oc(-c2ccccc2)nc1C#N
,,,,,,,,,,,,,,,0.0,,CID5307457,COCCCNC(=O)CS(=O)(=O)Cc1nc(-c2ccccc2C)oc1C
,,,0.0,,,,,,,0.0,,,,,0.0,,CID5308676,COCCNC(=O)CS(=O)Cc1nc(-c2ccccc2C)oc1C
,,,,,,,0.0,,,,,,,,,,CID3240093,CN(C)c1oc(-c2ccccc2)nc1C#N
,,,,,0.0,,,,,,,,,,,,CID2763518,CCOc1cnc(-c2ccc(OC)cc2)o1
,0.0,,0.0,,,0.0,,,,,,,,,0.0,,CID5307092,COc1cccc(-c2nc(CS(=O)(=O)CC(=O)NCCC(C)C)c(C)o2)c1
,,,,,,,,,,,,0.0,,,,,CID5307093,COCCNC(=O)CS(=O)(=O)Cc1nc(-c2ccc(C)cc2)oc1C
,,,0.0,,0.0,0.0,,,,,0.0,,,,,,CID5309335,CCC(C)NC(=O)CS(=O)Cc1nc(-c2ccccc2C)oc1C
,,0.0,,,,,,0.0,0.0,,,,,,0.0,,CID3240596,COc1cccc(-c2nc(CS(=O)CC(=O)NCCCOC(C)C)c(C)o2)c1
,,,0.0,0.0,,0.0,,,,,,,,,,,CID1204323,CSc1oc(-c2ccccc2)nc1C(N)=O
0.0,,,0.0,,,0.0,,,,,,,,,,0.0,CID661037,CNc1oc(-c2ccc(Cl)cc2)nc1C#N
,,,0.0,,,,,,,,,0.0,,,,,CID5307863,CCCCNC(=O)CS(=O)Cc1nc(-c2ccc(C)cc2)oc1C
,,0.0,,,,,,,,,,,,,,,CID5307869,CCC(C)NC(=O)CS(=O)Cc1nc(-c2cccc(C)c2)oc1C
,,0.0,,,,,0.0,,,,,0.0,,,0.0,,CID3243327,CCN(CC)CCNC(=O)CS(=O)Cc1nc(-c2ccc(C)cc2)oc1C
,,,,,,,,,,,,,,0.0,,,CID5308844,CCCNC(=O)CS(=O)(=O)Cc1nc(-c2ccccc2C)oc1C
,,,0.0,,,,,,,,,,,,0.0,,CID664037,COc1ccc(-c2nc(C#N)c(NCCCN(C)C)o2)cc1OC
,0.0,,0.0,,,,0.0,,,,,,,,,,CID2055696,COCCCNc1oc(-c2ccccc2F)nc1C#N
,0.0,,,,,,0.0,0.0,,,,,,,,,CID5308309,CCC(C)NC(=O)CS(=O)(=O)Cc1nc(-c2cccc(OC)c2)oc1C
0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,CID663731,COCCCNc1oc(-c2ccccc2OC)nc1C#N
,,,0.0,,0.0,0.0,,,,,,,,,,,CID3000136,CN(C)CCCNc1oc(-c2ccccc2)nc1C#N
,,0.0,,,,,,,,0.0,,0.0,,,,,CID5307100,CCCCNC(=O)CS(=O)Cc1nc(-c2cccc(C)c2)oc1C
,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,,CID2337199,COc1ccc(-c2nc(C#N)c(NC(C)C)o2)cc1
,,,,,0.0,0.0,,,,,,,,,,,CID3244952,O=C(O)Cc1coc(-c2ccc(F)cc2)n1
0.0,,,,,,,,,,,,0.0,,,,,CID5307614,COCCNC(=O)CS(=O)Cc1nc(-c2ccc(Cl)cc2)oc1C
,,,,,,,,,,,,,,0.0,,,CID940761,CN(C)CCNc1oc(-c2cccc(Cl)c2)nc1C#N
,,,,,,,,,,,,,,0.0,,,CID3310118,COC(=O)c1oc(-c2ccccc2)nc1C
,,,,,0.0,,,,,,,0.0,,,,,CID3241591,CCCN(CCC)CCNC(=O)CS(=O)Cc1nc(-c2ccc(C)cc2)oc1C
,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,,,CID661012,COCCNc1oc(-c2ccc(F)cc2)nc1C#N
,0.0,,,,,,,,0.0,,,,,,,,CID891940,CN(C)c1oc(-c2ccccc2Cl)nc1C#N
0.0,,0.0,,,,,,,,,,,,,0.0,0.0,CID2999847,CN(C)CCCNc1oc(-c2ccc(Cl)cc2)nc1C#N
,,,0.0,,,,,,,,,,,,,,CID5308185,CCC(C)NC(=O)CS(=O)Cc1nc(-c2cccc(OC)c2)oc1C
,,,,0.0,,,,,,,,,,,,,CID3242188,CCCCN(C)CCCNC(=O)CS(=O)Cc1nc(-c2ccc(OC)c(OC)c2)oc1C
,,,,,0.0,,,,,,,,,,0.0,,CID5307175,CCCNC(=O)CS(=O)Cc1nc(-c2ccc(OC)cc2)oc1C
,,,,,,,,,,,,,,,,0.0,CID715549,COc1oc(-c2ccccc2)nc1C(F)(F)F
,,,,0.0,,,,0.0,,,0.0,,,,0.0,,CID3240144,CCOCCCNC(=O)CS(=O)(=O)Cc1nc(-c2cccc(OC)c2)oc1C
