MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,,,,,,,,,,CID12888,c1ccc(-c2nnc(-c3ccccc3)o2)cc1
0.0,,,,,,0.0,,0.0,,,,,,,0.0,,CID659789,Cc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1
,,,,,,,,,,,0.0,,0.0,,,,CID1105606,CC(C)(C)C(=O)Nc1cccc(-c2nnc(-c3cccc(NC(=O)C(C)(C)C)c3)o2)c1
,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,CID96737,Brc1cccc(-c2nnc(-c3ccccc3)o2)c1
,,,,,,,,,,,,,,0.0,,,CID865999,CCOc1ccc(-c2nnc(-c3ccccc3)o2)cc1
0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,,,CID647355,CCOC(=O)COc1ccc(-c2nnc(-c3ccccc3)o2)cc1
,,,,,,,,,,,,,0.0,,,,CID1147545,COc1cc(-c2nnc(-c3ccccc3)o2)cc(OC)c1OC
,,,,,,,0.0,,,0.0,0.0,0.0,,,,,CID974925,Cc1cccc(-c2nnc(-c3ccc(N)cc3)o2)c1
0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,CID646295,Cc1ccccc1-c1nnc(-c2ccc(Br)cc2)o1
0.0,,,,,,,,,,,,,,,,,CID1259542,CCOC(=O)c1ccc(-c2nnc(-c3ccc(Cl)cc3Cl)o2)cc1
0.0,,,,,,,,,,,,,,,,,CID676108,Fc1ccc(-c2nnc(-c3ccc(Cl)cc3Cl)o2)cc1
,,,,,,,,0.0,,,,,0.0,0.0,,,CID2059880,COc1ccc(-c2nnc(-c3cc(OC)c(OC)c(OC)c3)o2)cc1OC
,,,,,,,,0.0,,,,,,,,,CID863663,COc1ccc(-c2nnc(-c3ccc(OCC(C)C)cc3)o2)cc1
,,,,,,0.0,0.0,,,,,,,,,,CID1380741,COc1ccc(-c2nnc(-c3ccc(N)cc3)o2)cc1
,,,,,,,,0.0,,,,,0.0,,,,CID866008,CCOc1ccc(-c2nnc(-c3ccc(OC)cc3)o2)cc1
,,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,,CID756149,Fc1ccc(-c2nnc(-c3ccc(Cl)cc3)o2)cc1
0.0,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,CID259999,Cc1ccccc1-c1nnc(-c2ccccc2)o1
,0.0,,,,0.0,,,,,,,0.0,,0.0,,,CID259998,Cc1cccc(-c2nnc(-c3ccccc3)o2)c1
,,,,,,,,,0.0,0.0,,,,0.0,,,CID259997,Cc1ccc(-c2nnc(-c3ccccc3)o2)cc1
,,,,,,,,,,,,0.0,0.0,,,,CID2244554,COc1cc(OC)c(-c2nnc(-c3ccc(OC)c(OC)c3OC)o2)cc1OC
,,,,,,,,,,0.0,,,0.0,,,,CID891540,CN(C)S(=O)(=O)c1cccc(-c2nnc(-c3ccccc3)o2)c1
,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,CID743142,COc1ccc(-c2nnc(-c3ccc(N(C)C)cc3)o2)cc1
,,,,,,,,,,,,,,0.0,,,CID30897,Cc1ccccc1-c1nnc(-c2ccccc2C)o1
,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,CID1803647,CCCCC(=O)Nc1cccc(-c2nnc(-c3ccccc3)o2)c1
0.0,,0.0,,,,0.0,,,,,,,,,,,CID756156,Clc1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
,,,,,,,,,,,,,,,0.0,0.0,CID1040608,CCN(CC)S(=O)(=O)c1cc(-c2nnc(-c3ccc(Br)cc3)o2)ccc1Cl
,,,,,0.0,,,,,,,,,,,,CID1484135,CSc1ccccc1-c1nnc(-c2ccc(C)cc2)o1
,,,,,,,,,,,0.0,,,,,,CID1484130,CSc1ccccc1-c1nnc(-c2ccc(Cl)c(Cl)c2)o1
,,,,0.0,,,,,,,,,,,0.0,0.0,CID754945,O=C(Nc1ccc(-c2nnc(-c3ccccc3)o2)cc1)C(F)(F)F
,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,,CID797915,CC(=O)Nc1cccc(-c2nnc(-c3ccccc3)o2)c1
,,,,0.0,,,,,,,,,,,,0.0,CID647857,CN(C)c1ccc(-c2nnc(-c3ccc(S(=O)(=O)C(F)F)cc3)o2)cc1
,,,,,0.0,,,,,,,,0.0,,,0.0,CID1122250,Cc1ccccc1-c1nnc(-c2ccc(Cl)cc2)o1
,,,,,,,,0.0,,0.0,,,,,,,CID1921194,CCC(=O)Nc1cccc(-c2nnc(-c3cccc(NC(=O)CC)c3)o2)c1
0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,,,CID659535,Cc1ccc(-c2nnc(-c3ccccc3)o2)cc1Br
0.0,0.0,,,,,,,,,,0.0,,,,,,CID661234,CCC(=O)Nc1ccc(-c2nnc(-c3ccccc3)o2)cc1
0.0,,,,,,,,,,,,0.0,,,,,CID96854,Clc1ccc(-c2nnc(-c3ccccc3)o2)c(Cl)c1
,,0.0,,,,,,,,,,,,,,,CID259755,Clc1cccc(-c2nnc(-c3ccccc3)o2)c1
