MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,CID665034,CCCCOC(=O)Nc1nnc(-c2ccccc2OC)s1
,,,,0.0,,,,,,,,,0.0,,0.0,0.0,CID659660,CCCCOc1ccc(-c2nnc(N)s2)cc1
,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,CID2174397,CCNc1nnc(-c2ccccc2OC)s1
,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,CID665459,COc1ccccc1-c1nnc(NC(C)=O)s1
,,,0.0,,,,,,,,,,,,,0.0,CID554208,Nc1nnc(-c2ccc(F)cc2)s1
0.0,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,CID665159,CCOC(=O)Nc1nnc(-c2ccc(OC)c(OC)c2)s1
,0.0,,,,0.0,,,,,0.0,,0.0,,,,,CID590957,Cc1cccc(-c2nnc(N)s2)c1
,0.0,,0.0,,,,0.0,,,,,,,,,,CID792657,CCOc1ccc(-c2nnc(N)s2)cc1
,,,,,,,,,,,,,,0.0,,,CID849918,COc1nnc(-c2ccccc2)s1
0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,CID977379,CCOC(=O)Nc1nnc(-c2cccc(OC)c2)s1
,,,0.0,0.0,,,,,,,,,,,0.0,,CID661530,N#CCCN(CCC#N)c1nnc(-c2ccccc2)s1
0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,CID665132,COc1ccccc1-c1nnc(NC(=O)C(C)C)s1
,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.0,CID650738,CCCCC(=O)N(CCOC)c1nnc(-c2ccc(OC)cc2)s1
0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,CID659610,CCCC(=O)Nc1nnc(-c2cccc(OCC)c2)s1
,,,,,,,,,,0.0,,,,,,,CID825398,CCOC(=O)Nc1nnc(-c2ccc(OC)cc2)s1
,,,,,,,,,,,0.0,,0.0,,,,CID668392,Nc1nnc(-c2ccc(Cl)cc2)s1
,,,,,,,,,,,,,,,,0.0,CID692882,COc1ccc(-c2nnc(N)s2)cc1
,,,,,,,,,,,,,,0.0,,,CID1451458,CC(C)=CC(=O)Nc1nnc(-c2ccccc2)s1
,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,CID665124,COc1ccccc1-c1nnc(NC(=O)OCC(C)C)s1
,,,0.0,0.0,,,,,,,,,,,,,CID659709,CCCCOc1cccc(-c2nnc(N)s2)c1
0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,CID665560,CCOC(=O)Nc1nnc(-c2ccccc2OC)s1
,,,,,,,,,0.0,,,,,,,,CID3099851,CCCCC(=O)Nc1nnc(-c2ccc(OC)cc2)s1
,,0.0,0.0,,,,,,,,,,,,,0.0,CID659528,CCCOc1ccc(-c2nnc(N)s2)cc1
,,,,,,,,,,,0.0,,,,,,CID3212634,COCCN(C(=O)C(C)C)c1nnc(-c2ccc(C)cc2)s1
0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,CID2345662,COc1ccc(-c2nnc(NC(=O)C(C)C)s2)c(OC)c1
,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,CID655904,CCCC(=O)N(C)c1nnc(-c2ccc(OC)cc2)s1
,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,CID665298,COC(=O)Nc1nnc(-c2ccccc2Cl)s1
,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,CID659918,CCCOc1cccc(-c2nnc(N)s2)c1
,0.0,,,,,,,,,,0.0,,,0.0,,0.0,CID652198,COCCN(C(=O)C(C)C)c1nnc(-c2cccc(C)c2)s1
,,,,,,,0.0,,,,,,,,0.0,0.0,CID647694,CNc1nnc(-c2cccc(N(C)C)c2)s1
0.0,0.0,,,,,,,,,,,,,,,0.0,CID554211,Nc1nnc(-c2ccccc2Cl)s1
