MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,0.0,0.0,,0.0,,,,,,,,,,CID704402,COc1cccc(CN2CCN(C(=O)CC(C)C)CC2)c1
,,,,,,,0.0,,,,0.0,0.0,,,,0.0,CID1203196,COc1ccc(CN2CCN(C(=O)CC(C)C)CC2)c(OC)c1OC
,,,0.0,0.0,,0.0,0.0,,,,,,,,,,CID770678,CCCS(=O)(=O)N1CCN(Cc2ccccc2OCC)CC1
0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,,CID782430,COc1cc(Br)cc(CN2CCN(C)CC2)c1O
,,0.0,,,,,,,0.0,,,,,0.0,0.0,,CID873902,CC(=O)C(C(C)=O)=C(N)N1CCN(Cc2ccccc2)CC1
,,,,,,,,,,,,,,,0.0,,CID1377053,CCN1CCN(Cc2ccc(C)cc2)CC1
,,0.0,,0.0,,,,,0.0,,,0.0,,,,,CID2223617,COc1cc(CN2CCN(CCOCCO)CC2)cc(OC)c1OC
,,,,,,,,,,,,,,0.0,,,CID16188566,COC(=O)c1ccc(CN2CCN(C(C)C)C(CCO)C2)cc1
,,,,,,,,0.0,,,,,,,,,CID782276,CN1CCN(Cc2ccc(OC(F)(F)F)cc2)CC1
,,,,,0.0,,,,,,0.0,,,,,,CID2245043,CCCCCCOc1ccc(CN2CCN(CC)CC2)cc1
,,,,,,,,,,0.0,,,,,,,CID3101523,CC(C)(C)CC(C)(C)c1ccc(O)c(CN2CCN(CCC#N)CC2)c1
,,,,,,,,0.0,,,,,0.0,,,0.0,CID3236080,COC(=O)C(c1cc(OC)c(O)c(OC)c1)(N1CCNC(C)C1)C(F)(F)F
,,,,0.0,,,,,,,,,,,,0.0,CID787181,CS(=O)(=O)N1CCN(Cc2ccccc2C(F)(F)F)CC1
,,,0.0,,,,,,,,,,,,,,CID782970,CCOC(=O)N1CCN(Cc2ccccc2F)CC1
,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,CID2845552,CCCCCCOc1ccc(CN2CCN(CCO)CC2)cc1
0.0,,,,,,,,0.0,,,0.0,,,,0.0,0.0,CID779882,COc1ccc(Br)cc1CN1CCN(CCO)CC1
,,,,,,,,,,,,,,0.0,,,CID882595,CC(C)N1CCN(Cc2cccc([N+](=O)[O-])c2)CC1
,0.0,,,,,,,,0.0,,,,,,0.0,0.0,CID782725,CCOC(=O)N1CCN(Cc2ccccc2Cl)CC1
,,,,,0.0,,,0.0,,,,,,,,,CID644822,CC(C)(C)c1cc(CN2CCN(CCC#N)CC2)cc(C(C)(C)C)c1O
