MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,0.0,0.0,,0.0,0.0,,,CID2246060,Oc1ccc(CNc2ccccc2O)cc1
,,,,,,,,,0.0,,,,,,,,CID775179,COc1ccccc1CNc1cc(C)ccc1C
,,0.0,,,,,,,,,0.0,,,,,,CID2948326,COc1ccc(NC(C)c2cc(Cl)ccc2O)cc1
,,,,,,,,,,,,,0.0,,,,CID798396,O=C(CCl)N(Cc1cccc([N+](=O)[O-])c1)c1cccc(Cl)c1
0.0,0.0,,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,CID875239,CNC(=O)c1ccc(N(Cc2ccccc2)S(C)(=O)=O)cc1
0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,CID3243284,CCOC(=O)c1ccc(NCc2ccc(N(C)C)cc2)cc1
,0.0,,,,,0.0,0.0,,,,,,,,,0.0,CID966907,Cc1cccc(N(Cc2ccccc2F)S(C)(=O)=O)c1
,,,,,,,,,,,,,,0.0,,,CID834064,O=C(O)c1ccc(NCc2cccc(Br)c2)cc1
,,,,,0.0,,,0.0,0.0,0.0,,,,,,,CID834063,COc1ccccc1CNc1ccc(C(=O)O)cc1
,,,,,0.0,,,0.0,,,,,,,,,CID786754,CC(C)NC(=O)c1ccccc1N(Cc1ccccc1)S(C)(=O)=O
,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,CID969875,O=C(O)c1ccc(CNc2ccccc2C(=O)O)cc1
,,,,,,,,,0.0,,,,,,,,CID2948191,Cc1ccc(NC(C)c2cc(Cl)ccc2O)cc1
,,,,,,,,,,,,,,0.0,,,CID834582,CSc1ccc(CNc2ccc(C)cc2)cc1
,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,CID784349,COc1cc(C)c(CNc2cccc(C)c2)cc1C
,,,,0.0,,,0.0,,,,,,,,0.0,,CID2262351,CN(C)CCCNC(=O)c1ccc(CN(c2ccccc2)S(C)(=O)=O)cc1
,,,,,,,,,,,,,,,,0.0,CID2948111,CCOc1ccc(NC(C)c2cc(Cl)ccc2O)cc1
,,,,,,,,,,,,,,0.0,,,CID1250764,COc1cc(Br)cc(CNc2ccc(F)c([N+](=O)[O-])c2)c1O
0.0,,0.0,0.0,,,,0.0,,,,0.0,,,,,,CID893386,CNC(=O)c1ccc(N(Cc2ccccc2C)S(C)(=O)=O)cc1
,,,0.0,,,0.0,,,,0.0,,,,,,,CID833970,CCc1ccc(CNc2ccc(O)cc2)cc1
,,,,,0.0,,,,,0.0,,,,,,,CID766823,COc1cc(OC)c(OC)cc1CNc1cc(C)ccc1OC
,,,,,,0.0,0.0,,,0.0,,,,,,,CID772849,COc1cc(CNc2cc(C)ccc2C)cc(OC)c1OC
,,,,,,,,0.0,0.0,,0.0,,,,0.0,,CID786749,COC(=O)c1ccccc1N(Cc1ccccc1)S(C)(=O)=O
,,,,,0.0,,,,,,,,,,,,CID784036,COc1ccc(CNc2ccccc2SC)cc1OC
,,,,,0.0,,,,,,,,,,,,CID834556,CSc1ccc(CNc2ccc(C)c(C)c2)cc1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,CID2083600,Cc1ccccc1CN(c1ccc(C(N)=O)cc1)S(C)(=O)=O
,,,,,,,,,,,,,,0.0,,,CID753623,C=CCc1cccc(CNc2c(C)cc(C)cc2C)c1O
,,,,,,,,,,,,,,0.0,,,CID2213879,C=CCOc1c(CNc2ccc(C(=O)O)cc2)cccc1OC
,,,,,,,,,,,0.0,,,,,,CID291032,COc1ccc(C(C#N)Nc2ccccc2)cc1
,,,,,,,,,0.0,,,,0.0,,,,CID1817841,C=CCOc1c(CNc2ccc(S(N)(=O)=O)cc2)cccc1OC
,,,,0.0,,,,0.0,0.0,,,,,0.0,,,CID2415016,O=C(O)CCCNS(=O)(=O)c1ccc(NCc2ccccc2)c(C(=O)O)c1
,,,,,,,,,,,0.0,,,,,,CID784216,COc1ccc(CNc2cccc(F)c2)cc1Br
0.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,CID895458,COc1ccc(CN(C(C)=O)c2cccc(C)c2C)cc1
,,,,,0.0,,,,,,,,,,,,CID2764975,Cc1ccc(CNc2ccc(Cl)cc2[N+](=O)[O-])cc1
,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,CID667331,COc1ccc(CNc2ccc(S(N)(=O)=O)cc2)c(OC)c1OC
,,,,,,,,0.0,,,,,,,,,CID743638,COc1cc(C)c(CNc2cc(C)cc(C)c2)cc1C
,,,,,,,,,0.0,,,,,,,,CID4679061,COc1ccc(NC(C#N)c2ccc(OC)cc2)cc1
,,0.0,,,,,,,,0.0,,,,,0.0,,CID775226,COc1ccc(CNc2cc(C)ccc2C)c(OC)c1OC
,,,,,,,,,,,,,,0.0,,,CID775227,COc1ccc(CNc2ccc(Br)cc2)cc1
,,0.0,0.0,,,0.0,,,,,,,,,,,CID3241080,COc1cccc(CNc2ccc(F)c(Cl)c2)c1O
,,,,,,,,,,0.0,,,,,,,CID900364,COc1ccc(CNc2ccc(C)cc2)cc1Br
,,,,,,,,,,,,,0.0,,,,CID1017676,COc1ccc(Br)cc1CNc1ccc(S(N)(=O)=O)cc1
,,,,,,,,,,,,,,0.0,,,CID2215587,C=CCOc1c(CNc2cccc(C(=O)O)c2)cccc1OCC
,,,0.0,,,0.0,,,,,0.0,,0.0,,,,CID324787,N#Cc1ccccc1NCc1ccccc1
,,,,,0.0,,,,,,,,,,,,CID834592,CSc1ccc(CNc2ccccc2)cc1
0.0,,,,,,,,,,,,,,,0.0,0.0,CID784453,COc1cc(CNc2cccc(F)c2)cc(Br)c1O
,,,,,,,,0.0,,,,,0.0,0.0,,,CID2225801,CN(C)S(=O)(=O)N(Cc1ccc(Br)cc1)c1ccccc1
,,,0.0,,,,,,,0.0,,,0.0,,,,CID833988,Cc1ccc(CNc2ccc(O)cc2)cc1
0.0,,,,,,,,,,,,,,,0.0,0.0,CID833981,COc1ccc(Br)cc1CNc1ccc(O)cc1
,,,,,,,,,,,0.0,,,,,,CID766807,COc1ccc(CNc2ccccc2)cc1Br
,,,,,,,,,,,0.0,,,,,,CID1017323,CCOc1cc(CNc2ccc(N(C)C)cc2)cc(Br)c1OCC(=O)NC(C)(C)C
,,,,,,,,,,,0.0,,,,,,CID2925908,CCOC(=O)C(C(=O)OCC)C(Nc1ccc(Br)cc1)c1ccccc1
0.0,,,,,,,,,,,,,,,,,CID784220,COc1ccc(NCc2ccc(OC)c(OC)c2)cc1
,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,CID3236648,Cc1cccc(NCc2ccccc2O)c1
,,,,,,,,,,,0.0,,,0.0,,,CID870877,COc1ccc(CNc2cc([N+](=O)[O-])ccc2OC)cc1
,,,0.0,,,0.0,,,,,,,,,,,CID834457,NS(=O)(=O)c1ccc(NCc2c(F)cccc2Cl)cc1
,,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,,CID834458,COc1cccc(CNc2ccc(S(N)(=O)=O)cc2)c1OC
,,,,,,,,,,,,,,0.0,,,CID2853777,Cc1cc([N+](=O)[O-])ccc1NCc1cccc([N+](=O)[O-])c1
,,,,,,,,,,,0.0,,,,,,CID786773,CS(=O)(=O)N(Cc1ccccc1)c1ccccc1C(=O)O
,,0.0,,,,,,,,,,,,,0.0,,CID775256,COc1ccc(C)cc1NCc1cccc(OC)c1OC
,,,,,,,,,,,0.0,,,,,,CID2925625,CCOC(=O)C(C(=O)OCC)C(Nc1cccc(Br)c1)c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID784434,COc1cc(CNc2ccccc2SC)cc(OC)c1OC
,,,,,,,,0.0,,,0.0,,,,,,CID2193637,CCCNC(=O)c1ccc(N(Cc2ccccc2)S(C)(=O)=O)cc1
,,,,0.0,,0.0,,,0.0,,0.0,,,,,,CID662938,COc1ccc(C(C#N)Nc2ccccc2OC)cc1
,,,,,,,,,,,,,0.0,,,,CID935117,CCOc1ccc(CNc2ccc(S(N)(=O)=O)cc2)cc1
,,,,,,,,,,0.0,,,,,,,CID783769,COc1cc(C)c(CNc2ccc(OC)c(OC)c2)cc1C
,0.0,,0.0,0.0,,0.0,,,,,,,,,,,CID784242,CCOc1cc(CNc2ccccc2SC)ccc1O
,,,,,,0.0,,0.0,,,,,0.0,,,,CID660409,CC(=O)N(Cc1ccccc1)c1ccc(C(=O)O)cc1
,,,,,,,,,,,,,0.0,,,,CID3849761,COc1ccc(NC(C)c2ccccc2)cc1
,,,,,0.0,,,,,0.0,,,,,,,CID3290031,COc1ccc(C(C#N)Nc2ccccc2C)cc1
,,,,,0.0,,,,,,,,,,,,CID2851650,Cc1cc([N+](=O)[O-])ccc1NCc1ccccc1
,,,,,,,,,,,,,0.0,0.0,,,CID2455004,Cc1cccc(N(Cc2ccccc2)C(=O)CCl)c1
,,0.0,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,CID2731039,COc1ccc(CNc2ccc(C(=O)O)cc2)cc1
,,,,,0.0,,,,,,,,0.0,,,,CID3738018,COc1ccc(C(C#N)Nc2ccc(C)cc2)cc1
,,,,,,,,,0.0,0.0,,,,,,,CID3236047,Cc1cccc(NCc2ccccc2O)c1C
,,,,,0.0,,,0.0,,,,0.0,,,0.0,,CID3858898,COc1cc(CNc2ccc(C)c(C)c2)cc(OC)c1OC
,,,,,,,,,0.0,,,,,,,,CID838651,CS(=O)(=O)N(Cc1ccccc1F)c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID2215406,C=CCOc1c(CNc2ccc(C(=O)O)cc2)cccc1OCC
,,,,0.0,,,,,,,,,,,,0.0,CID784359,COc1cc(CNc2ccccc2SC)ccc1O
,,,,,,,,,,,,,0.0,,,,CID2850014,COc1ccccc1CNc1ccc([N+](=O)[O-])cc1C
