MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,CID867488,CCC(=O)Nc1nc2ccccc2n1Cc1ccccc1
,,0.0,,,,0.0,,,,,,0.0,,,,,CID974764,CSc1nc2ccccc2n1Cc1cccc(F)c1
,,,,,,,,,,,0.0,,,,,,CID974763,COc1ccc(Cn2c(SC)nc3ccccc32)cc1[N+](=O)[O-]
,,,,,,,,,,,,0.0,,,,,CID653319,CCc1nc2ccccc2n1Cc1ccc(OC)c(OC)c1
,,,,,0.0,0.0,,,,,0.0,,,,,,CID661586,COc1ccc2c(c1)nc(N)n2Cc1ccccc1
0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,CID940252,CCS(=O)(=O)c1nc2ccccc2n1Cc1ccccc1Cl
0.0,,,,0.0,0.0,,,,,,,,,,0.0,,CID962534,CC(=O)NCCc1nc2ccccc2n1Cc1ccccc1
,,,,,,,,,,,,,,0.0,,,CID1479108,COc1cccc(Cn2cnc3c(N)c(C)c(C)cc32)c1
0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,CID2945973,Cc1ccc(C)c(Cn2c(C(C)O)nc3ccccc32)c1
,,,,,,,,,,,0.0,,,,,,CID718241,CCC(=O)NCCc1nc2ccccc2n1Cc1ccccc1
,,,,,,,,,,,,,,0.0,,,CID851291,CN(C)C(=O)CSc1nc2ccccc2n1Cc1ccccc1
0.0,,0.0,,,,0.0,0.0,,,,,,,,,,CID660757,CCc1nc2ccccc2n1Cc1ccccc1OC
,,,,,,,,,,,,,0.0,,,,CID1479107,COc1cccc(Cn2cnc3c([N+](=O)[O-])c(C)c(C)cc32)c1
,,,,,,,,,,,,,,0.0,,,CID760402,CCOc1ccc2c(c1)ncn2Cc1ccccc1
,,0.0,,,,0.0,,,,,0.0,,,,,,CID751080,CCC(=O)NCc1nc2ccccc2n1Cc1ccccc1F
0.0,,,,0.0,,,0.0,,,,,,,,0.0,,CID4091637,CC(=O)NCc1nc2ccccc2n1Cc1ccccc1C
,,,,,,,,,,,0.0,,,,,,CID3160764,CC(=O)NCCc1nc2ccccc2n1Cc1ccc(C)cc1
,,,,,,,,0.0,,0.0,0.0,,,,,,CID962412,Cc1cc(C)c(C)c(Cn2c(CO)nc3ccccc32)c1C
0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,CID667187,COCc1nc2ccccc2n1Cc1ccccc1Br
0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,CID666636,O=CNCCCc1nc2ccccc2n1Cc1ccccc1
,,,,,0.0,,,,,,,,0.0,,,,CID2768821,Cc1cc2c(ncn2Cc2ccccc2)c([N+](=O)[O-])c1C
0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,,,CID658262,CCC(=O)Nc1nc2ccccc2n1Cc1ccccc1C
,,,,,,,,,,,,,,0.0,,,CID3245663,CC(=O)NCc1nc2ccccc2n1Cc1ccccc1F
,0.0,,,,,0.0,0.0,,,,,,,,,0.0,CID941555,NC(=O)CSc1nc2ccccc2n1Cc1ccccc1F
,,,,,,,,,,,0.0,,,,,,CID1474155,Cc1cc2c(ncn2Cc2ccccc2)c(NS(C)(=O)=O)c1C
,,,,,,,,,,,0.0,,,,,,CID1470401,CC(C)N(C(=O)CSc1nc2ccccc2n1Cc1ccccc1)C(C)C
,,,,,,,,,,,0.0,,,,,,CID1470403,CC(C)N(C(=O)CSc1nc2ccccc2n1Cc1ccc(F)cc1)C(C)C
,,,,,,,,,,,,,,0.0,,,CID571156,Cc1ccccc1Cn1cnc2ccccc21
,,,,,,,,,,,,,0.0,0.0,,,CID1476359,COc1ccc(Cn2cnc3c([N+](=O)[O-])c(C)c(C)cc32)cc1
,,,,,,,,,,,0.0,,,0.0,,,CID2948299,CC(=O)NCCCc1nc2ccccc2n1Cc1ccc(C)cc1
,,,,,,,,,,,,,0.0,0.0,,,CID946161,CSc1nc2ccccc2n1Cc1cccc([N+](=O)[O-])c1
,,,,,,,,,,,0.0,,,,,,CID3159971,Cc1ccc(Cn2c(S(=O)(=O)O)nc3ccccc32)cc1
,,,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,CID660366,COc1ccccc1Cn1c(CCCO)nc2ccccc21
,,,,,,,,,,0.0,,,,,,,CID799607,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1
0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,CID660593,COc1ccc(Cn2c(CCCO)nc3ccccc32)cc1OC
,,,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,CID752317,COc1ccc(C)cc1Cn1c(S(C)(=O)=O)nc2ccccc21
,,,,,,,,,,,0.0,,,,,,CID2948195,CCC(=O)NCCc1nc2ccccc2n1Cc1ccc(C)cc1
0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,CID780272,CCC(=O)Nc1nc2ccccc2n1Cc1ccc(C)cc1
,,,0.0,,,,,,,,,,0.0,,0.0,,CID2898048,CC(c1ccccc1)n1cnc2ccccc21
0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,CID661479,O=S(=O)(O)c1nc2ccccc2n1Cc1ccc(Cl)cc1
,,,,,0.0,,,,,,,,,,,,CID828342,CCc1nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1
,,,,,0.0,,,,,,,,,,,,CID671802,COc1ccc(Cn2c(SC)nc3ccccc32)cc1
0.0,,,,0.0,,,,,0.0,,,,,,,,CID646628,Cc1ccccc1Cn1c(C(C)O)nc2ccccc21
,,,,,,,,,,,,,0.0,0.0,,,CID692710,CCSc1nc2ccccc2n1Cc1cccc([N+](=O)[O-])c1
,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,CID646045,COCc1nc2ccccc2n1Cc1ccccc1
,,,,,,,,,,,,,0.0,,,,CID626754,CC(O)c1nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1
0.0,,,,0.0,,,0.0,,0.0,,,0.0,,,,,CID962431,Cc1ccc(C)c(Cn2c(CO)nc3ccccc32)c1
,,,,,,,,,,,0.0,,0.0,0.0,,,CID1476363,Cc1ccccc1Cn1cnc2c([N+](=O)[O-])c(C)c(C)cc21
,,,,,,,,,,,0.0,,,,,,CID1476361,Cc1cccc(Cn2cnc3c(NS(C)(=O)=O)c(C)c(C)cc32)c1
,,,,,0.0,,,0.0,,,,,0.0,,,,CID962506,COCc1nc2ccccc2n1Cc1cccc(C)c1
,,,,,,,,,,,0.0,,,,,,CID1479115,Cc1ccccc1Cn1cnc2c(NS(C)(=O)=O)c(C)c(C)cc21
,,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,CID768120,COCc1nc2ccccc2n1Cc1ccc(Br)cc1
,,,,,0.0,,,,,,0.0,,,,,,CID2772580,O=S(=O)(O)c1nc2ccccc2n1Cc1ccccc1
,,,,0.0,,,0.0,,,,,,,,,,CID2928015,Cc1cccc(Cn2c(C(C)O)nc3ccccc32)c1
0.0,,,,0.0,,0.0,,,,,,,,,,,CID658383,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1C
