MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,0.0,,,,,,0.0,,,,,,0.0,,CID874496,CC(C)C(=O)Nc1ccc(Nc2ccccc2)cc1
,,,0.0,,,,,,,,,,0.0,,,0.0,CID3371,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,CID4044,Cc1cccc(Nc2ccccc2C(=O)O)c1C
,,,,,,,,,,,,,,0.0,,,CID3159307,CNCC(O)CN(c1ccccc1)c1ccccc1
,0.0,,,,,0.0,,,,,,,,,0.0,,CID800998,Nc1ccc(Nc2ccccc2)c(Cl)c1
,,,,,0.0,,,,,,,,,,,,CID2980586,CNC(=S)Nc1ccc(Nc2ccccc2)cc1
,,,,,,,,0.0,,,,,,,,0.0,CID2268959,CC(=O)N(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F
,,,,,,,,,,,,,0.0,,,,CID883460,CN(c1ccccc1)c1ccc(/C=C/[N+](=O)[O-])cc1
,,,,,0.0,,,,0.0,,,,,,,,CID803549,CC(C)(C)CC(=O)Nc1ccc(Nc2ccccc2)cc1
,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,CID607074,COC(=O)c1ccccc1Nc1ccccc1
0.0,,,,,,,0.0,,,,,,,,,,CID3242751,Cc1cc(C)cc(Nc2ccc(C(=O)O)cc2N)c1
,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,CID885943,COCC(=O)Nc1ccc(Nc2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID202918,COc1ccc(Nc2ccccc2C(=O)O)cc1
,,,,,,,,,,,,,0.0,,,,CID759107,O=C(Nc1ccc(Nc2ccccc2)cc1)C(Cl)(Cl)Cl
,,,,,,,,,,,,,,0.0,,,CID886038,CCCC(=O)Nc1ccc(Nc2ccccc2)cc1
0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,CID610479,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
,,0.0,0.0,,,,,,0.0,,,,,,,,CID767400,CC(C)c1cc(Nc2cccc(O)c2)cc(C(C)C)c1O
,,,0.0,,0.0,,,,0.0,,,,,,0.0,,CID25711,CNC(=O)N(c1ccccc1)c1ccccc1
0.0,,,0.0,,,,,,,,0.0,,,,0.0,,CID620656,CCOC(=O)Nc1cccc(Nc2ccccc2)c1
,,,,,,,,,,,,,,0.0,,,CID3130546,Cc1cccc(Nc2ccc([N+](=O)[O-])cc2C(=O)O)c1
,,,0.0,,,,0.0,,,,,,,,0.0,,CID774866,Nc1ccc(Nc2ccccc2N)cc1
0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,CID2877940,COc1cc(C)c(N(C(C)=O)c2ccccc2)c(C)c1
,,,,,,,,,,,0.0,,,,,,CID4549322,COc1c(F)c(F)c(C(=O)O)c(Nc2ccc(C)cc2)c1F
,,,,,,,,,,,,,0.0,,,,CID4549326,COc1c(F)c(F)c(C(=O)O)c(Nc2cc(C)cc(C)c2)c1F
0.0,,,,,,,,,0.0,0.0,,,,,0.0,,CID3240871,CCc1ccccc1Nc1ccc(C(=O)O)cc1N
,,,,,,,,,,,0.0,,,,,,CID12109,Cc1ccc(Nc2ccccc2)cc1
,,,,,,,,,0.0,,,,,,,,CID1204369,COc1ccc(Nc2c(C)cccc2C)cc1
,,,,,0.0,,,,,,,,,,,,CID625459,CC(=O)c1ccc(Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
,,,,,,,,,,,,,0.0,,,,CID224481,O=C(CCl)N(c1ccccc1)c1ccccc1
,,,0.0,,,,0.0,,,,0.0,,,,0.0,,CID162461,COc1ccc(Nc2ccccc2)c(C)c1
,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,CID2169094,N#Cc1cc(N)c(Nc2ccccc2)cc1C#N
,,,,,,,,0.0,,,,,,,,,CID1399576,COc1cccc(Nc2c(F)c(F)c(F)c(F)c2C(=O)O)c1
,,,,,0.0,,,,,,,,,,,,CID2196077,CCCNC(=S)Nc1ccc(Nc2ccccc2)cc1
,,,,,,,,,,,,,,0.0,,,CID2838604,COc1ccccc1Nc1c([N+](=O)[O-])cc(C)cc1[N+](=O)[O-]
,0.0,,,,,,,,,,,,,,0.0,0.0,CID2532044,COCCNC(=O)COc1ccc(Nc2ccccc2)cc1
,,,,,,,,,,,,,,0.0,,,CID260958,COc1ccc(Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
,,,,,,,,,,,,,,,,0.0,CID3239636,Nc1cc(C(=O)O)ccc1Nc1ccc(F)c(F)c1
,,,,,,,,,,,,,,0.0,,,CID2420011,CNC(=O)COC(=O)c1ccccc1Nc1ccccc1
,,,,,,0.0,,,,,,,,,,,CID14569,Cc1cccc(Nc2ccccc2)c1
0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,CID3236685,CCOc1ccccc1Nc1ccc(C(=O)O)cc1NC(C)=O
,,,,,,0.0,,,,,,,0.0,,,0.0,CID3236726,COc1cccc(Nc2c(F)c(OC)c(F)c(F)c2C(=O)O)c1
,,,,,,,,,,,,,0.0,,,,CID5218194,CC(OC(=O)c1ccccc1Nc1ccc(SC(F)F)cc1)C(N)=O
,,,,,,,,,,,,,0.0,,,,CID885713,O=C(Nc1ccc(Nc2ccccc2)cc1)C(Cl)Cl
,,,,,,,0.0,,,,,,,,,,CID4386,O=C(O)c1ccccc1Nc1ccccc1
,,,,,,,,,,,0.0,,,0.0,,,CID871516,Cc1ccc(Nc2ccc(C(=O)O)cc2N)cc1
,,,,,,,,,,,,,,0.0,,,CID11371,O=C(O)c1ccccc1Nc1ccccc1C(=O)O
,,,,,0.0,,,,,0.0,,,,,,,CID2423469,CNC(=S)NN(c1ccccc1)c1ccccc1
,,0.0,0.0,,,,,,,,,,,,,,CID773821,Nc1cc(C(=O)O)ccc1Nc1ccccc1
,,,,,,,,,,0.0,,,,,,,CID68297,Nc1ccccc1Nc1ccccc1
,,,,,,,,,0.0,,0.0,,,,,,CID7564,Nc1ccc(Nc2ccccc2)cc1
