MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,,,,,,0.0,,CID647136,CCc1c(C)nc2ncnn2c1Nc1ccc(C#N)c(Cl)c1
,0.0,,,,,,,,,,,,,,0.0,,CID5308644,COc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1Cl
,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,,CID1839776,Cc1cc(Nc2cc(C(=O)O)ccc2C)n2ncnc2n1
,,,,,0.0,,,,0.0,,0.0,,,,,,CID1430122,CCCc1cc(Nc2ccccc2OCC)n2ncnc2n1
,0.0,,,,0.0,0.0,,,,,,,,,,,CID5308802,COc1cccc(Nc2cc(C)nc3nc(C)nn23)c1
,0.0,,,,,0.0,,,,,,,,,,,CID5308692,CCOC(=O)c1ccccc1Nc1cc(C)nc2nc(C)nn12
,0.0,,0.0,,,,,,,,0.0,,,,,,CID653193,Cc1cc(Nc2ccc(C)c(F)c2)n2ncnc2n1
,,,,,0.0,,,,,,,,,,,,CID743052,Cc1cc(Nc2cccc(O)c2)n2ncnc2n1
,,,,,,0.0,,,,,,,,,,,CID5308972,Cc1ccc(Nc2cc(C)nc3nc(C)nn23)c(C)c1
0.0,0.0,0.0,,,,,,,,,,,,,,,CID5309636,Cc1cc(Nc2ccc(F)c(Cl)c2)n2nc(C)nc2n1
,,0.0,,,,,,0.0,,0.0,,,,,,,CID5309630,Cc1cccc(N(C)c2cc(C)nc3nc(C)nn23)c1
0.0,0.0,,,,,,,,,,,0.0,,,,,CID5308580,Cc1cc(Nc2ccc(F)c(Cl)c2)n2ncnc2n1
0.0,0.0,,,0.0,,0.0,,,,,,,,,,,CID3235793,Cc1cc(Nc2cccc(C(F)(F)F)c2)n2nc(C)nc2n1
,0.0,,0.0,,,,0.0,,,,,,,,,0.0,CID5307806,COc1ccc(C)cc1Nc1cc(C)nc2ncnn12
0.0,,,,,,,,,,,,,,,0.0,0.0,CID5307801,Cc1cc(Nc2ccc(Br)cc2)n2nc(C)nc2n1
0.0,,,,,,,,,,,,0.0,,,0.0,,CID5309830,Cc1cc(Nc2cccc(Cl)c2C)n2ncnc2n1
,0.0,,,,,,0.0,,,,,,,,,,CID5307386,Cc1cc(Nc2ccccc2F)n2ncnc2n1
,0.0,,,,,,,,,,,,,,0.0,,CID5308295,COc1ccc(OC)c(Nc2cc(C)nc3nc(C)nn23)c1
,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,CID661142,CCCOC(=O)c1ccc(Nc2cc(C)nc3ncnn23)cc1
,,0.0,,,,,,,,,,,,,,,CID2038683,COc1cc(Nc2cc(C)nc3ncnn23)cc(OC)c1OC
,,,0.0,,,0.0,,,,,,,,,,,CID5307602,Cc1cc(Nc2cccc(F)c2)n2nc(C)nc2n1
,,0.0,,,,,,,,,,,,,,,CID5309369,Cc1cc(Nc2ccc(C(=O)O)cc2)n2nc(C)nc2n1
0.0,,,,,,,,,,,,,,,0.0,,CID5309364,Cc1cc(Nc2ccc(Br)cc2F)n2ncnc2n1
,0.0,,,,,0.0,,,,,,,,,,,CID5309692,CCN(c1ccccc1)c1cc(C)nc2ncnn12
,0.0,,0.0,,,,,,,,,,,0.0,,,CID1830493,Cc1cc(Nc2ccc(F)cc2F)n2ncnc2n1
0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,,CID517858,Cc1cc(Nc2cccc(Cl)c2)n2ncnc2n1
,0.0,0.0,,,,,0.0,,,,,,,,,,CID5308141,COC(=O)c1ccccc1Nc1cc(C)nc2nc(C)nn12
,0.0,,,,,0.0,,,,,,,,,,,CID5308416,Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1
,0.0,,,,,,,,0.0,,,,,,,,CID5309179,CCN(c1ccccc1)c1cc(C)nc2nc(C)nn12
0.0,,,,,,,,,,,,,,0.0,0.0,,CID5307789,Cc1cc(Nc2ccccc2Br)n2nc(C)nc2n1
0.0,,,0.0,,,,,,,,,,,,,,CID5309475,Cc1cc(Nc2ccc(F)cc2Cl)n2nc(C)nc2n1
,0.0,0.0,,,,,0.0,,,,,0.0,,,,,CID5307107,Cc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
0.0,,,,,,,,,,,,,,,,,CID5307102,Cc1cc(Nc2ccc(Br)c(C)c2)n2nc(C)nc2n1
,,,,0.0,,,,,,,,,,,,,CID3239983,CCc1nc2nc(C)cc(Nc3cccc(C(F)(F)F)c3)n2n1
,0.0,,,,,,,0.0,,,,,,,,,CID5308128,CCOc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
,0.0,0.0,,,,0.0,,,,,,0.0,,,,,CID5307610,CCc1cccc(Nc2cc(C)nc3nc(C)nn23)c1
,,,0.0,,,,0.0,,,,,0.0,,,,,CID5309322,Cc1cc(Nc2ccc(F)cc2C)n2nc(C)nc2n1
,0.0,,,,,,0.0,,,,,,,,,,CID5309013,CCOc1ccccc1Nc1cc(C)nc2nc(C)nn12
,0.0,,,,,,,,,,,,,,,,CID5309011,Cc1cc(Nc2c(C)cccc2C)n2nc(C)nc2n1
,,,,,,,,,,0.0,,0.0,,,,,CID5309018,Cc1cccc(N(C)c2cc(C)nc3ncnn23)c1
0.0,,,,,,,,,,0.0,,,,,0.0,,CID5307937,COc1cc(OC)c(Nc2cc(C)nc3nc(C)nn23)cc1Cl
0.0,0.0,,,,,,,,,,,,,,0.0,,CID5308151,COc1ccc(Cl)cc1Nc1cc(C)nc2nc(C)nn12
0.0,,,,,,,,,,,,,,,,,CID5307958,Cc1cc(Nc2ccc(F)cc2F)n2nc(C)nc2n1
,0.0,,,,,,,,,,,0.0,,,,,CID5308299,COC(=O)c1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
,0.0,,,0.0,,,,,,,,0.0,,,,,CID646483,CCN(CC)S(=O)(=O)c1ccc(Nc2cc(C)nc3ncnn23)cc1
0.0,,,,,,,,,,,,,,,,,CID5307471,Cc1cc(Nc2ccc(C)c(Br)c2)n2nc(C)nc2n1
,,,,,,,0.0,,0.0,,,0.0,,,,,CID5308316,Cc1cc(Nc2cccc(C)c2C)n2nc(C)nc2n1
,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,CID656168,CCCc1cc(Nc2cccc(OCC)c2)n2ncnc2n1
,0.0,,,,,,,,,,,,,,,,CID5308134,Cc1cc(Nc2ccc(F)cc2C)n2ncnc2n1
,0.0,0.0,0.0,,,,,0.0,,,,,,,,,CID1941457,COc1cc(Nc2cc(C)nc3ncnn23)cc(OC)c1
,0.0,0.0,0.0,,,,,,,,0.0,,,,,,CID650229,CCCc1cc(Nc2cccc(OC)c2)n2ncnc2n1
,0.0,,,,,,0.0,,,,,0.0,,,,,CID5308471,CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
,0.0,,,,,,,,,,,0.0,,,,,CID5308476,Cc1cc(Nc2ccc(F)cc2)n2nc(C)nc2n1
,0.0,,0.0,,,,,,,,,,,,,,CID1086759,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1
,0.0,,,,,0.0,,,,,,0.0,0.0,,,,CID647037,CCOC(=O)c1ccc(Nc2c(CC)c(C)nc3ncnn23)cc1
,0.0,,,,,,,,,,,,,,,,CID5308288,CCOc1ccc(OCC)c(Nc2cc(C)nc3ncnn23)c1
,0.0,,,,,,0.0,,,,,,,,,,CID5309795,COc1ccc(Nc2cc(C)nc3nc(C)nn23)c(OC)c1
0.0,,,,,,,,,,,,,,,,,CID5309792,Cc1cc(Nc2ccc(Br)cc2F)n2nc(C)nc2n1
,0.0,,,,,,,,,,,0.0,,,,,CID5309554,CCc1cccc(Nc2cc(C)nc3ncnn23)c1
,,,,,,0.0,,,,,0.0,,,,,,CID661115,CCOC(=O)c1ccc(Nc2cc(C)nc3ncnn23)cc1
,0.0,,,,,,0.0,,,,,,,,0.0,,CID5308496,CCOC(=O)c1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
,0.0,,,,,,,,,,,,,,,,CID5308658,CC(=O)c1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
,,0.0,,,,,0.0,,,,,0.0,,,,,CID3155094,Cc1cc(Nc2cccc(C)c2C)n2ncnc2n1
,,,,,,,,,,,0.0,,0.0,,,,CID1430151,CCc1c(C)nc2ncnn2c1Nc1ccc(C(C)=O)cc1
,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,CID654302,COC(=O)c1ccc(Nc2cc(C)nc3ncnn23)cc1
,,0.0,,,0.0,,,,,,,,,,,,CID5308815,Cc1cc(C)cc(Nc2cc(C)nc3nc(C)nn23)c1
,,,,,,0.0,,,,,,0.0,,,,,CID5307598,COc1ccc(C)cc1Nc1cc(C)nc2nc(C)nn12
0.0,0.0,,,,,,,,,,,,,0.0,,,CID5308467,Cc1cc(Nc2ccc(F)cc2Cl)n2ncnc2n1
,0.0,,,,,0.0,,0.0,,,,,,,0.0,,CID1854652,COc1ccc(Nc2cc(C)nc3ncnn23)c(OC)c1
,,,,,,,0.0,,,,,0.0,,0.0,,,CID5308000,COC(=O)c1cc(Nc2cc(C)nc3ncnn23)cc(C(=O)OC)c1
,0.0,,,,,,0.0,,,,,,,,,,CID5308636,Cc1cc(Nc2cc(F)ccc2C)n2ncnc2n1
,,,0.0,,,,0.0,,,,,,,,,,CID1967887,COc1ccc(C(=O)O)cc1Nc1cc(C)nc2ncnn12
0.0,,,,,,,,,,,,0.0,,,,,CID5308058,Cc1ccc(Nc2cc(C)nc3ncnn23)c(Cl)c1
,0.0,,,,,,,,,,,,,,,,CID5307761,COc1cc(Nc2cc(C)nc3nc(C)nn23)cc(OC)c1OC
