MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,0.0,,,,,,,,,,,,,,,CID647226,CCN(CC)c1nc(Nc2ccc(Cl)cc2)nc(OCC#N)n1
,0.0,0.0,0.0,,,,,,,,,,,,,,CID1249242,Cc1ccc(Nc2nc(N)nc(CC#N)n2)cc1
,,,,,,,,0.0,,,0.0,,0.0,0.0,,,CID692799,COc1nc(Nc2ccc(C(C)C)cc2)nc(OC)n1
,,,,,,,,,,,,,0.0,0.0,,,CID1158970,CCOc1nc(Nc2cc(Cl)ccc2OC)nc(OCC)n1
,0.0,,0.0,,,0.0,,0.0,,,,,,,,,CID2201235,C=CCNc1nc(Nc2ccc(OC)cc2OC)nc(OCC)n1
,,,0.0,,,0.0,,,,,,0.0,,,,,CID661099,COC(=O)CC(=O)Cc1nc(N)nc(Nc2ccc(C)c(C)c2)n1
,,,,,,,,,,,,,0.0,,,,CID779509,CCOc1ccc(Nc2nc(Cl)nc(Cl)n2)cc1
,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,,CID662114,CCOC(=O)COc1nc(Nc2ccccc2C)nc(N(C)C)n1
,,,,,,,,,,,,,,0.0,,,CID744431,COc1ccccc1Nc1nc(Cl)nc(NC(C)(C)C)n1
,,,,,,,,,,,,,,0.0,,,CID790428,COC(=O)CNc1nc(Cl)nc(Nc2ccc(C)cc2)n1
,,,,,,,,,0.0,,,,,,,,CID1831623,Nc1nc(CSCCO)nc(Nc2ccccc2)n1
,,,,,,,,,0.0,,,,,,,,CID1834857,Nc1nc(CSCCO)nc(Nc2ccc(F)cc2)n1
,,,,,,,,,0.0,,,,,,,,CID2009411,COc1ccc(Nc2nc(N)nc(CSCCO)n2)cc1
,,,,,,,,,,,0.0,,,,,,CID662168,CN(C)c1nc(Nc2ccc(Cl)cc2)nc(OCC#N)n1
,,,,,,,,,,0.0,,,,,,,CID1857272,Cc1ccc(Nc2nc(N)nc(CSCCO)n2)cc1
,0.0,,0.0,,,,,,0.0,,,,,,,,CID1621512,COc1ccccc1Nc1nc(N)nc(CSCCO)n1
0.0,0.0,,,,,,,0.0,,,,,,,,,CID666865,COc1cccc(Nc2nc(N)nc(C(F)(F)F)n2)c1
,0.0,,0.0,,,0.0,,,,,,,,,,,CID799232,CCOc1ccc(Nc2ncnc(N)n2)cc1
,,,,,,,,0.0,,,,,,,,,CID1259630,COc1nc(Nc2ccc(O)cc2)nc(OC(C(F)(F)F)C(F)(F)F)n1
,0.0,,,0.0,,,,0.0,,,,,,,,0.0,CID329167,COc1nc(Nc2cccc(C(F)(F)F)c2)nc(OC)n1
,,,,,0.0,,,,,,,,,,,,CID1089220,CCOc1nc(Nc2ccc(OC)c(Cl)c2)nc(OCC)n1
,,,,,,,,,,,,,0.0,,,,CID3586413,C=CCNc1nc(Nc2ccc([N+](=O)[O-])cc2)nc(OCC)n1
,0.0,,,,,0.0,,,,,,,,,,,CID744712,CN(C)c1nc(N)nc(Nc2ccccc2C#N)n1
,,,,,,,,0.0,,,,,,,,,CID935530,COc1ccc(Cl)cc1Nc1nc(N)nc(C(F)(F)F)n1
,,,,,,,,,,,,,,0.0,,,CID832190,CCOc1nc(Nc2ccc(OC)cc2)nc(OCC)n1
,,,,,,0.0,,0.0,0.0,,,,,,,0.0,CID935674,COc1ccc(Nc2nc(N)nc(C(F)(F)F)n2)c(OC)c1
0.0,0.0,,,,,0.0,,0.0,,,,,,,,,CID757416,Nc1ncnc(Nc2ccccc2C(F)(F)F)n1
,,,,,,,,0.0,,,,,,,,,CID690744,Nc1nc(Nc2cccc(C(F)(F)F)c2)nc(C(F)(F)F)n1
,,,,0.0,,0.0,,,0.0,,,,,,0.0,,CID1635764,Cc1c(Cl)cccc1Nc1nc(N)nc(CSCCO)n1
,,,,,,,,0.0,,,,,,,,,CID704906,Nc1ncnc(Nc2cccc(C(F)(F)F)c2)n1
,0.0,,,,,,,,,,,0.0,,0.0,,,CID684507,COc1nc(Nc2ccc(C(C)=O)cc2)nc(OC)n1
,,,,,,,,0.0,,,,,,,,,CID2267114,CC(=O)c1ccc(Nc2nc(NCCO)nc(OC(C(F)(F)F)C(F)(F)F)n2)cc1
0.0,0.0,,,,,,,,,,,,0.0,,,,CID975799,COc1nc(Nc2ccc(OC)c(Cl)c2)nc(OC)n1
,,,,,,,,,,,0.0,,,,,,CID3146889,C=CCNc1nc(Nc2ccc(OC)cc2)nc(OC)n1
,,,,,,,,,,,0.0,,,,,,CID1090715,CN(C)c1nc(Nc2ccccc2)nc(N(C)C)n1
