MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,0.0,0.0,,,,,0.0,,,CID946983,Cc1cc(C)c(C#N)c(Oc2ccccc2)n1
,,,,,,,,,,,,,0.0,0.0,,,CID3382953,O=Cc1ccc(Oc2ccc(F)cc2)nc1
,,,,,,,,,,,,,,0.0,,,CID1488716,CN(C)c1ccnc(Oc2ccc(Cl)cc2)c1C#N
,,,,,,,,,,,,,,0.0,,,CID709284,COCc1cc(C)nc(Oc2ccccc2)c1C#N
,,,,,,,,,,,0.0,,,,,,CID1475661,CN(C)c1ccnc(Oc2ccc(C(C)(C)C)cc2)c1C#N
,0.0,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,CID714288,CC(=O)Nc1cccc(Oc2nc(C)cc(C)c2C#N)c1
,,,,,0.0,,,,,,0.0,,,,,,CID1475658,CN(C)c1ccnc(Oc2ccccc2)c1C#N
,,,0.0,,,,,,0.0,,0.0,,,,,0.0,CID806744,COc1cccc(Oc2ccc(N)cn2)c1
,,,,,,,,,,,,,,,,0.0,CID894678,CCOc1cccc(Oc2ccc(C(F)(F)F)cn2)c1
,,,,,0.0,,,,,,,,,,,,CID3816581,Cc1ccc(Oc2ccc(/C=N/O)cn2)cc1
,,,,,0.0,,,,,,,,0.0,,,,CID1475680,Cc1cc(C)c(S(C)(=O)=O)c(Oc2ccc(C(C)(C)C)cc2)n1
,,,,,,,,,,,,,,0.0,,,CID1484343,COc1ccnc(Oc2ccccc2)c1C#N
,,,,,0.0,,,,,,,,,,,,CID6523624,CCOc1cccc(Oc2ncccc2C(=O)/C(C#N)=C/N(C)C)c1
,,,0.0,,,,,0.0,0.0,,,,,,0.0,,CID892983,COc1ccc(Oc2nc(C)cc(C)c2C#N)cc1
,0.0,0.0,,,,0.0,0.0,,,,,,,,,,CID123450,O=C(O)c1cccnc1Oc1ccccc1
,,,,,,,,,,,0.0,,,,,,CID1475677,Cc1cc(C)c(S(C)(=O)=O)c(Oc2ccc(F)cc2)n1
,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,CID2545885,CCN(CC)S(=O)(=O)c1ccc(Oc2cccc(C(C)=O)c2)nc1
,,,,,0.0,,,,,,,,,,,,CID1471702,CC(=O)c1cc(C#N)c(Oc2cc(C)cc(C)c2)nc1C
,,,,,0.0,,,,,,,,,,,,CID3487667,CO/N=C/c1ccc(Oc2ccc(C)cc2)nc1
,,,,,0.0,,,,,,,,,0.0,,,CID1471658,COC(=O)c1cc(C#N)c(Oc2ccc(OC)cc2)nc1C
,,,,,0.0,,,,,,,,,,,,CID1471656,COC(=O)c1cc(C#N)c(Oc2ccc(F)cc2)nc1C
,,,,,,,,,,,,,0.0,,,,CID1484358,COc1ccnc(Oc2cc(Cl)cc(Cl)c2)c1C#N
,,,,,,,,,,,,,,0.0,,,CID740574,O=[N+]([O-])c1ccc(Oc2ccc(/C=N/O)cc2)nc1
,,,,,,,,,,,,,,0.0,,,CID3750714,Cc1ccc(Oc2ncccc2CO)cc1
,,,,,,,,,,,,,,,,0.0,CID894639,COc1cccc(OC)c1Oc1ccc(C(F)(F)F)cn1
,,,,,,,,,,,,,0.0,,,,CID1470949,COc1ccnc(Oc2ccc(Cl)cc2)c1C#N
,,,,,,,,,0.0,,,,,,0.0,,CID714981,Cc1cc(C)c(C#N)c(Oc2ccc(O)cc2)n1
,,,0.0,,,,,,,,,,,,,,CID895247,CCOc1ccccc1Oc1ccc(C(F)(F)F)cn1
,,,,,,,,,,,,,0.0,,,,CID1475679,Cc1cc(C)c(S(C)(=O)=O)c(Oc2cccc(Cl)c2)n1
,,,,,0.0,,,,,,0.0,,,,,,CID1475674,COc1ccc(Oc2nc(C)cc(C)c2S(C)(=O)=O)cc1
,,,,,0.0,,,,,,,,,,,,CID1475675,Cc1cc(C)c(S(C)(=O)=O)c(Oc2ccccc2C)n1
,,,,,,,,,,,,,0.0,,,,CID2764054,Cc1ccc(Oc2ccc(C=O)cn2)cc1
,,,,,,,,,,,,,0.0,,,,CID1471663,COC(=O)c1cc(C#N)c(Oc2ccccc2OC)nc1C
,,,,,,,,,,,0.0,,,,,,CID723813,CCCC(=O)Nc1cccc(Oc2nc(C)cc(C)c2C#N)c1
,,,,,,,,,,,0.0,,,,,,CID723818,Cc1cc(C)c(C#N)c(Oc2ccc(F)cc2)n1
,,,,,0.0,,,0.0,,,0.0,,,,,,CID714514,CCC(=O)Nc1cccc(Oc2nc(C)cc(C)c2C#N)c1
,,,,,0.0,,,,,,,,,,,,CID4262428,Cc1ccc(Oc2ncccc2/C=N/O)cc1
,,,,,,,,,,,,,0.0,,,,CID1487149,COc1ccnc(Oc2ccccc2)c1C(N)=O
