MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,0.0,,,,,,,,,CID663080,Cn1c(Cl)nc2ccccc21
,,,,,,,,0.0,,,,,,,,,CID55935,COC(=O)c1ccc2nc(C(F)(F)F)[nH]c2c1
,,,,,,,,,,,,,0.0,,,,CID2773135,CC(C)n1c(NCCO)nc2ccccc21
,,,,,,,,,,,,,,0.0,,,CID2130268,CCCCn1cnc2cc(C)c(C)cc21
,,,,,,,,,,,0.0,,,0.0,,,CID3153873,CCCNC(=O)Nc1ccc2c(c1)nc(C)n2C
,,,0.0,,,,,,,,0.0,,,,0.0,,CID3591547,CCCCn1c(CNC(=O)CCC)nc2ccccc21
,,,,,,,,,,,0.0,,0.0,0.0,,,CID3066874,CCCCn1c(NCCO)nc2ccccc21
,,,0.0,,,,0.0,,,,0.0,0.0,,,,,CID878762,CC(=O)Nc1nc2ccccc2n1CCN(C)C
,,,0.0,,,,,,,,,,,,,,CID2997746,CCOc1ccc2nc(SC(C)C(N)=O)[nH]c2c1
,,,0.0,,,0.0,,,,,,0.0,,,,,CID696877,CC(C)CSc1nc2ccccc2n1CC(N)=O
,,,,,,,,,0.0,,0.0,,,,0.0,,CID5072899,CCCCn1c(CCCNC(=O)CC)nc2ccccc21
,,,,,,,,,0.0,,,,,,,,CID2468068,CSCCC(NC(=O)CCNC(C)=O)c1nc2ccccc2[nH]1
,,,,,,,,,,,0.0,,,,,,CID1781887,C=CCOc1ccc2nc(NC(=O)OC)[nH]c2c1
,,,,,,,,,0.0,,0.0,,,,,,CID21624,CCCc1nc2ccccc2[nH]1
,,,,,,,,,0.0,0.0,0.0,,,,,,CID2952410,Cn1c(NCCCO)nc2ccccc21
,,0.0,,,,,,,,,,,,,0.0,,CID751066,Cn1c(CNC(=O)C(C)(C)C)nc2ccccc21
,,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,CID751067,CCn1c(CNC(=O)C(C)(C)C)nc2ccccc21
,,,0.0,,,,0.0,,,,,,,,,,CID751069,CCn1c(CNC(=O)COC)nc2ccccc21
,,,,,,,0.0,,,,,,,,,,CID3530846,CCCCCn1c(C(C)NC(=O)CCC)nc2ccccc21
,,,,,,,,,,,0.0,,,,,,CID691467,CCOC(=O)n1c(SCC(N)=O)nc2ccccc21
,,,,,,,,,,,,0.0,,,,,CID2874844,CCCCn1c(C(C)O)nc2ccccc21
,,,,,,,,,0.0,,,,,,,,CID3224621,CC(C)(C)NC(=O)Cn1c(SCC(N)=O)nc2ccccc21
,,0.0,,,,,0.0,,,,,,,,,,CID745083,CCC(=O)Nc1nc2ccccc2n1CCN(CC)CC
,,,,,,0.0,0.0,,,,,0.0,,,,,CID4622,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1
,,,0.0,,,,0.0,,,,0.0,,,,,,CID867664,Cn1c(CO)nc2cc(N)ccc21
,,,,,,,,0.0,,,,,,,,,CID660547,CCn1c(C)nc2cc(S(=O)(=O)C(F)(F)C(F)C(F)(F)F)ccc21
,,,,,,,,,,,0.0,,,,,,CID950532,C=C(Br)Cn1c(CC)nc2ccccc21
,,0.0,,,,,,,,,,,,,,,CID935474,CN(Cc1nc2ccccc2n1C)S(C)(=O)=O
,,,0.0,,,,,,,,,,,,0.0,0.0,CID5074864,CCOC(=O)Cn1c(C(C)=O)nc2ccccc21
,,,0.0,,,,,,0.0,,,,,,,,CID955340,C=C(C)Cn1c(CCNC(=O)C(C)C)nc2ccccc21
,,,,,0.0,,,,,0.0,,,,,,,CID3461043,CCOC(Cn1c(CCCO)nc2ccccc21)OCC
0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,CID702576,CN(C)/C=C(\C#N)c1nc2ccccc2[nH]1
,,,,0.0,,,,,,,,,,,,,CID1605100,C=CCSc1nc2ccccc2[nH]1
,,,,,,,,,,,,,,,0.0,,CID2999595,CCCNC(=O)NC(=O)CSc1nc2ccccc2n1CC(C)C
,,,,,0.0,,,,,,,,,,,,CID755565,O=C(O)CCCc1nc2ccccc2[nH]1
