MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,0.0,,,,0.0,,,,,0.0,,,,,,CID966831,CS(=O)(=O)N(CC(N)=O)c1ccc2c(c1)OCO2
,,0.0,,,,0.0,,,,,,,,,0.0,,CID606519,CCOC(=O)NCc1ccc2c(c1)OCO2
,,,,,,,,,,,,,,,,0.0,CID658657,CCOC(=O)C(NCc1ccc2c(c1)OCO2)(NC(=O)CC)C(F)(F)F
,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,CID2904922,CN(C)S(=O)(=O)NCc1ccc2c(c1)OCO2
,,,,,,,,,0.0,,,,,,,,CID1540603,CCOC(=O)NC1(NC(C)C)Oc2ccccc2O1
,,,,,,,,,,0.0,,,,,,,CID840102,CCCN(CCC)C(=O)c1ccc2c(c1)OCO2
,,,,,,,,,0.0,0.0,,,,,0.0,,CID2162754,CCOCC(=O)NCc1ccc2c(c1)OCO2
,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,CID644646,COCCCNC(=O)c1ccc2c(c1)OCO2
,0.0,0.0,,,,,,,0.0,,,,,,0.0,,CID713232,CCOC(=O)Nc1cc2c(cc1C(C)=O)OCO2
,,,,,,,0.0,,,,,0.0,,,,,CID731807,CC(C)=CC(=O)Nc1ccc2c(c1)OCO2
,,,,,,,,0.0,,,,,,,,,CID4377888,CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID3548628,CNC(=S)NC(CC(=O)OC)c1ccc2c(c1)OCO2
,,,,,,,,,0.0,,0.0,0.0,,,0.0,,CID885668,COCC(=O)NCc1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID2904256,CCCC(C)C(=O)NCc1ccc2c(c1)OCO2
,,,,0.0,,,,,,,,,,,,,CID853738,CN(C)S(=O)(=O)Nc1ccc2c(c1)OCO2
,0.0,,,,,,,,,,,,,,,,CID662964,COC(=O)CSCC(=O)Nc1cc2c(cc1C(C)=O)OCO2
,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,CID2915932,CCCCC(CC)CNC(=O)c1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID3108590,COCCNC(=O)C(=O)N/N=C(\C)CC(=O)Nc1ccc2c(c1)OCO2
,,,,,,,,,,,,,0.0,,,,CID1943061,CN(C)CCCNC(=O)/C=C/c1ccc2c(c1)OCO2
,,,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,CID2290503,CCCCOCCCNC(=O)c1ccc2c(c1)OCO2
,,,,,,,,,,,,,,,0.0,,CID745625,CCOC(=O)CNc1ccc2c(c1)OCO2
,,,,,,,,,,,,,0.0,,,,CID735851,O=C(CCl)Nc1ccc2c(c1)OCO2
,,,,,,,,,,,,,,,0.0,,CID2997588,CC(=O)OCC(=O)NCc1ccc2c(c1)OCO2
,,,,,,,,,,,,,,,0.0,,CID2178964,CCOCCCNC(=O)c1ccc2c(c1)OCO2
,,,,0.0,,,,,,,,,,,,,CID2770892,NCC(O)COc1ccc2c(c1)OCO2
,,,,,,,,0.0,,,,,,,,,CID3242697,COCCNC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1
,,0.0,0.0,,,,0.0,,,,,,,,0.0,,CID3241184,CC(/C=N/O)Cc1ccc2c(c1)OCO2
,,,,,,,,,,0.0,,,,,,,CID903440,COC(=O)Nc1ccc2c(c1)OCO2
,,,,,0.0,,,,,,,,,,,,CID2271241,CCCNC(=O)/C=C/c1ccc2c(c1)OCO2
,,,,,,,0.0,,,,,0.0,,,,,CID2207757,N#CCCN(CCC#N)C(=O)c1ccc2c(c1)OCO2
,,,,,,,,,,,,,0.0,,0.0,,CID1252713,CS(=O)(=O)N(CC(=O)O)c1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID12004747,CCOC(=O)N/N=C/C=C/c1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID601861,COc1cc2c(cc1C=O)OCO2
,,,,,,,,,,,,,0.0,,,,CID2483550,CN(C)CC(C)(C)CNC(=S)NCc1ccc2c(c1)OCO2
,,,,,,,,0.0,,,,,,,,0.0,CID1243155,CCC(NC(=O)NCc1ccc2c(c1)OCO2)(C(F)(F)F)C(F)(F)F
,0.0,,,,,,,,,,,,0.0,,,,CID842004,CC(=O)c1cc2c(cc1NC(=O)CCCC(=O)O)OCO2
,,,,,0.0,,,,,,,,,0.0,,,CID3357995,CC1(C)Oc2cc(N)c([N+](=O)[O-])cc2O1
,0.0,,,,,,,,,,,,,,,,CID120000,CC(=O)c1cc2c(cc1N)OCO2
,,,,,,,,,,,,,,0.0,,,CID1603741,CC(=O)N/C(=C/c1ccc2c(c1)OCO2)C(=O)NCCCO
