MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,,0.0,,,CID890157,CN(C)C(=O)Oc1cccc2c(OC(=O)N(C)C)cccc12
,,,0.0,,0.0,,0.0,,,,,,,,,0.0,CID659824,CCN(CC)S(=O)(=O)c1cccc2c(N(C)C)cccc12
,,,,,,,,,,,,,0.0,,,,CID4027653,CCOC(=O)C(C)/C(C)=N/NC(=O)c1cc2ccccc2cc1O
,,,0.0,,,0.0,,,0.0,,,,,,0.0,,CID708036,COc1ccc2ccccc2c1/C=N/O
,,,,,,,0.0,,,0.0,,,,,0.0,,CID313134,CC(=O)Oc1c(C)cc(O)c2ccccc12
,,,,,,,,0.0,,,,,,,,,CID76313,O=C(O)COc1cccc2ccccc12
,,,,,,0.0,,,0.0,,,,,,,,CID762871,CNS(=O)(=O)c1cc(O)c2c(S(=O)(=O)NC)cccc2c1
,,,,,,,,,0.0,,,0.0,,,0.0,,CID685108,CC(=O)c1ccc(N(C)C)c2c(N(C)C)cccc12
,,,0.0,,,,,,,,0.0,,,,0.0,,CID4155260,CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1cccc2ccccc12
,,,,,,,,,,,,,0.0,,,,CID79416,O=C(O)c1cc(Cl)c2ccccc2c1O
,,,,,,,0.0,,,0.0,,,,,0.0,,CID302104,CC(C)(Oc1cccc2ccccc12)C(=O)O
,,,,,0.0,,,,,,,,,,,,CID3621524,CCC(C)NC(=O)COc1ccc2ccccc2c1
,0.0,,,0.0,,,0.0,,,,,,,,,,CID66722,O=C(NCCO)c1cc2ccccc2cc1O
,,,,,,,,,,,,0.0,0.0,,,,CID974773,O=C(O)c1ccc2cccc(Cl)c2c1O
,,0.0,,,,,0.0,0.0,,,,,,,,,CID768476,O=C(O)CSc1cccc2cccc(C(=O)O)c12
,,,0.0,,,,,,,,,,0.0,0.0,,0.0,CID749802,CCN(CC)C(=O)Oc1ccc(Cl)c2ccccc12
,,0.0,0.0,,0.0,,,,,,,,,,0.0,,CID874842,CCNC(=O)COc1ccc2ccccc2c1
,,,,,,,,,0.0,,,,,0.0,,,CID2219519,CC(C)(C)SCCNS(=O)(=O)c1ccc2ccccc2c1
,,0.0,,,,,,0.0,,,,,0.0,0.0,,,CID362742,O=C(O)CCCNS(=O)(=O)c1ccc2ccccc2c1
,,,,,,,,0.0,,,,,,,,0.0,CID772871,Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12
,0.0,,,,,,0.0,,,,,,,,,,CID2832525,CC(=O)N(C(C)=O)c1cccc2c(N(C(C)=O)C(C)=O)cccc12
,,,,,,0.0,,,,,,,,,,,CID277786,O=C(O)CCC(=O)c1cccc2ccccc12
