MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,0.0,,,,,,,,,,,,,0.0,CID650479,CCOC(=O)CSc1nc2cc(OCC)ccc2cc1C#N
,0.0,,,,,,,,,,,,,,,,CID661670,O=C(O)CCSc1ccc2ccccc2n1
,,,,0.0,,0.0,,,,,,,,,,,CID975565,CCOC(=O)CSc1cccc2cccnc12
,,,,,,,,,0.0,,,,,,,,CID3237518,CCN(CC)c1nc2cc(OC)ccc2cc1C#N
,,,,,,,,,,0.0,,,,,,,CID690129,COCc1ccc(O)c2ncccc12
,,,,,,,,0.0,,,,,,,,,CID865215,CCc1nc2ccccc2c(C(=O)O)c1C
,,,,,,,,,,,0.0,0.0,,,,,CID736812,COC(=O)c1ccc2ncccc2c1
,,,,,,0.0,,,,,,,,,,,CID408543,O=C(O)CSc1ccc2ccccc2n1
,,,,,,,,,,,,0.0,,,,,CID3114297,C/C(CC(O)c1ccc2ccccc2n1)=N\O
0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,CID684511,CC(C)=CCc1c(C)nc2ccccc2c1C(=O)O
,0.0,,,,,,,,,,,,,,,,CID706495,CNS(=O)(=O)c1cccc2cccnc12
,,,,,,,,,,,0.0,,,,,,CID706496,CCN(CC)S(=O)(=O)c1cccc2cccnc12
,,,,,,,,,,,,,,0.0,,,CID702518,CCCc1c(C)nc2c(Br)cccc2c1Cl
,,,,,,,0.0,,,,0.0,,,,0.0,,CID655498,CCOc1ccc2cc(C#N)c(SCC(=O)NC(C)CC)nc2c1
,,0.0,,,,0.0,,,,,,,,,,0.0,CID695449,O=C(O)CCCC(=O)Nc1cccc2cccnc12
,,,,,,,,,,,,,,0.0,,,CID847940,CCN(CC)C(=O)Cc1cc(C(=O)O)c2ccccc2n1
,,,,,0.0,,,,,,,,,,,,CID736420,CC(=O)/C=C/c1ccc2ccccc2n1
,,,,,,,,,,,0.0,,,,,,CID781584,COc1cc2cc(C(N)=O)c(N)nc2cc1OC
,0.0,,0.0,,,0.0,,,,,0.0,,,,0.0,,CID672297,CC(=O)c1c(C)nc2ccccc2c1N
,,,0.0,,,,,0.0,,,,,,,,0.0,CID2089905,O=C(COc1cccc2cccnc12)NCC(F)(F)F
,,,,,,,,,,0.0,0.0,,,,,,CID753651,NC(=O)COc1cccc2cccnc12
,,,,,,,0.0,,0.0,,,,,,,0.0,CID651177,CCOC(=O)CSc1nc2cc(OC)ccc2cc1C#N
,,,,,,0.0,0.0,,,,,,,0.0,,0.0,CID613863,CCCCN(CCCC)S(=O)(=O)c1ccc(OC)c2ncccc12
,,,,,,,0.0,,,,,,,,,,CID338493,CNC(=O)OCc1cnc2ccc(OC)cc2c1COC(=O)NC
0.0,,,,,,,,,,,,,,,,,CID3623814,CC(=O)c1c(C)nc2ccc(Br)cc2c1C(=O)O
,,,0.0,,,,,,,,,,,,,,CID663463,CCOC(=O)c1cc2cc(F)ccc2nc1C
,,,0.0,,,,,,,,,,,,,,CID650142,OCC#Cc1cnc2ccccc2c1
,0.0,,,,,,0.0,,,,,,,,,,CID626312,CCCCNS(=O)(=O)c1ccc(OC)c2ncccc12
,,,,,,,0.0,,,,,,,,,,CID245082,CCC(C)(C)NCCCCCNc1cc(OC)cc2cccnc12
,,,,,,,,,,,0.0,,,,,,CID818247,Cc1ccc2cc(C(=O)O)c(C)nc2c1
,,,,,,,,,,,,,0.0,,,,CID788657,Cc1cc2cc(C=O)c(Cl)nc2cc1C
,,,,,,,,,,,,,0.0,,,,CID849850,COc1cc(OC)c2c(OC)cccc2n1
,,,,,,,,,,,,,0.0,,,,CID4877911,Cc1cc(C(=O)NC(C)CCC(C)C)c2ccccc2n1
,,,,,,,,,,,,,,0.0,,,CID712919,O=C(O)/C=C/c1ccc2ccccc2n1
,,,,,,,1.0,,,,,,,,,,CID410584,CCC(C)NCCNc1cc(OC)cc2cccnc12
,,0.0,,,,0.0,,0.0,0.0,,,,,,,,CID2120772,COCCNC(=O)c1ccc2ccccc2n1
,,,0.0,,,,0.0,,,,0.0,,,,0.0,,CID3237879,COc1ccc2cc(C#N)c(NC(C)C)nc2c1
,,,0.0,,,,,,0.0,,,,,,,,CID650115,CCOc1ccc2nc(NCCNC(=O)CC)c(C#N)cc2c1
,,,,,,,,,0.0,0.0,,0.0,,,0.0,,CID658584,Cc1cc(OCC(=O)O)c2ccccc2n1
,,,,,,,,,,0.0,0.0,,,,,,CID3114261,CCCCOC(=O)c1cc(C)nc2ccc(Br)cc12
,,0.0,,,,,0.0,,,,0.0,,,,,,CID1078338,CCOC(=O)c1ccc2ncc(C(=O)OCC)c(NCCN(C)C)c2c1
,,0.0,,,,,0.0,,,,,,,,,,CID648917,COC(=O)CSc1nc2cc(C)cc(C)c2cc1C#N
,,0.0,0.0,,,,0.0,,,,,,,,,,CID652704,CCOc1ccc2nc(NCCNC(=O)C(C)C)c(C)cc2c1
,,,,,,,1.0,,,,,,,,,,CID226259,O=[N+]([O-])c1cc(O)cc2cccnc12
,,,,,,,0.0,,,,,,,,,,CID231916,COc1cc(NCCCCN)c2ncccc2c1
,,,,,,,,,,,,,,0.0,,,CID3132919,CCCc1c(C)nc2c(OC)cccc2c1SCC(=O)O
,,,,,,0.0,,,0.0,,0.0,,,,,,CID659164,CCC(=O)Nc1c(C)c(CC)nc2ccccc12
,,,,,,,,,,,,0.0,,,,,CID657495,Cc1cc(C#N)c2ccccc2n1
,,,,,,,,,,,0.0,,,,,,CID3118270,CC(C)C(=O)NC(Nc1cccc2cccnc12)C(Cl)(Cl)Cl
,,,,,,,,,,0.0,,,,,,,CID1481999,Cc1nc2ccccc2cc1C(=O)O
,,,,,,,,,,,,,0.0,,,,CID828415,COc1ccc2cc(CO)c(Cl)nc2c1
,,,,,,,,,,,,,,,,0.0,CID1512190,COC(=O)c1cnc2c(C(F)(F)F)cccc2c1OC
,,,,,,0.0,,,,,,,,,,,CID654548,CCc1ccc2nc(SCC(=O)N(CC)CC)c(C#N)cc2c1
,,,0.0,,,,0.0,,,,,,,,,,CID653532,CCOC(=O)CSc1nc2cc(C)cc(C)c2cc1C#N
,,,,,,0.0,0.0,,,,,,,,,,CID658612,OCc1ccnc2c(O)cccc12
,,,0.0,,,,0.0,,,,,,,,,,CID3236342,COC(=O)c1c(C)nc2ccccc2c1C(=O)O
,,,0.0,,,,,,,,,,,,,,CID1628135,COc1ccc2c(C)cc(SCC#N)nc2c1
,,,,,,,,0.0,,,,,,,,0.0,CID660695,COc1ccc(OC)c2c(N)c(C#N)c(C(F)(F)C(F)(F)F)nc12
,,,,0.0,,,,,0.0,,,,,,,0.0,CID151506,CS(=O)(=O)Nc1cccc2cccnc12
,,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,CID3235654,CCOc1ccc2nc(C)cc(C(=O)O)c2c1
,,0.0,,,0.0,,,,,0.0,,,,,,,CID647916,Cc1cc2ccc(C)c(C)c2nc1SCC#N
,,,,,,,1.0,,,,,,,,,,CID245091,NCCCCCNc1cc(O)cc2cccnc12
,,,,,,,,0.0,,,,,,,,,CID2384587,CCCc1nc2ccccc2c(C(=O)O)c1CC
,,,,,,,,,,,0.0,,,,,,CID1569283,CCOC(=O)c1cnc2ccc(Br)cc2c1NCCO
,,,,,,0.0,,,,,,,,,0.0,,CID408190,CCN(CC)CCNc1ccnc2cc(Cl)ccc12
,,,,,,,,,,,,,0.0,,,,CID1491214,COC(=O)/C=C/c1cnc2ccccc2c1
,0.0,,,,,,0.0,,,,,,,,0.0,,CID3244543,Cc1cc(C)c2ccc(N)nc2c1O
,,,,,,,,0.0,,,,,,,,0.0,CID893413,O=C(O)CCS(=O)(=O)c1cccc2cccnc12
,,,,,,,0.0,,,,,,,,0.0,,CID652347,COc1ccc2nc(C)cc(C(=O)O)c2c1
,,,,,0.0,,,,,,,,,,,,CID1767737,CCNC(=S)NNC(=O)c1cc(CC(C)C)nc2ccccc12
,,,0.0,,,,0.0,,,,,,,,,,CID653460,Cc1cc(C)c2cc(C#N)c(NCCCNC(=O)CCC(=O)O)nc2c1
,,,0.0,,,0.0,,,,,0.0,,,,,,CID648198,Cc1ccc2cc(C)c(NCCO)nc2c1
,,,,,,,,,,,,,0.0,,,,CID973403,CNC(=O)COc1ccc(Cl)c2cccnc12
,,,,,,,,,,,,,0.0,,,,CID2417560,CCCNC(=O)COC(=O)c1cc(C)nc2ccccc12
,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,CID653094,CCOC(=O)CC(=O)CSc1nc2ccc(C)cc2cc1C#N
,,,,,,,0.0,0.0,,0.0,,,,0.0,,,CID5310824,CC(O)/C=C/c1ccc2ccccc2n1
,,,,,,,,,,,,,,0.0,,,CID865551,CCSc1nc2ccc(C)cc2cc1C#N
,,,,,,,,,,,,,0.0,,,,CID610440,O=[N+]([O-])c1cccc2c(Cl)ccnc12
,0.0,,0.0,,0.0,,,,,,,,,,,,CID647352,COCC(=O)NCCNc1nc2ccc(C)cc2cc1C
,,,,,,,,,,,,,0.0,,,,CID864463,CCOC(=O)CSc1cc(C)nc2ccc(OC)cc12
,,,,,0.0,,,0.0,,,,,,,,,CID864464,COC(=O)CSc1cc(C)nc2ccc(OC)cc12
,,,,,,,0.0,,,,,,,,,,CID4908,COc1cc(NC(C)CCCN)c2ncccc2c1
,,,,,,,,,,,,,0.0,,,,CID260645,O=[N+]([O-])c1cc(Cl)c2cccnc2c1O
,,,0.0,,,,,,,,,,,,,0.0,CID660762,Cc1ccc2nc(C(F)(F)F)c(C#N)c(N)c2c1
,,,,,,,,,,,0.0,,,,,0.0,CID3236405,COC(=O)c1c(C(C)=O)cnc2ccc(Br)cc12
,,,0.0,,,,,,,,,0.0,,,,,CID649765,CCOc1ccc2nc(SCC#N)c(C#N)cc2c1
,,,,,,,,0.0,,,,,,,,,CID622172,Cc1cc(C)c2nc(C(F)(F)F)c(C#N)c(N)c2c1
,,,,,,,0.0,,,,,,,,,,CID414229,CCC(CC)NCCCNc1cc(OC)cc2cccnc12
0.0,,,,,,,,,,,0.0,,,,,0.0,CID1068494,CCOC(=O)c1cc(C(=O)OCC)c2cc(Br)ccc2n1
,,,,,,,,,0.0,,,,,,,,CID1569301,CCOC(=O)c1cnc2c(Cl)cc(Cl)cc2c1NCCOCCO
,,0.0,,,0.0,,0.0,,,,0.0,,,,,,CID85122,Cc1cc(C(N)=O)c2ccccc2n1
,,,,,,0.0,,,,,,,,,,,CID975246,O=S(=O)(c1cccc2cccnc12)N(CCO)CCO
,,,,,,,,0.0,,,0.0,,,,,,CID854375,CCCc1cc(C(=O)O)c2ccccc2n1
,,,,,,,,,,,0.0,,,,,,CID521259,Brc1ccc2cccnc2c1
,,0.0,0.0,,,,,,,0.0,0.0,,,,,,CID594394,Cc1nc2ccccc2cc1O
,,,,,,,0.0,,,,,,,,,,CID437121,CCCNCCCC(C)Nc1cc(OC)cc2c(C)ccnc12
,,,,,,,,0.0,,,,,,,,,CID3171518,CCOC(=O)CC(=O)CSc1nc2cc(C)ccc2cc1C
,,,,,,,,,,,,,0.0,,,,CID242755,O=[N+]([O-])c1ccc(Cl)c2cccnc12
,,,,,0.0,,,,,,,,0.0,,,,CID790303,CCOC(=O)c1ccc2nc(C)c(CCC(C)=O)c(Cl)c2c1
