MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,0.0,,,,,,,,CID541104,COC(=O)C(NC(C)=O)(Nc1nc2c(C)cc(C)cc2s1)C(F)(F)F
,,,,,,,,,,0.0,,,,,,,CID726069,CSc1nc2ccc(S(=O)(=O)N(C)C)cc2s1
,0.0,,,,,,,,,,,,,,,,CID5310571,COc1ccc(OC)c2sc(NC(=O)C(C)C)nc12
,,,,0.0,,,,,,,,,,,,,CID661084,COC(=O)CCCc1nc2ccccc2s1
,,0.0,,0.0,,,,,0.0,,,,,,,,CID2163146,CCOCC(=O)Nc1nc2ccc(OC)cc2s1
,,,,,0.0,,,,,0.0,,,,,,,CID2448254,C/C=C/C(=O)OCC(=O)Nc1nc2ccc(C)cc2s1
,,,0.0,0.0,,,,,,,,0.0,,,,,CID743852,CCCC(=O)Nc1nc2ccc(OC)cc2s1
,,,,,0.0,,,,,,,,,,,,CID942915,CCOc1ccc2nc(NC(=S)N(C)C)sc2c1
,,,,,0.0,0.0,,,0.0,,,,,,,,CID644460,COC(=O)CSc1nc2ccc(NC(C)=O)cc2s1
,,,,,,,,,0.0,,,,,,,,CID15630,COc1ccc2nc(N)sc2c1
,,,0.0,0.0,0.0,0.0,,,,,,,,,,,CID2150748,CCCCC(=O)Nc1nc2c(OC)ccc(OC)c2s1
,0.0,0.0,,0.0,,0.0,,,,0.0,,,,,,,CID2150741,CCC(=O)Nc1nc2c(OC)ccc(C)c2s1
,,,0.0,0.0,,,,,,,,,,,,,CID2150742,CCC(=O)Nc1nc2c(OC)ccc(OC)c2s1
,,,,,,,,,,,,,0.0,,,,CID11989,CSc1nc2ccccc2s1
,,,,0.0,,,,,,,,,,0.0,,0.0,CID46372,Cc1cc(C)c2nc(N)sc2c1
,,0.0,,,,0.0,,,0.0,0.0,,,,,,,CID880537,CCOC(=O)CSc1nc2ccc(NC(C)=O)cc2s1
,,0.0,,0.0,,0.0,,,0.0,,,,,,,,CID719923,CC(C)OC(=O)CSc1nc2ccccc2s1
,,,,,,,,,,,,,,0.0,,,CID2417639,NC(=O)COC(=O)CCCc1nc2ccccc2s1
,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,CID3244626,COCCNC(=O)CNS(=O)(=O)c1ccc2nc(C)sc2c1
,,,,,,,,,,,,,0.0,,,,CID596564,CC(C)C(=O)NNc1nc2ccccc2s1
,,,,,0.0,,,,,,,,,,,,CID701066,C=CCS(=O)(=O)c1nc2ccccc2s1
,,,,0.0,,,,,,,,0.0,,,,,CID2341868,Cc1nc2cc(CO)ccc2s1
,,,,,,,,,,,,,,,,0.0,CID5070,Nc1nc2ccc(OC(F)(F)F)cc2s1
,,,,,,,,,,,,,,0.0,,,CID900712,CN(C)C(=O)c1nc2ccccc2s1
,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,CID640708,CCOC(=O)c1nc2ccccc2s1
,,,,0.0,,,,0.0,,,,0.0,,,,,CID645396,CCS(=O)(=O)CCSc1nc2ccccc2s1
,,,0.0,0.0,,0.0,,,,0.0,,,,,,,CID649185,COc1ccc2sc(C)nc2c1NC(C)=O
,,,,,,,,,,0.0,,,,,,,CID252398,CC(=O)CSc1nc2ccccc2s1
,,,0.0,0.0,,,,,,,,,,,,,CID762831,Cc1nc2ccc(N)cc2s1
,,0.0,,,,,,,,,,0.0,,,,,CID651739,CSCCC(Nc1nc2ccccc2s1)C(=O)O
0.0,,,,0.0,,,,,0.0,,,,,,,,CID660458,CCOc1ccc2nc(NC(NC(=O)CC)(C(=O)OC)C(F)(F)F)sc2c1
,,,0.0,,,,,,,,0.0,,,,,0.0,CID646206,CCC(=O)Nc1nc2ccc(NC(C)=O)cc2s1
,,,,,,,,,,,,,0.0,0.0,,,CID2448595,CCOc1ccc2nc(SCC(=O)NC(=O)C(C)C)sc2c1
,,,,0.0,,,,,,,,,,,,,CID660642,COC(=O)C(NC(C)=O)(Nc1nc2ccc(S(C)(=O)=O)cc2s1)C(F)(F)F
,,,,0.0,,,,,,,,,,,,,CID655817,COc1ccc2sc(NC(C)=O)nc2c1
,,,,0.0,0.0,,,,,,,,,,,,CID3237588,Cc1nc2ccc(S(=O)(=O)NC(CC(C)C)C(=O)O)cc2s1
,,,,,,,,,,,,,0.0,,,,CID2096694,CCOC(=O)NC(=O)COC(=O)CCCSc1nc2ccccc2s1
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,CID762833,CCOc1ccc(OCC)c2sc(C)nc12
,,,,,,,0.0,,0.0,,,,,,,,CID662345,CCC(=O)NC(=Nc1nc2ccccc2s1)NC(=O)CC
0.0,,,,,,0.0,,,0.0,,,,,,,,CID993382,C=CCN(CC=C)S(=O)(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1
,0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,CID653086,CC(=O)Nc1ccc2nc(SCC(=O)O)sc2c1
,,,,,,,,,0.0,,,,,,,,CID4400590,CCC(=O)NC(Nc1nc2ccc(C)cc2s1)(C(=O)OC)C(F)(F)F
,,,,,,,,,,,,,,0.0,,,CID2290622,CC(C)OC(=O)CCC(=O)Nc1nc2ccccc2s1
0.0,,0.0,,,,,,,,,,0.0,,,,,CID224561,O=C(O)CCSc1nc2ccccc2s1
,,0.0,,,,,,,0.0,,,,,,,,CID3295,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
,,,,,0.0,,,,,0.0,,,,,,,CID744441,COc1cc2nc(C)sc2cc1SC
,,,,0.0,,,0.0,,,,,0.0,,,,,CID1567001,CCCCOC(=O)Nc1nc2ccc(OC)cc2s1
,,,0.0,,,,,,,,,,,,,,CID9601080,CCOC(=O)N/C(N)=N/c1nc2ccccc2s1
0.0,,,,0.0,,0.0,,,,,,,,,,0.0,CID629191,CCOC(=O)c1ccc2nc(NC(NC(C)=O)(C(=O)OC)C(F)(F)F)sc2c1
,,,0.0,0.0,,,,,,,,,,,,,CID836502,COCC(=O)Nc1nc2ccc(C)cc2s1
,,,,,,,,,0.0,,,0.0,,,,,CID734497,CCCC(=O)Nc1nc2ccc(S(N)(=O)=O)cc2s1
,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,,CID653438,COc1ccc2sc(NC(=O)CC(C)C)nc2c1
,,,,0.0,,,,,,,,,,,,0.0,CID652526,CCOc1ccc2nc(NC(=O)COC)sc2c1
0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,CID790147,CCOC(=O)CC(=O)Nc1nc2ccccc2s1
,,,,,,,,,0.0,,,,,,,,CID2445624,CC(C)(C)NC(=O)c1nc2ccccc2s1
,,0.0,,0.0,,,,,0.0,,,,,,,,CID650640,COCC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1
,,,,,,,,,,,,,,0.0,,,CID650642,CC(C)=C(C#N)c1nc2ccccc2s1
,,,,,,,,,0.0,,,,,0.0,,,CID5060198,CCOC(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1
,,,,,0.0,0.0,,,,,,,,,0.0,,CID658529,O=C(O)CSCc1nc2ccccc2s1
,,,,,,,,0.0,,,,,,,,,CID847090,CCS(=O)CCSc1nc2ccccc2s1
,,,,,,,,0.0,,,,,,,0.0,,CID3240669,CC(=O)Nc1nc2ccc(Br)cc2s1
,,,,0.0,,0.0,,,,,,,,,,,CID646635,CCC(=O)Nc1nc2cc(OC)ccc2s1
,,0.0,,,,,,,,,,,,,0.0,0.0,CID380199,COc1ccc2nc(/N=C/N(C)C)sc2c1
,,,,,,,,,,,,,,0.0,,,CID731833,CC(C)=CC(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
,0.0,0.0,0.0,,,,0.0,,,,,,,,,,CID2206392,CCOCC(=O)Nc1nc2ccc(OCC)cc2s1
,,,,,,,,,,,,,0.0,,,,CID350015,CCOc1ccc2nc(Cl)sc2c1
,,0.0,,0.0,,,,,,,,0.0,,,,,CID3239623,Cc1nc2ccc(S(=O)(=O)NCC(=O)O)cc2s1
,,,,0.0,,0.0,,,,,,,,,,,CID1796233,O=C(NCCCO)c1nc2ccccc2s1
,0.0,0.0,,0.0,,0.0,,,,0.0,,,,,,,CID1729132,CCOCC(=O)Nc1nc2ccc(C)cc2s1
,,0.0,,0.0,,,,,0.0,,,,,,,,CID2496606,COCCNC(=O)COC(=O)CSCc1nc2ccccc2s1
,,,,,,,,,,,,,0.0,,,,CID759461,Cc1nc2cc(Cl)c([N+](=O)[O-])cc2s1
0.0,,,,0.0,,,,,,,,,,,,,CID3241939,Cc1nc2ccc(CCO)cc2s1
,,,,,,,,,0.0,,,,,,,,CID743902,CCOC(=O)CSc1nc2ccc(N)cc2s1
0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,CID645316,CNC(=O)c1ccc2nc(NC(C)=O)sc2c1
,,,,,,,,,,,,,,0.0,,,CID777602,CC(C)(C)C(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1
,,,,,0.0,,,,,,,,,,,,CID596204,CC(=O)Nc1ccc2sc(C)nc2c1
,,,,0.0,,,,,,,,,,,,,CID653548,COC(=O)N(C)c1nc2ccccc2s1
,,,,,,,,0.0,,,,,,,,,CID873147,CCOc1cccc2sc(NC(=O)CC)nc12
,,0.0,,0.0,,,,,,,,,,,,,CID849083,CCCC(=O)Nc1nc2ccc(OCC)cc2s1
,,,,,0.0,,,,,0.0,,,,,,,CID305467,CC(C)(C)S(=O)(=O)c1nc2ccccc2s1
,,,,,,,,,,,0.0,,,0.0,,,CID854169,CCOC(=O)Nc1nc2ccccc2s1
,,0.0,,,,,,,0.0,,,0.0,,,,,CID849618,CCOc1ccc2nc(NS(C)(=O)=O)sc2c1
0.0,,,,0.0,,,,,,,,,,,,0.0,CID541175,CCOc1ccc2nc(NC(NC(C)=O)(C(=O)OC)C(F)(F)F)sc2c1
,,,0.0,0.0,,0.0,,,,,,,,,,,CID2150761,CCCC(=O)Nc1nc2c(OC)ccc(OC)c2s1
0.0,,,,0.0,,,,,0.0,,,,,,,,CID591859,CCOC(=O)NC(Nc1nc2ccccc2s1)(C(=O)OCC)C(F)(F)F
,,,,,,,,,,,,,0.0,,,,CID5086667,Nc1nc2ccc([N+](=O)[O-])c(N)c2s1
,,,,0.0,,,,,,,,,,,,,CID972324,CC(C)NC(=O)c1nc2ccccc2s1
,,,,,,,,,,,,,0.0,,,,CID2049863,CCOc1cccc2sc(Cl)nc12
,,,,,,,,,,,,,0.0,,,,CID2049882,COc1ccc(OC)c2sc(Cl)nc12
,,,,0.0,,,,,,,,0.0,,,,,CID1246498,COC(=O)Nc1nc2c(C)cccc2s1
,,,,,,,,0.0,,,,,,,,,CID541049,COC(=O)C(NC(C)=O)(Nc1nc2ccc(C)cc2s1)C(F)(F)F
,,,,,,,,,,,,,0.0,,,,CID2049836,NNc1nc2c(F)cccc2s1
,,,,,,0.0,,,0.0,0.0,,,,,,,CID829788,O=C(O)CCCc1nc2ccccc2s1
,,,,,,,,0.0,0.0,,,,,,,,CID713123,CCN(CC)S(=O)(=O)c1ccc2nc(SC)sc2c1
,,,,0.0,,,,,0.0,,,,,,,,CID2947149,CCOCC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1
,,,,0.0,,,,,,,,,,,,,CID2312918,CCCCN(C(=O)NC(=O)Nc1nc2ccc(OC)cc2s1)S(C)(=O)=O
,,,,,,,,,0.0,,,,,,,,CID731710,CCC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1
