MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,0.0,,0.0,0.0,,,,,,,,,,CID2999670,NC(=O)NC(Cc1ccccc1)C(=O)O
,,,0.0,0.0,,,,,,,,0.0,,,,0.0,CID4649,Nc1ccc(C(=O)O)c(O)c1
,,,,,,,,,,,,,0.0,,,,CID2326654,C=CCNC(=S)Nc1ccc(Br)cc1F
,,,0.0,,,,,,0.0,,,0.0,,0.0,,,CID663712,COC(=O)C(NC(=O)Nc1ccccc1F)C(C)C
,,,,,0.0,0.0,,,,,,,,,0.0,,CID880264,CC(C)CC(=O)Nc1ccc(OCC(=O)O)cc1
,,,,,,,,,,0.0,,,,,,,CID4679772,CC(NC(=O)c1ccccc1F)C(=O)O
,,,,,,,,,,,,,,0.0,,,CID2181873,CCOc1ccc(OCCCN(C)C)cc1
,,,,,0.0,0.0,,,,,,,,,,,CID2182781,CCOc1ccc(OCCCCN(C)C)cc1
,,0.0,,,,0.0,,,,,,,,,,,CID2133145,CCOC(=O)NC(NC(=O)OCC)C(=O)c1ccccc1
,,,,,,,,0.0,,,,,0.0,,,,CID81994,CCOC(=O)C(C(=O)OCC)C(=O)c1cc(OC)c(OC)c(OC)c1
,,,,,,0.0,,,,,,,,,,,CID1769592,C=CCNC(=O)c1c(Cl)cccc1Cl
,,,,,,,,,,,,,0.0,,,,CID2457247,CCN(CC)CCNS(=O)(=O)c1ccc(/C=C/C(=O)O)cc1
,,,0.0,,,,,,,0.0,,0.0,,,0.0,,CID2211986,CCCCC(=O)Nc1ccc(C(=O)NCC(=O)OC)cc1
,,,0.0,,,,,,,,,,,,0.0,,CID888010,CCC(CC)C(=O)Nc1cc(C(=O)OC)cc(C(=O)OC)c1
,,,,0.0,,,,,,,,,,,,,CID891129,COc1ccc(S(C)(=O)=O)cc1S(C)(=O)=O
,,,,,,,,0.0,,,,,,,,,CID2227113,O=C(NCCOCC(F)(F)C(F)F)c1cc(F)c(F)cc1Cl
,,0.0,,,,0.0,,0.0,,,,,,,,,CID725542,CCCc1ccc(C(=O)CCC(=O)O)cc1
,,,,,,0.0,,,0.0,,,,,,,,CID730269,O=C(O)CNS(=O)(=O)c1ccc(F)cc1
,,,,,0.0,,,,,,,,,,,,CID2164860,COCCNC(=O)c1ccc([N+](=O)[O-])cc1
,,,,,,,,,,,0.0,,,,0.0,,CID2179046,CCOCCCNC(=O)c1ccccc1Br
,,,,,,,,,,,,,,0.0,,,CID2461769,CCN(CC(=O)NC(C)(C)C)C(=O)c1ccc(Br)cc1
,,,,,,,,,,,0.0,,,,,,CID3128469,CC(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O
,,,,,,,,,,,0.0,,,,,,CID1815792,CCCCNC(=O)CN(c1cccc(F)c1)S(C)(=O)=O
,0.0,,0.0,,,,,,,0.0,,,,,,0.0,CID2217251,CCCCOc1c(Cl)cc(CNC(C)(C)CO)cc1OCC
,0.0,,,,,,,,,,,,,,,,CID791507,CC(=O)Nc1cccc(NC(=O)CCCC(=O)O)c1
,,,,,,,,,,,,,0.0,,,,CID2434959,CNC(=O)COC(=O)CNC(=O)c1cc(Cl)cc([N+](=O)[O-])c1
,,,,,,0.0,0.0,,,,,0.0,,,0.0,,CID729749,C#CC(C)(C)NC(=O)c1ccccc1OC
,,,,,,,,0.0,,,,,,,,0.0,CID3000098,COC(=O)C(NC=O)C(O)(Cc1ccccc1)C(F)(F)F
,,,,,,,,,,,,,0.0,,,,CID2370685,C/C=C/C(=O)OCC(=O)Nc1ccc(OC)c(Cl)c1
,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,,CID645015,CCN(CC)S(=O)(=O)c1ccccc1/C=N/O
,,,1.0,,,,0.0,,,0.0,0.0,,,,,,CID3485817,CCCC(C)C(=O)Nc1ccc(C(N)=O)cc1
