MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,,,,,,,0.0,,0.0,,,,0.0,CID2193152,N#CCCSCc1ccc(C(=O)O)o1
,,,,,,,,,,,,,0.0,,,,CID12004802,CCOC(=O)N/N=C(C)/C=C/c1ccco1
,,,,,,,,,0.0,,,,,,,,CID2828242,CCCOC(=O)/C(C)=N/NC(=O)c1ccco1
,,,,,0.0,,,,,,,,,,,,CID1085174,Cc1cc(C(=O)NCC(=O)O)c(C)o1
,,0.0,0.0,,,,,,,,,,,,0.0,,CID738355,C/C(=C\c1cc(C(=O)O)c(C)o1)CO
,,,,,0.0,,,,,,,,,,,,CID2882178,CC(C)CC(NC(=O)c1ccco1)C(=O)O
,,,,,,0.0,,0.0,,,,,,,,,CID656048,CSCCC(NC(=O)c1cc(C(C)(C)C)oc1C)C(=O)O
,,,,,,,,,0.0,,,,0.0,,,,CID911126,CC(=C/C(=O)O)/C=C/c1ccc(Cl)o1
,,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,CID651385,CSCCC(NC(=O)c1cc(CC(C)C)oc1C)C(=O)O
,0.0,0.0,,0.0,,,,,,,,0.0,,,,,CID2405160,Cc1cc(C(=O)OCC(=O)NC(=O)NC(C)(C)C)c(C)o1
,,,,,0.0,,,,0.0,,,,,,,,CID663639,CCC(C)C(NC(=O)NCc1ccco1)C(=O)O
,,,0.0,0.0,,,,,,,0.0,,,,,,CID650496,Cc1oc(C)c(C(N)=O)c1C(N)=O
,0.0,0.0,,,,,,,,,,,,,0.0,,CID2225422,CCOC(=O)CNC(=O)c1cc(C)oc1C
,,,,0.0,,0.0,,,,,,,,,,,CID2363592,CC(C)(C)NC(=O)NC(=O)COC(=O)c1ccco1
,,,,,,,,,,,0.0,,,,,,CID1747236,CCCCNC(=O)NNC(=O)c1ccoc1C
,,,,,,,,,0.0,,,,0.0,,,,CID2955618,COC(=O)CCC(NC(=O)c1cc(C)oc1C)C(=O)OC
,,,,,,,,0.0,,,,,,,,,CID580398,O=C(O)CSCc1ccc(C(=O)O)o1
0.0,,,,,,,,,,,,,,,,0.0,CID655116,O=C(O)CCNC(=O)c1ccc(Br)o1
,,,,,,,,,,0.0,,,,,,,CID2208072,COCCNC(=S)NNC(=O)c1ccco1
,,,0.0,,,,,,,,,0.0,,,,,CID3244180,CSCCC(NC(=O)c1occc1C)C(=O)O
,,,,,,,0.0,,,,,0.0,,,,,CID645395,Cc1oc(C(C)(C)C)cc1C(=O)NCC(=O)NCC(=O)O
,,,,,,,,0.0,,,,,,,,,CID3000219,CCOC(=O)c1cc(C(O)(C(F)(F)F)C(F)(F)F)c(/N=C/N(C)C)o1
,,,,,,,,0.0,0.0,,,,,,,,CID2787076,CSCCC(NC(=O)c1ccco1)C(=O)O
0.0,,,,0.0,,,,,,,0.0,,0.0,,,,CID3239491,CC(=O)NC(O)C(=O)c1ccco1
,,0.0,,,,,0.0,,,,,,,,,,CID565206,CC(C)(C#N)NC(=O)c1ccco1
,,,,,,,,,,,,,,0.0,,,CID902938,C/C(=N\NC(=O)c1ccc(Br)o1)C(C)C
,,,,,,,,0.0,,,,,,,,,CID871785,CC(/C=C/c1ccc(C)o1)=C\C(=O)O
,,,,,,,0.0,,,,,,,,,,CID86860,O=C(O)C(O)c1ccco1
,,,,,0.0,,,,,,,,,,,,CID1820304,COC(=O)/C=C/C(=O)NCc1ccco1
,,,,,,,,,,,,,,,,0.0,CID1958069,CC(/C=C/c1ccc(Cl)o1)=C\C(=O)O
,,,,,,,,,0.0,0.0,,,0.0,,,,CID1939399,CCCCSCc1ccc(C(=O)O)o1
,,,,,,,,,,,,,0.0,,,,CID2435792,CCCCNC(=O)COC(=O)c1cc(C)oc1C
,,,,,,,,,,,,,,0.0,,,CID2369594,Cc1ccc(/C=N/NC(=S)NC(C)C)o1
,,,,,,,,,0.0,,,,,,,,CID664275,CC(C)C(NC(=O)NCc1ccco1)C(=O)O
,,,,,,,,,,,,,0.0,,,,CID4081605,CCCCNC(=S)NNC(=O)c1ccoc1C
,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,CID650691,CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1
,,,,0.0,,,,,,,,,,0.0,0.0,,CID2239289,CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC)o1
,0.0,,,,,,0.0,0.0,,,,,,,,,CID653688,CSCCC(NC(=O)c1ccc(C)o1)C(=O)O
,,,,,,,,,,,,,,,,0.0,CID891927,CC(C)(C)NC(=O)c1ccc(COCC(F)(F)F)o1
,,0.0,,,0.0,,0.0,,,,,,,,,0.0,CID2999283,CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCc1ccco1
,,,,,,,,0.0,0.0,,,,,,,,CID2921036,CSCCC(NC(=O)c1cc(C)oc1C)C(=O)O
,,,,,,,,,,,0.0,,,,,,CID5405553,C/C(NO)=C(/N=O)c1ccc(C)o1
,,,0.0,,,0.0,,0.0,,,,,,,,0.0,CID934750,O=C(NCc1ccco1)NCC(F)(F)F
,,0.0,0.0,,,,,,,,,,,,,,CID573299,Cc1ccc(C(=O)NCCCC(=O)O)o1
,,,,,,,,,,,,,,0.0,,,CID2299113,CCCCOC(=O)c1ccc(S(N)(=O)=O)o1
,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,CID663783,COC(=O)C(NC(=O)NCc1ccco1)C(C)C
,,,,0.0,,,,,,,,,,,,,CID660371,O=C(O)CC(SCc1ccc(C(=O)O)o1)C(=O)O
,,,,,,,,,,,,,,,0.0,0.0,CID2970515,Cc1occc1C(=O)NC(C)C(C)(C)C
