MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,0.0,,,,,,CID3101955,CCOC(=O)c1c(NC(NC(C)=O)C(Cl)(Cl)Cl)sc(C(C)=O)c1C
,,,,,,0.0,,,,0.0,,0.0,,,,,CID2880364,CCC(C)NS(=O)(=O)c1cccs1
,,,,0.0,0.0,,,,0.0,,,,,,,,CID678408,Cc1cc(C(=O)O)c(S(C)(=O)=O)s1
,,,,0.0,,,,0.0,,,,,,,,,CID678404,CCS(=O)(=O)c1ccc(S(=O)(=O)CC)s1
,,,,,0.0,,,,,,,,,,,,CID678400,CCSc1sc(CC)cc1C(=O)O
,,,,,,0.0,,,,,,,,,,,CID2997728,COC(=O)c1cc(C(O)(C(=O)OC)C(F)(F)F)c(/N=C/N(C)C)s1
,,,,0.0,,0.0,,,,,,,,,,,CID2999534,CCOC(=O)c1c(/N=C/N(C)C)sc(C(=O)OC)c1C
,,,,,,,,,,,,,0.0,,,,CID586788,COC(=O)c1sccc1N(C)S(C)(=O)=O
,,,,0.0,,,,,,,,,,,,,CID2287726,CCCCOCCCNC(=O)c1cccs1
0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,CID646237,CCOC(=O)c1cc(CC)sc1NC(=O)CCC(=O)O
,,,,,,0.0,,0.0,,,,,0.0,,,,CID2195172,O=C(O)CCCC(=O)OCCCCc1cccs1
,,,,,,0.0,,,,,,,0.0,,,,CID2173303,COC(=O)CCCCCc1ccc(C(C)=O)s1
,,,,,,0.0,,0.0,,,,,0.0,,,,CID2173301,CCC(=O)c1ccc(CCCCCC(=O)O)s1
,,,0.0,,,0.0,,,,,0.0,0.0,,,,,CID2216908,C=CCNc1sc(C(=O)C(C)(C)C)c(N)c1C#N
,,,,0.0,,0.0,,,,,,,,,,,CID663927,CCC(C)C(NC(=O)NCc1cccs1)C(=O)OC
,,,,,0.0,,,,0.0,,,,,,,,CID784928,CC(C)(C)S(=O)c1cccs1
,,,0.0,,,,,,0.0,,,,,,,,CID2053215,C=CCNS(=O)(=O)c1sccc1/C=N/O
,,,,,,,,,,,,,0.0,,,,CID777304,CCOC(=O)N/N=C/c1sccc1C
,,,,,,0.0,,,,,,,,,,,CID2225831,COCCNC(=O)c1ccc(C(=O)NCCOC)s1
,,,,,,0.0,,0.0,,,,,,,0.0,,CID644953,CCC(=O)Nc1sc(C(=O)OC)c(C)c1C(=O)OC
,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,CID663465,COC(=O)C(NC(=O)NCc1cccs1)C(C)C
,,,0.0,,,,,,0.0,,,,,,,,CID1246546,CN(C)CCNC(=O)c1ccc(Cl)s1
,,,,,,,,,0.0,,,,,,,,CID1182908,CCOC(=O)c1sc(NC(=O)CN(CC)CC)c(C(=O)OCC)c1C
,,,,0.0,,0.0,,,,,,,,,,,CID659797,CC(C)(NO)/C(=N/O)c1cccs1
,,,,,,,,0.0,,0.0,0.0,,,,,,CID903592,CCOC(=O)c1c(NC(=O)CC(C)C)sc(C(C)=O)c1C
,,,,0.0,,,0.0,,,,,,0.0,,,,CID78263,CCOC(=O)c1cc(CC)sc1N
,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,CID1180187,CCOC(=O)c1cc(CC)sc1NC(=O)COC
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,CID1247079,CCc1cc(C(=O)NCCN(C)C)cs1
,,,,,,,0.0,,0.0,,,,,,,,CID887692,CCOC(=O)c1c(NC(=O)OC)sc(C(=O)N(C)C)c1C
,,,,,0.0,,,,,,,,,,,,CID801011,CCOC(=O)c1sc(NC(=S)NC(=O)CC(C)C)cc1C
,,,,,0.0,,,,,,,,,,,,CID916359,CCOC(=O)c1c(CC(C)C)csc1NC(=O)C(C)C
,,,0.0,,,,,,,,,0.0,,,,,CID2843557,CN(C)/C=N/c1sccc1C(N)=O
,,,,,,,,,,,,,,0.0,,,CID1245387,CCc1c(C)sc(NC(=O)CC#N)c1C#N
,0.0,,,0.0,,0.0,,,,,,,,,,,CID2162137,CCCCOCCCNC(=O)Cc1cccs1
,,0.0,,,,,,,,,,,,,,,CID3244390,CCOC(=O)c1sc(C(=O)OCC)c(OCCO)c1OCCO
,,,,,,,,,,,,,0.0,,,,CID5059458,COC(=O)Nc1sc(C(=O)N(C)C)c(C)c1C(=O)OC
,,,0.0,0.0,0.0,,,,,0.0,,,,,,,CID1564102,O=C(O)CCCNS(=O)(=O)c1cccs1
,,,0.0,,,,,0.0,,,0.0,,,,,,CID733285,CCOC(=O)c1c(NC(=O)COC)sc(C(C)=O)c1C
,,,,,,,,0.0,,,,,,,,,CID733289,CCOC(=O)c1c(NC(=O)COC)sc(C)c1C
,,,,,,,,,,,,,,0.0,,,CID1739848,CCCCCCCCCC(=O)N/N=C/c1ccc(C)s1
,,,,0.0,,0.0,,,,,,,,,,,CID2915198,CCCCC(CC)CNC(=O)c1cccs1
,,,,0.0,,,,,,0.0,,,,,,,CID3237893,CC(C)OCCCNC(=O)CNC(=O)c1cccs1
,,,,0.0,,,,,,,,,,,,,CID778795,CSc1cc(/C=N/O)c(SC)s1
,,,,0.0,,,,,,,,,,,,,CID659899,CCOC(=O)NC(O)C(=O)c1cccs1
,,,,,,,,,,,,,,0.0,,,CID2799110,NC(=O)NCc1cccs1
,,,,,,,,,,,,,0.0,,,,CID2099187,CN(C)CCCNS(=O)(=O)c1ccc(Cl)s1
,,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,CID664979,CSCCC(NC(=O)NCc1cccs1)C(=O)O
,,,,,,,,,,,,,0.0,,,,CID843260,NNC(=O)c1cc(Br)cs1
,,,,,,0.0,,,,,,,,,,,CID602886,Cc1c(C(N)=O)sc(N)c1C(=O)OC(C)C
,,,,,,,,0.0,,,,,,,,,CID726435,CC(C)(C)S(=O)(=O)c1ccc(S(=O)(=O)C(C)(C)C)s1
,,,,0.0,,,,,,,,,,,,,CID3236419,CC(C)(C)NC(=O)c1sccc1C(=O)O
