MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,0.0,,0.0,0.0,,,,,0.0,CID818851,CC(C)(C)Oc1ncc(Br)c(OC(C)(C)C)n1
,,,,,,,,,,0.0,,,,,,,CID1575439,CSc1nc(C)cc(SCCO)n1
0.0,,,,,,,,0.0,,,,,0.0,,0.0,,CID658012,COC(=O)CSc1nc(N)nc(C)c1Br
,,,,,,0.0,,,0.0,,,0.0,,,,,CID718572,COc1cc(OC)nc(NC(=O)C(C)C)n1
,,,,,,0.0,,,,,,,,,,,CID658712,CSc1nc(C)cc(OCC#N)n1
,,,,,,0.0,,,0.0,,,0.0,,,,,CID647473,CCOC(=O)CNC(=O)CSc1nc(N)cc(N)n1
,,,,,0.0,,,,,,,,,,,,CID689226,CSc1nc(N)nc(SCC(=O)C(C)(C)C)c1C#N
0.0,,,,,,0.0,,0.0,,,0.0,,,,,0.0,CID664203,COC(=O)COc1nc(C)c(Br)c(OC)n1
,,,,,,,,,,,,,,0.0,,,CID3613356,CSc1ncc(C(=O)O)c(C)n1
0.0,,,,,,,,,,,0.0,,,,,0.0,CID645131,CCOC(=O)COc1nc(C)c(Br)c(OC)n1
,,,,,,,,,,,,0.0,,,,,CID658539,C#CCOC(=O)CCC(=O)Nc1cc(OC)nc(OC)n1
,0.0,,0.0,,,,,,,,,0.0,,,,,CID651355,CCCCCCSc1ncc(C#N)c(N)n1
,,,,,,,,,0.0,,,,,,,,CID2312489,CCCCN(C)c1ncc(Cl)c(C(=O)O)n1
,0.0,0.0,,,,0.0,,,,,,,,,,,CID723916,CCOC(=O)CSc1cc(C)nc(N)n1
,,,,,,,,,,,,,,0.0,,,CID4555739,CSc1ncc(C(C)=O)c(C)n1
,,,0.0,,,,0.0,,,,,,,,,,CID655986,CCOC(=O)CSc1cc(C)nc(NC(C)=O)n1
,,,0.0,,,,0.0,,,,0.0,0.0,,,,,CID2063425,COC(C)(C)c1cc(C(C)(C)C)nc(N)n1
,,,,,,0.0,,,,,,,,,,,CID873347,CCC(=O)Nc1nc(C)nc(C)c1C(C)=O
,,,,,,,,0.0,,,,,,,,,CID934943,COc1cc(OC)nc(NC(C)=O)n1
,,,,,,,,0.0,,,,,,,,0.0,CID659628,O=C(NCC(F)(F)F)Nc1ncccn1
,,,,,,,,,,,0.0,,,0.0,,,CID1234520,Cc1cc(C)nc(NC(=O)C(C)C)n1
,0.0,,0.0,,,,,,,,,0.0,,,,,CID652992,COC(=O)CSc1cc(C)nc(NC(C)=O)n1
,,,,,,,,,,,,,0.0,,,,CID976346,COC(=O)CSc1cc(C)nc(SC)n1
,0.0,,,,,,,,,,,,,,0.0,,CID1992449,CCOC(=O)CC(=O)CSc1ncc(C(=O)OCC)c(N)n1
,,,,,,,0.0,,,,,,,,,,CID255081,CN(C)c1ncc(C(=O)O)cn1
,,,,,,,,,,,0.0,,,,,,CID2179971,CCOC(=O)CSc1nc(C)cc(C)n1
,,,,,,,,,,,,,0.0,0.0,,,CID697664,COC(=O)CSc1nc(NC(C)=O)nc(C)c1Br
,,,,,,0.0,,,0.0,,,,,,,,CID653464,Cc1cc(C)nc(SCCC(=O)N(C)C)n1
,,,,,,,,,,,,,,,0.0,,CID742815,COc1nc(NC(C)=O)nc(C)c1Br
,,,,,,,,0.0,,,,,,,,,CID767988,CSc1nc(NC(C)=O)nc(C)c1Br
,,,,,,,,0.0,,,,,,,,0.0,CID2166842,COc1cc(NC(=O)CCCC(=O)OCC(F)(F)C(F)F)nc(OC)n1
,,0.0,,,,0.0,,,,,,,,,,0.0,CID656348,CCS(=O)(=O)CCSc1nc(C)cc(C)n1
,,0.0,,,,,,,,,,,,,,,CID1070418,CC(=O)Nc1nc(C)nc(C)c1C(C)=O
,,,,,,,,,,,0.0,,,,,,CID2946623,CCOC(=O)C(Sc1cc(C)nc(N)n1)C(C)=O
,,,,,,,,,,,,,,0.0,,,CID3920766,CNc1nc(N)c([N+](=O)[O-])c(NCCO)n1
,,,,,,,,0.0,,,,,,,,,CID383573,CCOC(=O)NC(Nc1ncccn1)(C(F)(F)F)C(F)(F)F
0.0,,,,,,,,,,,,,0.0,,,,CID657984,CSc1nc(N)nc(SCC(=O)CC(=O)OC(C)C)c1C#N
,0.0,,,,,,,,,,,,,,0.0,,CID41567,Cc1cc(C)nc(SCC(=O)O)n1
,0.0,,0.0,,,,,,,,,,,,,,CID2772428,Cc1cc(C)nc(SC(C)C(=O)O)n1
,,,0.0,,,,,,,,,,,,,,CID659932,Cc1cc(C)nc(CC(N)=O)n1
,,,,,,,,,,,,,,0.0,,,CID581022,O=C(O)CSc1ncccn1
,,,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,CID3236649,CC#CCCCC(=O)Nc1cc(OC)nc(OC)n1
,,,0.0,,,,,,,,,,,,,,CID654062,COC(=O)CSc1ncc(C#N)c(N)n1
,,,,,,0.0,,,,,,,,,,,CID854805,CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl
,0.0,,0.0,,,,,,,,,,,,,,CID658170,CSc1cc(C)nc(N(C)C(C)=O)n1
,,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,CID726947,CC(=O)c1c(C)nc(C)nc1NC(=O)C(C)C
,,,,,0.0,,,,,,0.0,,,,,,CID2862961,COC(=O)C(C)N(C#N)c1nc(C)cc(C)n1
,,,0.0,,,,0.0,0.0,,,,,,,,,CID942474,CCC(=O)Nc1nc(OC)cc(OC)n1
,,,,,,,,0.0,,,,,0.0,,0.0,,CID704659,CCOC(=O)CSc1nc(N)nc(C)c1Br
,,,,,,,,0.0,,,,,,,,,CID658898,CC(NC(=O)Nc1ncccn1)(C(F)(F)F)C(F)(F)F
,,0.0,0.0,,,,,,,,,0.0,,,,0.0,CID660772,Cc1cc(N(C)C)nc(SC(C)C)n1
,,,0.0,,,,,,,0.0,,,,,,,CID650834,CSc1nc(C)cc(NC(N)=O)n1
,,,,,,,,,0.0,,,,,,,,CID2384448,COc1cc(OC)nc(NC(=O)CCl)n1
,,,,,,,,0.0,,,,,,,,,CID659676,CCC(C(=O)Nc1ncccn1)(C(F)(F)F)C(F)(F)F
,,,,,,,,,,,0.0,,,0.0,,,CID3189522,CCOC(=O)C(Sc1ncc(C#N)c(N)n1)C(C)C
,0.0,,,,,0.0,0.0,,0.0,,,,,,,,CID658466,C=CCOC(=O)CCC(=O)Nc1cc(OC)nc(OC)n1
,,,,,0.0,,,,,,,,0.0,,,,CID658243,CSc1nc(N)nc(SCC(=O)OC(C)C)c1C#N
,,0.0,,,,,,,,,,,,,,,CID652134,CCC(=O)Nc1nc(C)cc(SCC(=O)OC)n1
,,,,,,,,,,,,0.0,0.0,,,,CID2312493,CCN(CC)c1ncc(Cl)c(C(=O)O)n1
,,,0.0,,,,,,,,,,,,,,CID3239009,COc1cc(C)nc(SCC(N)=O)n1
,,,0.0,,,0.0,,,,,,,,,,,CID652029,Cc1cc(NC(=O)CCCC(=O)O)nc(C)n1
,,,,,,,,,,,,,0.0,,,,CID1477694,CC(=O)c1cnc(SCC(=O)O)nc1C
