smiles,-logKd/Ki
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.79
OCC1CC(O)C(O)C(OC2C(CO)OC(O)C(O)C2O)O1,1.8
CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,1.92
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.35
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.52
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.57
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.86
COC1OCC(OC2OCC(O)C(O)C2O)C(O)C1O,3.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.22
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.29
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.49
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.59
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.77
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.92
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,3.94
CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,3.99
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,4.11
COC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,4.43
OCC1OC(OC2C(CO)OCC(F)C2O)C(O)C(O)C1O,4.57
COC1OC(C(=O)[O-])C(OC2OC(COS(=O)(=O)[O-])C(O)C(O)C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],4.67
COC1OC(C(=O)[O-])C(OC2OC(CO)C(O)C(O)C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],4.74
COC1OC(C(=O)[O-])C(OC2OC(COS(=O)(=O)[O-])C(O)C(O)C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],4.76
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,5.0
COC1OC(C(=O)[O-])C(OC2OC(COS(=O)(=O)[O-])C(O)C(OS(=O)(=O)[O-])C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],5.01
COC1OC(C(=O)[O-])C(OC2OC(COS(=O)(=O)[O-])C(O)C(OS(=O)(=O)[O-])C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],5.05
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,5.17
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,5.22
CC(=O)OCC1OC(OC2C(COC(C)=O)OC(S(N)(=O)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,5.35
COC1OC(C(=O)[O-])C(OC2OC(CO)C(O)C(OS(=O)(=O)[O-])C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],5.38
NS(=O)(=O)C1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,5.39
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,5.46
COC1OC(C(=O)[O-])C(OC2OC(CO)C(O)C(OS(=O)(=O)[O-])C2NS(=O)(=O)[O-])C(O)C1OS(=O)(=O)[O-],5.76
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,5.82
COC1OC(C)C(NC(=O)C(O)CCO)C(O)C1OC1OC(C)C(NC(=O)C(O)CCO)C(O)C1OC,6.08
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,6.17
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)[NH2+]C(O)CCCCCCC,6.7
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,6.96
