smiles,-logKd/Ki
[NH3+]CC(=O)N1CCCC1C(=O)[O-],1.31
CNC(=O)C1CC(O)CN1C(C)=O,2.0
[NH3+]C(CO)C(=O)N1CCCC1C(=O)[O-],2.23
CCC(C)C(C=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(C)=O,3.05
CCC(C)C(C=O)NC(=O)C1CCCN1C(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])C(C)C,3.12
CC(CS)C(=O)N1CCCC1C(=O)[O-],3.4
CC(=O)N1CCCC1C(=O)[O-],3.49
CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C(CCCCNC(C)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(C)[NH3+])C(C)O)C(C)CC)C(=O)[O-],3.53
CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C(C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(C)[NH3+])C(C)O)C(C)CC)C(=O)[O-],3.56
CSCCC([NH3+])C(=O)NC(CC(=O)[O-])C(=O)N1CCCC1C=O,3.6
CC(=O)NCCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CCCN1C(=O)C(C)[NH3+])C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C)C(N)=O,3.6
CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C([NH3+])CO)C(C)C)C(C)O)C(C)CC)C(=O)[O-],3.72
CCC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)[NH3+])C(C)C)C(=O)[O-],3.92
CCC(C)C(NC(=O)C(NC(=O)C1CCCN1C(=O)CNC(=O)CNC(=O)C(C)[NH3+])C(C)O)C(=O)NC(CCC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)NC(CC(=O)[O-])C(=O)[O-])C(C)C,3.92
CC(C)CC(NC(=O)C([NH3+])CCC(N)=O)C(=O)NC(C)C(=O)NC(C(=O)NC(CCCC[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[N+](C)(C)C)C(=O)NC(CO)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C(=O)NCC(=O)[O-])C(C)O)C(C)O,3.96
CC(CS)C(=O)N1CCCC1C(=O)[O-],4.15
CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(C)O)C(C)CC)C(=O)[O-],4.17
CCC(C)C(NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C([NH3+])CC(C)C)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-],4.21
CC(C)CC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(=O)NC(CCC(N)=O)C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCNC(N)=[NH2+])C(=O)O)C(C)C,4.36
CC(CS)C(=O)N1CCCC1C(=O)[O-],4.41
CSCCC(NC(=O)C([NH3+])C(C)C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)[O-],4.52
CSCCC(NC(=O)C1CCCN1C(=O)C([NH3+])C(C)O)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCC(=O)[O-])C(=O)NC(CC(N)=O)C(=O)NC(CCCC[NH3+])C(=O)O)C(C)C,4.57
CC(CS)C(=O)N1CCCC1C(=O)[O-],4.7
CCC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)[NH3+])C(C)C)C(=O)[O-],4.7
CC(=O)N1CCCC1C(=O)[O-],4.73
CC(C)CC(NC(=O)C(NC(=O)C(NC(=O)C(CS)NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CCCC[NH3+])C(C)O)C(C)C)C(C)O)C(=O)[O-],4.77
CSCCC(NC(=O)C1CCCN1C(=O)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CC(N)=O)C(C)C)C(=O)NC(C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)[O-])C(C)C)C(C)O)C(C)C,4.77
CCC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C([NH3+])CO)C(C)C)C(=O)[O-],4.92
CC(O)C([NH3+])C(=O)NC(CS)C(=O)N1CCCC1C(N)=O.CSCCC(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CS)NC(=O)C([NH3+])C(C)O)C(=O)NC(CS)C(=O)NC(C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-])C(C)O,4.94
