smiles,-logKd/Ki
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,1.43
OCC1(F)OCC(O)C(O)C1O,1.55
COC1(C(=O)[O-])CC(O)C(NC(C)=O)C(C(O)C(O)C[NH3+])O1,1.66
CC1OC(O)C(O)C(O)C1O,1.66
OCC1(O)OCC(O)C(O)C1O,1.7
CC(OC1OC(CO)C(O)C(O)C1O)C([NH3+])C(=O)[O-],1.72
CC(=O)NC1C(O)OC(CO)C(O)C1O,1.84
COC1OC(C)C(O)C(O)C1O,2.06
CC(=O)NC1C(O)CC(C(=O)[O-])OC1C(O)C(O)CO,2.06
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,2.1
CCCNC(=O)OC1OC(CO)C(O)C(O)C1NC(C)=O,2.1
OCC1OCC(F)C(O)C1O,2.12
OCC1(F)OCC(O)C(O)C1O,2.19
CC1OC(O)C(O)C(O)C1O,2.22
OCC1OC(O)C(O)C(O)C1O,2.24
COC1(C(=O)[O-])CC(O)C(NC(C)=O)C(C(O)C(O)CO)O1,2.27
CC1OC(O)C(O)C(O)C1O,2.3
OCC(O)C1OC(O)C(O)C(O)C1O,2.57
C[Se]C1OC(C)C(O)C(O)C1O,2.57
COC1(C(=O)[O-])CC(OC(C)=O)C(NC(C)=O)C(C(O)C(O)CO)O1,2.68
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,2.74
COC1OC(CO)C(O)C(O)C1O,2.74
OCC(O)C1OC(O)C(O)C(O)C1O,2.82
CC(=O)NC1C(O)CC(C(=O)[O-])OC1C(O)C(O)CO,2.91
CC(=O)NC1C(O)OC(CO)C(O)C1O,2.94
COC1OC(CO)C(O)C(O)C1O,3.0
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,3.0
COC1OC(CO)C(O)C(O)C1O,3.02
OC1COC(O)C(O)C1O,3.03
COC1OC(CO)C(O)C(O)C1O,3.03
OCC1OC(O)C(O)C(O)C1O,3.05
OCC1OC(O)C(O)C(O)C1O,3.09
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.11
CC(=O)NC1C(O)OC(CO)C(O)C1O,3.13
OCC1OC(O)C(O)C(O)C1O,3.15
OCC1OC(O)C(O)C(O)C1O,3.2
OCC1(F)OCC(O)C(O)C1O,3.22
COC1OC(CO)C(O)C(O)C1O,3.22
OC1COCC(O)C1O,3.22
CC(C)SC1OC(CO)C(O)C(O)C1O,3.3
CC(=O)NC1C(O)OC(CO)C(O)C1O,3.37
COC1(C(=O)[O-])CC(O)C(NC(=O)CO)C(C(O)C(O)CO)O1,3.38
CC(=O)NC(=O)NC1OC(CO)C(O)C(O)C1O,3.43
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.46
COC1(C(=O)[O-])CC(O)C(NC(C)=O)C(C(O)C(O)CO)O1,3.48
O=C([O-])C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.66
CC(=O)NC1C(O)OC(CO)C(O)C1O,3.7
CC(=O)NC1C(O)CC(C(=O)[O-])OC1C(O)C(O)CO,3.85
CC1OC(O)C(O)C(O)C1O,3.87
COC1C(O)C(O)OC(CO)C1O,3.9
CCCOC1(C(=O)[O-])OC(C(O)CO)C(O)C(O)C1O,4.0
COC1OC(C(O)CO)C(O)C(O)C1O,4.27
O=C([O-])C1OC(O)C(O)C(O)C1O,4.28
CCSC1OC(CO)C(O)C(O)C1O,4.29
CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC,4.3
COC1OC(C)C(O)C(O)C1O,4.32
COC1OC(CO)C(O)C(O)C1O,4.37
CC(=O)NC1OC(CO)C(O)C(O)C1O,4.49
OCC1OCCC(O)C1O,4.49
O=C([O-])C1CC(O)C(O)C(C(O)CO)O1,4.51
O=C([O-])C1OC(O)C(O)C(O)C1O,4.51
CN([NH2+]O)C(=O)NC1C(O)OC(CO)C(O)C1O,4.52
