smiles,-logKd/Ki
OCC1[NH2+]CC(O)C(O)C1O,3.24
OCC1[NH2+]CC(O)C(O)C1O,3.4
CCCC[NH+]1CC(O)C(O)C(O)C1CO,3.94
OCC1[NH2+]CC(O)C(O)C1O,4.05
OCC1[NH2+]CC(O)C(O)C1O,4.23
OCC1[NH2+]CC(O)C(O)C1O,4.4
OCC1[NH2+]CC(O)C(O)C1O,4.47
CC(=O)NC1C[NH2+]C(CO)C(O)C1O,4.55
CCCC(=O)NC1C[NH2+]C(CO)C(O)C1O,4.63
OCC1[NH2+]CC(O)C(O)C1O,4.7
OCC1[NH2+]CC(O)C(O)C1O,4.74
OCC1C[NH2+]CC(O)C1O,4.85
OCC1[NH2+]CC(O)C(O)C1O,4.89
OCC1[NH2+]CC(O)C(O)C1O,5.0
CC(C)C1[NH2+]CC(O)C(O)C1O,5.22
OCC1[NH2+]CC(O)C(O)C1O,5.32
CC(=O)NC1[NH2+]CC(CO)C(O)C1O,5.57
OCC1[NH2+]CC(O)C(O)C1O,5.62
OCC1[NH2+]CC(O)C(O)C1O,5.83
OCC1C[NH2+]CC(O)C1O,5.92
O=NC1[NH2+]C(CO)C(O)C(O)C1O,5.98
OCC[NH+]1CC(O)C(O)C(O)C1CO,6.0
OCC1C[NH2+]C(O)C(O)C1O,6.01
OCC1[NH2+]C(CO)C(O)C(O)C1O,6.12
OCC1C[NH2+]CC(O)C1O,6.12
OCC1[NH2+]CC(O)C(O)C1O,6.31
CCCCCCCCC[NH+]1CC(O)C(O)C(O)C1CO,6.52
OCC1C[NH2+]C(O)C(O)C1O,6.65
OCC1[NH2+]CC(O)C(O)C1O,6.7
OCC1C[NH2+]C(O)C(O)C1O,7.0
OCC1[NH2+]CC(O)C(O)C1O,7.15
OCC1C[NH2+]CC(O)C1O,7.2
CC1[NH2+]CC(O)C(O)C1O,7.26
CC(=O)NC1C[NH2+]C(CO)C(O)C1O,7.29
OCC1[NH2+]CC(O)C(O)C1O,7.41
OCC1C[NH2+]CC(O)C1O,7.59
OCC1C[NH2+]CC(O)C1O,7.72
CC1[NH2+]C(C[NH3+])C(O)C(O)C1O,7.79
CC(=O)NCC1[NH2+]C(C)C(O)C(O)C1O,8.349999999999998
CC(=O)NC1C[NH2+]C(CO)C(O)C1O,8.439999999999998
