smiles,-logKd/Ki
CN(CCOc1ccc(-c2ccc(C#N)cc2)cc1)C(=O)NO,2.92
O=C([O-])c1ccc(-c2ccc(F)cc2)cc1,3.52
O=C([O-])c1ccc(-c2ccc(F)cc2)cc1,3.55
O=C([O-])COc1ccc(-c2ccc(F)cc2F)cc1,3.57
Oc1ccc(-c2ccccc2)cc1O,3.82
C=CCc1ccc(O)c(-c2cc(C=CC)ccc2O)c1,4.34
[NH3+]Cc1ccccc1-c1ccccc1,4.52
CC(NC(=O)c1c(F)cccc1-c1ccccc1)B(O)O,4.7
Oc1cccc(-c2ccccc2)c1O,5.1
O=C([O-])CCNC(=O)c1cc(-c2ccc(F)cc2F)cc(I)c1O,5.31
COCC#CCC(NS(=O)(=O)c1ccc(-c2ccc(OC)cc2)cc1)C(=O)[O-],5.39
CCCc1ccc(-c2ccc(O)c(C(=O)[O-])c2)cc1,5.48
C=CCc1cc(-c2ccccc2)ccc1OCCC[NH2+]C(C)C,5.7
COCC(=O)NC(Cc1ccc(-c2cc(Cl)cc(Cl)c2)cc1)C(O)C(O)C(=O)[O-],5.76
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,5.78
COC(=O)C(NC(=O)CNC(=O)C(CS)[NH2+]Cc1ccc(-c2ccccc2)cc1)C(C)C,5.8
Oc1cccc(-c2ccccc2Cl)c1O,6.1
O=C([O-])CC(O)CCc1ccc(-c2ccccc2)cc1,6.28
O=CCOc1ccccc1-c1ccc(F)c(F)c1F,6.31
OB(O)c1ccc(-c2ccc(B(O)O)cc2)cc1,6.7
O=C([O-])c1ccc(-c2c(F)cccc2F)cc1,7.1
O=C([O-])c1cc(-c2ccc(F)cc2F)ccc1O,7.12
CC(=O)c1ccc(-c2ccc(CCC(O)CC(=O)[O-])cc2)cc1,7.21
O=C(CN(CCO)S(=O)(=O)c1ccc(-c2ccccc2)cc1)NO,7.51
N#Cc1ccc(-c2ccc(OCCC(=O)NO)cc2)cc1,7.599999999999999
CC(C)CC(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)[O-],7.599999999999999
NC(=O)C(CCC(=O)[O-])NC(=O)C(CCC(=O)[O-])NC(=O)CCc1ccc(-c2ccccc2)cc1,7.73
O=NC(=O)CN(CCO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,7.74
CS(=O)(=O)c1cc(Cl)c(-c2cc(Cl)c(S(C)(=O)=O)cc2Cl)cc1Cl,8.0
O=C([O-])c1ccc(-c2cc(F)cc(F)c2)cc1,8.05
Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl,8.49
O=NC(=O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1,8.63
