smiles,-logKd/Ki
OCc1cccc(Oc2ccccc2)c1,3.28
[NH3+]Cc1ccc(Oc2ccccc2)cc1,3.3
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.26
O=C([O-])c1cc(O)c(O)c(Oc2cccc([N+](=O)[O-])c2)c1,4.3
[NH3+]Cc1ccc(F)c(Oc2ccccc2)c1F,4.54
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],4.98
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],5.24
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],5.31
CC[NH+](CC)CCNS(=O)(=O)c1ccc(Oc2c(Cl)cccc2[N+](=O)[O-])cc1,5.6
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],5.64
O=C(CC(=O)C(=O)[O-])NCCCc1cccc(Oc2ccccc2)c1,5.8
N#CSCCOc1ccc(Oc2ccccc2)cc1,5.82
[NH3+]C(CO)Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,5.89
CCC([NH3+])c1ccc(Cl)c(Oc2ccccc2)c1F,5.89
Cc1ccc([N+](=O)[O-])c(Oc2ccc(CC([NH3+])C([NH3+])O)cc2)c1,5.92
Oc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl,6.07
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,6.2
Oc1cc(O)cc(Oc2ccc(Cl)c(Cl)c2)c1,6.22
O=Cc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,6.28
CC(C)c1cc(Oc2c(Cl)cc(CC(=O)[O-])cc2Cl)ccc1O,6.43
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],6.59
COC(=O)c1c(C)cc(Oc2cc(C)cc(O)c2O)cc1O,6.64
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],6.77
[NH3+]C(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],7.04
CCC([NH2+]C(C)CC(N)=O)c1ccc(Cl)c(Oc2ccccc2)c1F,7.21
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,7.3
CCC([NH2+]C(C)CC(=O)NCC[NH3+])c1ccc(Cl)c(Oc2ccccc2)c1F,7.66
O=C([O-])Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,8.529999999999998
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],8.699999999999998
[NH3+]C(CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)(C(=O)NO)C(F)(F)F,9.0
