smiles,-logKd/Ki
CCCCOc1ccc2cc(S(=O)(=O)NC(CCC(=O)[O-])C(=O)[O-])ccc2c1,3.06
CC(=O)Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,3.1
Oc1ccc2ccccc2c1,3.34
Oc1cccc2ccccc12,3.37
CC(C)N=CC(O)COc1cccc2ccccc12,3.57
CCCCCOc1ccc2cc(S(=O)(=O)NC(CCC(=O)[O-])C(=O)[O-])ccc2c1,3.77
NS(=O)(=O)c1cccc2c(O)cccc12,3.92
[NH3+]CCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,4.0
Nc1cccc2c(S(=O)(=O)[O-])cccc12,4.19
O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12,4.85
O=C([O-])C(=O)Nc1cc2ccccc2cc1C(=O)[O-],5.0
CCOC(=O)CCc1ccc2ccc(C(N)=[NH2+])cc2c1,5.0
[NH3+]CCOC(=O)Cc1cccc2ccccc12,5.35
CC(=O)NC(Cc1cccc2ccccc12)B(O)O,5.51
CCOc1ccc2ccccc2c1C(=O)NCB(O)O,5.85
CCOc1ccc2ccccc2c1C(=O)NCB(O)O,5.92
CN(C)c1cccc2c(S(N)(=O)=O)cccc12,6.03
O=C([O-])C(=O)NC(CSCc1ccc2ccccc2c1)C(=O)[O-],6.3
[NH3+]C(CC(Cc1ccc2ccccc2c1)C(=O)[O-])C(=O)[O-],6.46
[NH3+]CCCCC([NH3+])C(=O)NC(Cc1cccc2ccccc12)C(=O)NC(CCCC[NH3+])C(=O)[O-],6.7
O=C([O-])Cc1cccc2ccccc12,6.82
CC(=O)NC(BO)Cc1cccc2ccccc12,6.9
COc1ccc2cc(C(C)C(=O)[O-])ccc2c1,6.92
CC(=O)Nc1ccc2c(S(=O)(=O)[O-])cccc2c1S(=O)(=O)[O-],6.96
CC(=O)Nc1ccc(S(=O)(=O)[O-])c2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c12,7.15
CN(C)c1cccc2c(S(=O)(=O)NCCCCNC(=O)CCS)cccc12,7.17
NC(=[NH2+])NCCCC(CO)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCC[NH3+])NC(=O)c1ccc2ccccc2c1,7.389999999999999
COc1ccc2cc(C(C)C(=O)[O-])ccc2c1,7.46
CCSCCC([NH3+])C(O)C(=O)NC(C)c1cccc2ccccc12,7.519999999999999
CC(C=CC=C(C)Cc1cccc2ccc(C)cc12)=CC(=O)[O-],8.099999999999998
CC(C)CCN(C(C(=O)NO)C(C)C)S(=O)(=O)c1ccc2ccccc2c1,8.519999999999998
NC(=[NH2+])NCCCC(NC(=O)C(CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)NCC(=O)NCC(N)=O,8.769999999999998
