smiles,-logKd/Ki
Nc1cccc(C(=O)[O-])c1,0.49
[NH3+]CCCCc1ccccc1,1.44
[NH3+]CCCc1ccccc1,1.49
O=C([O-])c1ccccc1O,1.7
Nc1ccc(C(=O)[O-])cc1O,1.72
NC(=[NH2+])c1ccccc1,1.82
[NH3+]Cc1ccc(CO)cc1,1.85
O=C([O-])CCC1CCCCC1,1.88
[NH3+]C(Cc1ccccc1)C(=O)[O-],1.9
Cc1cc(N)c(N)cc1Cl,1.9
O=C([O-])C(O)C(O)c1ccc(F)cc1,1.94
[NH3+]CCc1ccccc1,1.96
NC(=[NH2+])Nc1ccc(C=O)cc1,2.0
CC(=O)Nc1ccc(C(=O)[O-])cc1NC(=O)CO,2.0
NC(=[NH2+])c1ccccc1,2.0
CS(=O)(=O)Nc1ccc(C(=O)[O-])cc1,2.0
O=C([O-])Cc1cccc(O)c1,2.0
O=C([O-])c1ccccc1S,2.05
CCOP(=S)(OCC)Oc1ccc([S+](C)O)cc1,2.11
[NH3+]C1CCC(O)CC1,2.15
O=C([O-])CCCCc1ccccc1,2.16
Cc1cccc(N)c1N,2.19
O=C([O-])Cc1cc(O)ccc1O,2.23
OC1C(O)C(O)C(O)C(O)C1O,2.24
[NH3+]CCc1ccccc1,2.27
COc1ccc(C([NH3+])C(F)(F)C(=O)[O-])cc1,2.28
Nc1ccc(CCC(=O)[O-])cc1,2.29
CC(=O)Nc1ccc(C(=O)[O-])cc1NC(=O)C[NH3+],2.3
O=C([O-])CCCc1ccccc1,2.3
O=C([O-])Cc1ccc(O)cc1,2.3
O=C([O-])c1cc(O)ccc1O,2.3
NS(=O)(=O)c1ccccc1,2.3
N#Cc1ccc(O)cc1F,2.3
[NH3+]C(c1ccc(O)cc1)C(F)(F)C(=O)[O-],2.32
CC(C)CCC(=O)NC(Cc1ccccc1)C(=O)[O-],2.35
O=C([O-])c1cccc(O)c1,2.4
[NH3+]CCCc1ccccc1,2.47
O=C([O-])c1ccccc1,2.48
O=C([O-])C(c1ccccc1)S(=O)(=O)[O-],2.49
O=C([O-])Cc1ccc(O)c(O)c1,2.5
O=C([O-])c1c(O)cccc1O,2.52
