mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_669,C1C2CC=CC12,6.33505,4.50061,3.19825,0.2073,57.35,-0.2245,0.0251,0.2495,467.6418,0.122084,-233.293627,-233.288816,-233.287872,-233.321386,19.325,-1387.3038,-1396.728357,-1404.434168,-1296.476265
gdb_2227,CC12CC1C=CC2,4.61705,2.73373,2.15762,0.2494,68.57,-0.2226,0.0252,0.2478,678.0911,0.149559,-272.587059,-272.580724,-272.57978,-272.616667,25.381,-1667.24435,-1678.37887,-1687.863041,-1555.078999
gdb_2231,OC12CC1C=CC2,4.73868,2.80991,2.20635,1.3468,61.35,-0.2267,0.0207,0.2474,633.4838,0.125898,-308.509272,-308.503236,-308.502292,-308.538578,24.263,-1482.099074,-1491.643486,-1499.941665,-1382.859154
gdb_2232,CC12CC1CC=C2,4.59327,2.69953,2.15574,0.1828,68.85,-0.223,0.0254,0.2484,683.4703,0.149586,-272.587161,-272.5808,-272.579856,-272.616798,25.428,-1667.308356,-1678.42656,-1687.910731,-1555.161202
gdb_2236,OC12CC1CC=C2,4.71385,2.77565,2.20187,1.2709,61.33,-0.2276,0.0209,0.2485,638.4994,0.125817,-308.508824,-308.502727,-308.501783,-308.538206,24.352,-1481.81795,-1491.324084,-1499.622263,-1382.62572
gdb_2459,CC1=CC2CC2C1,5.90814,2.21076,1.86293,0.2646,69.74,-0.2156,0.0292,0.2447,739.0377,0.149694,-272.589883,-272.583485,-272.582541,-272.619709,25.267,-1669.016435,-1680.111422,-1689.595593,-1556.987881
gdb_3362,CC1C2CC=CC12,4.16223,2.62832,2.53249,0.182,68.23,-0.2226,0.0239,0.2465,660.1028,0.150086,-272.583285,-272.577007,-272.576063,-272.612962,24.896,-1664.876131,-1676.046419,-1685.53059,-1552.754078
gdb_3364,OC1C2CC=CC12,4.23863,2.79559,2.685,1.5547,60.78,-0.2241,0.0105,0.2346,605.008,0.126718,-308.507517,-308.501684,-308.500739,-308.536745,23.375,-1480.997796,-1490.669592,-1498.967144,-1381.70893
gdb_3433,CC1=CCC2CC12,4.62395,2.64092,1.91915,0.2434,69.54,-0.2166,0.0317,0.2483,717.8665,0.149804,-272.589999,-272.583609,-272.582665,-272.619815,25.214,-1669.089226,-1680.189233,-1689.673404,-1557.054397
gdb_3437,CC1C=CC2CC12,4.38224,2.85672,2.08512,0.2365,68.38,-0.2244,0.0228,0.2472,682.9414,0.150041,-272.582834,-272.576579,-272.575635,-272.612484,24.991,-1664.593124,-1675.777845,-1685.262016,-1552.454128
gdb_3440,OC1C=CC2CC12,4.47406,2.93763,2.13806,1.7197,60.86,-0.2338,0.0081,0.2419,636.5156,0.126687,-308.50658,-308.500593,-308.499648,-308.53603,23.716,-1480.40982,-1489.98498,-1498.282532,-1381.260261
gdb_8138,CC1=CC2(C)CC2C1,3.95174,1.61255,1.35066,0.2425,81.41,-0.2145,0.0294,0.2439,1008.7128,0.177271,-311.883322,-311.875361,-311.874417,-311.914963,31.324,-1948.961378,-1961.741854,-1973.004385,-1815.573672
gdb_8141,CC1=CC2(O)CC2C1,4.08304,1.62392,1.36261,1.3185,73.74,-0.219,0.0252,0.2442,960.3969,0.153469,-347.805201,-347.797484,-347.79654,-347.83663,30.278,-1763.606514,-1774.762369,-1784.838909,-1643.200715
gdb_8144,CC1=CC2CC2(C)C1,4.0948,1.5974,1.34458,0.2877,81.12,-0.2139,0.0291,0.2431,1007.174,0.177264,-311.88323,-311.875302,-311.874357,-311.91484,31.262,-1948.903647,-1961.704831,-1972.966735,-1815.496489
gdb_8145,CC1=CC2CC2(O)C1,4.22318,1.60978,1.35332,1.4421,73.77,-0.215,0.0238,0.2388,958.9196,0.153575,-347.805977,-347.798378,-347.797434,-347.837254,30.12,-1764.093461,-1775.323362,-1785.399902,-1643.592281
gdb_8196,CC12CC1(C)C=CC2,2.66394,2.4139,1.63394,0.2216,79.83,-0.2208,0.0256,0.2464,892.0496,0.177113,-311.879573,-311.871661,-311.870717,-311.910983,31.471,-1946.608847,-1959.42007,-1970.682602,-1813.076186
gdb_8198,CC12CC1(O)C=CC2,2.77402,2.43435,1.67573,1.2434,72.42,-0.2246,0.0211,0.2458,842.7106,0.153436,-347.802579,-347.794924,-347.793979,-347.83376,30.337,-1761.961186,-1773.155946,-1783.231858,-1641.399764
gdb_8199,CC12CC1(O)CC=C2,2.77411,2.43573,1.67789,1.2597,72.71,-0.2239,0.022,0.246,842.6459,0.15342,-347.80325,-347.795581,-347.794636,-347.834454,30.361,-1762.382244,-1773.56822,-1783.644132,-1641.835255
gdb_8202,OC12CC1(O)C=CC2,2.91453,2.45253,1.74015,1.9832,64.94,-0.2295,0.014,0.2435,789.3964,0.129879,-383.725155,-383.717878,-383.716934,-383.755941,29.022,-1577.043696,-1586.697922,-1595.58847,-1469.349347
gdb_11022,CC1=CCC2(C)CC12,3.93203,1.64898,1.39212,0.219,80.92,-0.2151,0.0317,0.2468,989.9167,0.177314,-311.883394,-311.875455,-311.874511,-311.915003,31.243,-1949.006558,-1961.800839,-1973.063371,-1815.598773
gdb_11025,CC1=CCC2(O)CC12,4.01576,1.67353,1.40639,1.2023,73.63,-0.2191,0.0275,0.2466,940.2284,0.15358,-347.805815,-347.798155,-347.797211,-347.837146,30.164,-1763.991805,-1775.183428,-1785.259967,-1643.52451
gdb_11026,CC12CC1C(O)C=C2,4.11315,1.72972,1.44894,1.8014,72.43,-0.2311,0.0088,0.2398,911.9449,0.154176,-347.800189,-347.792618,-347.791674,-347.831467,29.821,-1760.461439,-1771.708911,-1781.78545,-1639.960886
gdb_11029,CC1C=CC2(C)CC12,4.03506,1.70961,1.42937,0.2222,80.1,-0.2229,0.023,0.2459,963.7268,0.177577,-311.87637,-311.868542,-311.867598,-311.907822,31.073,-1944.598935,-1957.46287,-1968.725401,-1811.09263
gdb_11032,CC1C=CC2(O)CC12,4.09821,1.74119,1.44832,1.2179,72.44,-0.2272,0.0185,0.2457,911.8939,0.15384,-347.797928,-347.790372,-347.789428,-347.829124,29.983,-1759.042641,-1770.299525,-1780.376065,-1638.490632
gdb_11033,OC1C=CC2(O)CC12,4.17714,1.79311,1.48023,1.422,65.17,-0.2324,0.0066,0.239,855.4875,0.130239,-383.718937,-383.711582,-383.710638,-383.750044,28.789,-1573.141845,-1582.747125,-1591.637673,-1465.648926
gdb_11997,CC1(C)C=CC2CC12,3.20863,1.97799,1.74869,0.1954,79.37,-0.2254,0.0236,0.249,882.1765,0.17765,-311.873696,-311.866065,-311.865121,-311.904778,31.014,-1942.920976,-1955.90853,-1967.171062,-1809.182493
gdb_12000,CC1(O)C=CC2CC12,3.30379,2.00995,1.77155,1.1429,72.34,-0.2328,0.0128,0.2455,838.8866,0.153685,-347.800444,-347.79292,-347.791976,-347.831525,30.055,-1760.621454,-1771.898418,-1781.974958,-1639.997282
gdb_12865,CC12CC=CC1C2O,2.72929,2.2902,1.79467,1.5185,72.09,-0.2227,0.0112,0.2339,837.004,0.154043,-347.80131,-347.793827,-347.792883,-347.832383,29.643,-1761.164877,-1772.467569,-1782.544109,-1640.535684
gdb_12867,CC1C2C=CCC12C,2.56086,2.2901,1.73701,0.217,79.56,-0.2211,0.0241,0.2452,891.3397,0.177424,-311.876721,-311.868838,-311.867894,-311.908223,31.064,-1944.819191,-1957.648612,-1968.911144,-1811.344262
gdb_12868,CC1C2C=CCC12O,2.57053,2.35203,1.7574,1.4171,72.21,-0.2245,0.0201,0.2446,846.6379,0.153831,-347.799514,-347.791939,-347.790995,-347.830698,29.931,-1760.037871,-1771.282832,-1781.359372,-1639.478332
gdb_12870,OC1C2C=CCC12O,2.73084,2.35513,1.81428,0.9019,64.75,-0.2241,0.0074,0.2315,792.6527,0.130359,-383.723363,-383.716171,-383.715227,-383.754167,28.529,-1575.9192,-1585.626764,-1594.517312,-1468.236146
gdb_12871,CC12C=CCC1C2O,2.71582,2.27325,1.78532,1.6053,72.34,-0.2219,0.0108,0.2327,842.7915,0.154124,-347.801199,-347.793709,-347.792764,-347.832298,29.633,-1761.095223,-1772.393523,-1782.469435,-1640.482346
gdb_12873,CC1C2CC=CC12C,2.55741,2.27356,1.72536,0.1346,79.82,-0.2213,0.0241,0.2455,897.2617,0.1776,-311.87667,-311.868802,-311.867857,-311.908145,31.028,-1944.787188,-1957.626022,-1968.887926,-1811.295316
gdb_12874,CC1C2CC=CC12O,2.56901,2.33391,1.74787,1.3513,72.14,-0.2258,0.0201,0.2459,851.465,0.153778,-347.799002,-347.791369,-347.790425,-347.830264,30.004,-1759.716586,-1770.925152,-1781.001691,-1639.205993
gdb_12876,OC1C2CC=CC12O,2.72546,2.33592,1.81028,2.7453,64.91,-0.2321,0.0023,0.2344,796.7003,0.130475,-383.723966,-383.716817,-383.715873,-383.754724,28.464,-1576.297588,-1586.032135,-1594.922683,-1468.585668
gdb_13002,CC1=CCC2CC12C,2.6294,2.37862,1.53079,0.2977,80.5,-0.2155,0.0325,0.2481,921.7273,0.177417,-311.882836,-311.87491,-311.873966,-311.914372,31.242,-1948.656408,-1961.458847,-1972.721379,-1815.202814
gdb_13003,CC1=CCC2CC12O,2.70953,2.41709,1.55141,1.3088,73.21,-0.2199,0.028,0.2479,876.6325,0.153605,-347.805852,-347.798146,-347.797202,-347.837205,30.206,-1764.015023,-1775.17778,-1785.25432,-1643.561533
gdb_13006,CC12CC1C=CC2O,2.62503,2.46288,1.6641,1.6235,72.02,-0.231,0.0084,0.2394,849.0103,0.154178,-347.800457,-347.792907,-347.791963,-347.831686,29.782,-1760.629612,-1771.890261,-1781.9668,-1640.09831
gdb_13009,CC1C=CC2CC12C,2.56679,2.42611,1.63679,0.2563,79.41,-0.2227,0.0233,0.246,895.4947,0.177502,-311.876309,-311.868477,-311.867533,-311.907777,31.06,-1944.560657,-1957.422082,-1968.684613,-1811.064393
gdb_13010,CC1C=CC2CC12O,2.62175,2.4694,1.65835,1.2911,72.23,-0.226,0.0193,0.2453,850.9619,0.153847,-347.79895,-347.791419,-347.790475,-347.8301,29.939,-1759.683956,-1770.956527,-1781.033067,-1639.103081
gdb_13013,OC1C=CC2CC12O,2.67651,2.51335,1.68783,1.5697,64.81,-0.2336,0.0029,0.2364,804.0996,0.130472,-383.722849,-383.715611,-383.714667,-383.753778,28.63,-1575.59666,-1585.275359,-1594.165907,-1467.992045
gdb_14169,CC1(C)C2CC=CC12,3.73192,1.70934,1.68945,0.1574,79.89,-0.2203,0.0233,0.2436,910.6722,0.177632,-311.875653,-311.867947,-311.867003,-311.90686,30.864,-1944.149011,-1957.089502,-1968.352033,-1810.488967
