mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_671,C1C=CC2NC12,6.50302,4.64374,3.2459,1.4999,53.83,-0.2299,0.0171,0.247,448.9341,0.11066,-249.332005,-249.32733,-249.326385,-249.359675,18.523,-1262.782169,-1271.402887,-1278.515075,-1178.276159
gdb_2229,CC12CC=CC1N2,4.82261,2.75718,2.16838,1.5596,64.71,-0.2247,0.0093,0.2339,658.4089,0.138352,-288.630839,-288.624648,-288.623704,-288.660359,24.518,-1546.112523,-1556.448223,-1565.339398,-1440.269324
gdb_2234,CC12NC1CC=C2,4.79023,2.74459,2.16092,1.5904,65.25,-0.2264,0.0198,0.2462,664.0798,0.138177,-288.627505,-288.621297,-288.620353,-288.657028,24.617,-1544.020407,-1554.345441,-1563.236616,-1438.179092
gdb_2460,CC1=CC2NC2C1,6.06599,2.24272,1.87717,1.3652,66.24,-0.2221,0.0216,0.2438,718.2698,0.138302,-288.628801,-288.622544,-288.6216,-288.658547,24.451,-1544.833659,-1555.127944,-1564.019119,-1439.132278
gdb_3434,CC1=CCC2NC12,4.77815,2.65915,1.93099,1.4841,66.11,-0.2235,0.0247,0.2482,699.4324,0.138383,-288.628466,-288.622198,-288.621254,-288.658226,24.413,-1544.623444,-1554.910826,-1563.802001,-1438.930848
gdb_3438,CC1C=CC2NC12,4.43191,2.96448,2.13779,1.4823,64.88,-0.2298,0.0152,0.245,657.6353,0.138727,-288.621895,-288.615793,-288.614849,-288.651438,24.126,-1540.500082,-1550.891631,-1559.782806,-1434.671317
gdb_3441,OC1C=CC2NC12,4.45824,3.15609,2.24655,2.5757,57.15,-0.2363,0.0016,0.2378,603.1419,0.115766,-324.547436,-324.541793,-324.540849,-324.576601,22.416,-1357.443157,-1366.344999,-1374.050182,-1264.492131
gdb_8139,CC1=CC2(C)NC2C1,4.1024,1.62563,1.35054,1.4392,77.83,-0.2202,0.0241,0.2443,988.8246,0.165738,-327.924293,-327.916455,-327.91551,-327.955872,30.581,-1826.066878,-1838.035357,-1848.704265,-1699.017641
gdb_8146,CC1=CC2NC2(C)C1,4.23941,1.6055,1.34934,1.4597,77.58,-0.2185,0.0223,0.2409,987.329,0.165771,-327.924162,-327.916353,-327.915409,-327.95571,30.524,-1825.984674,-1837.971351,-1848.640886,-1698.915984
gdb_8200,CC12CC=CC1(C)N2,2.72361,2.46639,1.62893,1.6539,76.25,-0.2211,0.0206,0.2417,872.9502,0.16563,-327.921832,-327.914059,-327.913115,-327.95314,30.728,-1824.522578,-1836.531845,-1847.201381,-1697.303286
gdb_11023,CC1=CCC2(C)NC12,4.07409,1.65898,1.39246,1.5528,77.43,-0.2202,0.0255,0.2457,971.8522,0.165788,-327.923867,-327.916034,-327.91509,-327.955429,30.511,-1825.799559,-1837.771176,-1848.440711,-1698.739654
gdb_11027,CC12NC1C(O)C=C2,4.20165,1.81725,1.48949,2.7975,68.66,-0.2329,0.0046,0.2374,875.452,0.143162,-363.843179,-363.835954,-363.83501,-363.874168,28.57,-1638.83388,-1649.409289,-1658.892833,-1524.52935
gdb_11030,CC1C=CC2(C)NC12,4.13776,1.7565,1.44831,1.5789,76.55,-0.2263,0.0178,0.2441,936.4632,0.166127,-327.917504,-327.909806,-327.908862,-327.948877,30.28,-1821.806719,-1833.86305,-1844.532585,-1694.628215
gdb_11998,CC1(C)C=CC2NC12,3.24415,2.01679,1.77332,1.4521,75.85,-0.23,0.0162,0.2461,858.0025,0.166225,-327.913116,-327.9056,-327.904656,-327.944148,30.208,-1819.05321,-1831.223747,-1841.893282,-1691.660725
gdb_12001,CC1(O)C=CC2NC12,3.33461,2.04989,1.79766,0.3676,68.74,-0.2352,0.0065,0.2417,814.7537,0.142229,-363.839405,-363.831976,-363.831032,-363.870471,29.28,-1636.465661,-1646.913058,-1656.396602,-1522.20945
gdb_13004,CC1=CCC2NC12C,2.67959,2.42338,1.527,1.5975,77.01,-0.2218,0.0275,0.2493,902.8402,0.165946,-327.923378,-327.915582,-327.914638,-327.954841,30.465,-1825.492707,-1837.487542,-1848.157077,-1698.370679
gdb_13007,CC12NC1C=CC2O,2.75988,2.46148,1.72815,2.5768,68.29,-0.2326,0.0028,0.2354,817.7296,0.143218,-363.84382,-363.836609,-363.835665,-363.874781,28.505,-1639.236113,-1649.820307,-1659.303851,-1524.914013
gdb_13011,CC1C=CC2NC12C,2.64043,2.45903,1.66307,1.5728,75.87,-0.2254,0.0165,0.2419,870.5224,0.166182,-327.917394,-327.909731,-327.908787,-327.948716,30.213,-1821.737693,-1833.815986,-1844.485522,-1694.527186
gdb_16084,C#CC12CC=CC1N2,4.62504,1.7262,1.47818,2.031,72.48,-0.2329,-0.0019,0.231,857.5268,0.119538,-325.473324,-325.466587,-325.465643,-325.50389,26.771,-1543.765011,-1552.870167,-1561.167718,-1442.822031
gdb_16090,N#CC12CC=CC1N2,4.62384,1.74584,1.49039,5.1552,66.83,-0.2574,-0.0193,0.2381,831.5334,0.109304,-341.57998,-341.57361,-341.572666,-341.610371,24.632,-1462.08844,-1470.534711,-1478.239267,-1367.41302
gdb_16097,C#CC12NC1CC=C2,4.63558,1.71472,1.47181,1.2691,73.47,-0.229,0.0029,0.2319,864.5488,0.119385,-325.473017,-325.466241,-325.465296,-325.50362,26.919,-1543.572366,-1552.653049,-1560.949973,-1442.652604
gdb_16103,N#CC12NC1CC=C2,4.62204,1.73554,1.48687,3.5915,67.76,-0.2575,-0.0171,0.2405,837.7075,0.109166,-341.578936,-341.572542,-341.571598,-341.609351,24.739,-1461.43332,-1469.864531,-1477.569087,-1366.77296
gdb_16131,O=CC12CC=CC1N2,4.07752,1.8365,1.49643,3.0701,66.76,-0.2431,-0.0278,0.2153,839.4951,0.119889,-362.657709,-362.651093,-362.650149,-362.68845,25.416,-1522.792406,-1531.972862,-1540.270414,-1421.703216
gdb_16138,O=CC12NC1CC=C2,4.14084,1.80505,1.46975,2.8429,68.07,-0.2477,-0.0305,0.2172,852.6567,0.119658,-362.654347,-362.647719,-362.646775,-362.685107,25.471,-1520.68272,-1529.855647,-1538.153198,-1419.605453
gdb_16152,CCC12CC=CC1N2,4.32412,1.61592,1.37738,1.5094,75.51,-0.2245,0.0093,0.2337,963.3467,0.166914,-327.919014,-327.911503,-327.910559,-327.950642,29.351,-1822.754258,-1834.927932,-1845.597468,-1695.735768
gdb_16157,OCC12CC=CC1N2,4.48926,1.62369,1.39212,2.043,68.14,-0.2321,0.0031,0.2351,910.0705,0.143902,-363.841587,-363.834425,-363.83348,-363.873135,27.722,-1637.834886,-1648.449828,-1657.932744,-1523.881134
gdb_16161,CCC12NC1CC=C2,4.32694,1.59745,1.36561,1.5866,76.25,-0.2261,0.0195,0.2455,976.0536,0.166687,-327.915354,-327.907803,-327.906859,-327.946982,29.495,-1820.457575,-1832.606149,-1843.275685,-1693.439086
gdb_16167,OCC12NC1CC=C2,4.50245,1.63064,1.40517,1.1867,68.79,-0.2268,0.0151,0.242,911.15,0.143292,-363.836511,-363.829053,-363.828109,-363.868302,28.283,-1634.64965,-1645.078849,-1654.562393,-1520.848383
gdb_16611,CC1=C(C)C2NC2C1,2.99411,2.09582,1.37631,1.3435,78.3,-0.2145,0.0276,0.242,952.0378,0.165993,-327.923589,-327.915678,-327.914734,-327.955418,30.351,-1825.625111,-1837.547782,-1848.217318,-1698.732751
gdb_16619,CC1=CC2NC2C1O,3.30671,2.15603,1.5144,2.2451,69.35,-0.2308,0.0093,0.2401,859.7706,0.143435,-363.845255,-363.838015,-363.837071,-363.8764,28.3,-1640.136589,-1650.702585,-1660.186129,-1525.929951
gdb_16622,CC1C2NC2C=C1C,3.12782,2.12776,1.46064,1.3504,76.88,-0.2221,0.0211,0.2432,915.1936,0.166411,-327.918134,-327.910451,-327.909507,-327.949626,30.022,-1822.20205,-1834.267793,-1844.937328,-1695.098219
gdb_16715,C#CC1=CC2NC2C1,6.17373,1.4052,1.25462,1.8641,76.72,-0.2231,-0.0232,0.2,952.377,0.119739,-325.477927,-325.471168,-325.470223,-325.508647,26.652,-1546.653435,-1555.744786,-1564.04171,-1445.807091
gdb_16720,N#CC1=CC2NC2C1,6.1564,1.41672,1.26279,5.3831,69.94,-0.2547,-0.0481,0.2066,924.2147,0.109594,-341.583454,-341.577081,-341.576137,-341.613993,24.441,-1464.268406,-1472.712795,-1480.41735,-1369.685857
gdb_16737,O=CC1=CC2NC2C1,5.63496,1.44021,1.25573,4.1804,69.77,-0.2482,-0.0589,0.1892,939.3636,0.120168,-362.656871,-362.650257,-362.649313,-362.68776,25.187,-1522.266553,-1531.448265,-1539.745816,-1421.270234
gdb_16753,CCC1=CC2NC2C1,5.32587,1.32045,1.18739,1.3666,77.51,-0.2221,0.0205,0.2425,1072.6161,0.166937,-327.915906,-327.908307,-327.907363,-327.947972,29.269,-1820.80396,-1832.922414,-1843.591949,-1694.060319
gdb_16759,OCC1=CC2NC2C1,5.10374,1.37049,1.19354,1.8853,69.67,-0.2278,0.0148,0.2426,1012.5851,0.143632,-363.836979,-363.829752,-363.828808,-363.868511,27.833,-1634.943324,-1645.517478,-1655.001022,-1520.979532
gdb_16805,CC1=CC(O)C2NC12,3.59164,1.8778,1.43875,2.7985,69.49,-0.2301,0.0095,0.2396,900.0686,0.143366,-363.844317,-363.837024,-363.83608,-363.87558,28.381,-1639.547985,-1650.080724,-1659.564267,-1525.415393
gdb_16808,CC1C=C(C)C2NC12,3.49665,1.83693,1.39517,1.4833,77.41,-0.2234,0.0226,0.246,959.5193,0.166407,-327.918411,-327.910683,-327.909739,-327.949991,30.033,-1822.37587,-1834.413375,-1845.08291,-1695.32726
gdb_18173,C#CC1=CCC2NC12,4.83851,1.6037,1.30077,1.7502,76.27,-0.2246,-0.0212,0.2034,922.0746,0.119719,-325.477625,-325.470865,-325.469921,-325.508348,26.625,-1546.463928,-1555.55465,-1563.852202,-1445.619466
gdb_18177,N#CC1=CCC2NC12,4.84864,1.6135,1.30809,5.0155,69.65,-0.2561,-0.0464,0.2097,895.662,0.109561,-341.583385,-341.577015,-341.57607,-341.613925,24.41,-1464.225108,-1472.671379,-1480.375307,-1369.643187
gdb_18183,C#CC1C=CC2NC12,4.26562,1.81253,1.47871,1.97,71.3,-0.2336,0.0065,0.2401,851.8842,0.119667,-325.463605,-325.456873,-325.455929,-325.494362,26.492,-1537.666251,-1546.774544,-1555.072096,-1436.843125
gdb_18188,N#CC1C=CC2NC12,4.26947,1.84334,1.49802,5.2254,66.04,-0.2548,-0.012,0.2428,823.2749,0.109472,-341.572258,-341.565912,-341.564968,-341.602809,24.343,-1457.242815,-1465.704147,-1473.408702,-1362.667796
gdb_18212,O=CC1=CCC2NC12,4.40147,1.67976,1.31848,3.532,69.28,-0.2431,-0.0571,0.186,903.1986,0.120161,-362.657017,-362.650407,-362.649463,-362.687898,25.141,-1522.358169,-1531.542391,-1539.839943,-1421.356831
gdb_18219,O=CC1C=CC2NC12,4.44653,1.68003,1.3829,3.697,66.8,-0.2348,-0.0261,0.2087,876.5204,0.11989,-362.645439,-362.638754,-362.63781,-362.67672,25.231,-1515.09287,-1524.230029,-1532.52758,-1414.342535
gdb_18240,CCC1=CCC2NC12,4.06845,1.50879,1.27272,1.4703,77.43,-0.2238,0.0227,0.2464,1029.2206,0.167005,-327.915679,-327.908082,-327.907138,-327.947709,29.232,-1820.661515,-1832.781224,-1843.45076,-1693.895285
gdb_18244,OCC1=CCC2NC12,4.50364,1.48107,1.22475,1.8554,69.59,-0.2296,0.019,0.2486,990.6616,0.143671,-363.836595,-363.829339,-363.828394,-363.868148,27.836,-1634.702361,-1645.258317,-1654.741233,-1520.751746
gdb_18249,CCC1C=CC2NC12,4.2111,1.57611,1.30443,1.4465,76.14,-0.2295,0.0143,0.2438,995.3698,0.16712,-327.909466,-327.901987,-327.901042,-327.941233,29.052,-1816.762802,-1828.956557,-1839.625465,-1689.831536
gdb_18252,COC1C=CC2NC12,4.42446,1.66506,1.36621,1.9993,69.69,-0.2293,0.0048,0.2342,930.3627,0.142982,-363.818672,-363.811363,-363.810419,-363.850448,27.462,-1623.455517,-1633.978215,-1643.461759,-1509.644837
gdb_18256,OCC1C=CC2NC12,4.25202,1.60409,1.3256,2.0189,68.6,-0.2357,0.0064,0.242,934.7658,0.143923,-363.831,-363.823798,-363.822853,-363.862479,27.739,-1631.191448,-1641.78129,-1651.264206,-1517.194398
gdb_18613,CN1C2C=CC(O)C12,2.89796,2.37083,1.84357,2.3847,68.69,-0.2209,-0.0025,0.2185,795.0234,0.142555,-363.823931,-363.816526,-363.815582,-363.855112,28.534,-1626.755587,-1637.218044,-1646.701588,-1512.571539
gdb_19507,O=CN1C2CC=CC12,3.66206,1.96214,1.80053,3.6278,66.19,-0.248,-0.0086,0.2394,785.9064,0.119995,-362.662046,-362.655487,-362.654543,-362.69287,24.811,-1525.513912,-1534.730137,-1543.027688,-1424.476805
gdb_36120,C#CCC12CC=CC1N2,3.95688,1.13347,1.00067,1.7926,81.53,-0.2296,0.0045,0.2341,1204.2014,0.147853,-364.763086,-364.754981,-364.754036,-364.795912,31.67,-1821.402603,-1832.315612,-1842.390897,-1699.379713
gdb_36124,N#CCC12CC=CC1N2,3.99515,1.13492,1.00218,4.4761,76.52,-0.2445,-0.0071,0.2374,1176.5723,0.13764,-380.871823,-380.864093,-380.863149,-380.9045,29.543,-1741.031878,-1751.291023,-1760.773939,-1625.292863
gdb_36128,C#CCC12NC1CC=C2,4.036,1.10755,0.99278,1.6745,82.52,-0.2335,0.0149,0.2484,1223.2504,0.147612,-364.759034,-364.750903,-364.749959,-364.791946,31.751,-1818.859937,-1829.756631,-1839.832543,-1696.891013
gdb_36133,N#CCC12NC1CC=C2,4.07206,1.10637,0.99036,4.6321,77.46,-0.2479,0.0018,0.2497,1198.1305,0.137307,-380.866678,-380.858915,-380.85797,-380.899424,29.686,-1737.803344,-1748.041781,-1757.52407,-1622.107627
gdb_36211,C#CCC1=CC2NC2C1,4.70635,0.95558,0.87592,1.3192,83.31,-0.2301,0.0109,0.2409,1333.0635,0.147901,-364.760081,-364.75194,-364.750996,-364.793181,31.563,-1819.516939,-1830.407357,-1840.483269,-1697.665986
gdb_36216,N#CCC1=CC2NC2C1,4.76673,0.9548,0.87689,3.6442,78.21,-0.2436,-0.0062,0.2373,1303.9851,0.137677,-380.868636,-380.860872,-380.859928,-380.901567,29.439,-1739.032007,-1749.269816,-1758.752732,-1623.452379
gdb_36221,C#CCC1=CCC2NC12,3.55894,1.076,0.95699,1.1368,83.26,-0.2317,0.0131,0.2449,1269.6817,0.147959,-364.760057,-364.751906,-364.750962,-364.793162,31.532,-1819.501879,-1830.386022,-1840.461934,-1697.654063
gdb_36224,N#CCC1=CCC2NC12,3.60817,1.07478,0.95491,3.1105,78.17,-0.2454,-0.0041,0.2413,1243.3441,0.13773,-380.868639,-380.860861,-380.859917,-380.901603,29.41,-1739.033889,-1749.262914,-1758.74583,-1623.47497
gdb_36296,C#CCN1C2CC=CC12,3.53114,1.17227,1.1064,1.7058,82.21,-0.2292,0.0035,0.2327,1161.7088,0.147499,-364.747784,-364.739781,-364.738837,-364.780704,31.203,-1811.800461,-1822.777476,-1832.853388,-1689.836556
gdb_36300,N#CCN1C2CC=CC12,3.59222,1.15668,1.09855,4.9563,77.16,-0.2475,-0.0108,0.2367,1142.6276,0.137262,-380.856023,-380.848399,-380.847455,-380.888804,29.078,-1731.117236,-1741.442897,-1750.925813,-1615.443482
gdb_36315,C#CCC1C=CC2NC12,4.1292,1.07782,0.93707,1.9888,82.61,-0.2356,0.0092,0.2448,1251.8853,0.148197,-364.756063,-364.748038,-364.747093,-364.788859,31.311,-1816.995608,-1827.958817,-1838.034102,-1694.953892
gdb_36320,N#CCC1C=CC2NC12,4.10924,1.08833,0.94673,5.15,77.32,-0.2494,-0.0047,0.2447,1215.9216,0.138009,-380.865284,-380.857647,-380.856702,-380.897907,29.153,-1736.928597,-1747.2461,-1756.728388,-1621.155696
gdb_51135,O=CCC12CC=CC1N2,3.99768,1.05971,0.93452,3.0259,76.98,-0.2316,-0.0209,0.2107,1250.3786,0.147787,-401.941853,-401.933738,-401.932794,-401.975438,30.477,-1796.904652,-1807.810758,-1817.88667,-1675.102018
gdb_51164,O=CCC12NC1CC=C2,4.31283,1.02247,0.9252,2.9722,77.54,-0.2361,-0.0255,0.2106,1271.2394,0.147495,-401.936754,-401.92857,-401.927626,-401.970552,30.625,-1793.704984,-1804.567792,-1814.643704,-1672.036009
gdb_51260,O=CCC1=CC2NC2C1,4.76231,0.90458,0.83129,2.9128,79.12,-0.2327,-0.0297,0.203,1373.348,0.147805,-401.938809,-401.930604,-401.92966,-401.973096,30.356,-1794.994515,-1805.844145,-1815.920057,-1673.632391
gdb_51265,O=CNC1=CC2NC2C1,4.35348,1.0713,0.91934,2.9964,78.63,-0.2132,-0.0082,0.205,1241.0576,0.138035,-418.015961,-418.008293,-418.007349,-418.048612,29.366,-1694.803918,-1705.10134,-1714.584256,-1578.792564
gdb_51284,O=CCC1=CCC2NC12,3.50344,1.05741,0.92643,2.1102,79.25,-0.2341,-0.0314,0.2027,1282.518,0.147947,-401.939007,-401.930825,-401.929881,-401.973166,30.289,-1795.118761,-1805.982825,-1816.058737,-1673.676317
gdb_51288,O=CNC1=CCC2NC12,3.52402,1.24997,0.9905,2.5838,78.49,-0.2148,-0.007,0.2078,1174.0261,0.138149,-418.014882,-418.007209,-418.006265,-418.047574,29.286,-1694.126835,-1704.421121,-1713.904037,-1578.141209
gdb_51460,O=CCN1C2CC=CC12,3.42738,1.07095,1.02042,3.191,77.01,-0.2376,-0.0211,0.2166,1225.4322,0.147185,-401.928784,-401.92071,-401.919766,-401.962495,30.156,-1788.703737,-1799.635571,-1809.711483,-1666.980169
gdb_51485,N=COC1C=CC2NC12,4.13062,1.06675,0.9348,4.814,76.47,-0.2393,-0.0068,0.2324,1249.7715,0.136969,-417.970102,-417.962225,-417.961281,-418.003652,29.298,-1666.026982,-1676.193256,-1685.676172,-1550.579759
gdb_51489,O=CCC1C=CC2NC12,4.17661,0.98703,0.87315,3.5694,78.06,-0.2419,-0.0206,0.2214,1310.8613,0.148152,-401.932166,-401.924115,-401.923171,-401.965881,30.078,-1790.825972,-1801.772239,-1811.848151,-1669.104914
gdb_51492,O=CNC1C=CC2NC12,4.02952,1.09216,0.97129,3.8959,75.5,-0.2366,-0.0031,0.2335,1209.8293,0.138167,-418.008992,-418.0013,-418.000356,-418.042127,29.078,-1690.430807,-1700.71317,-1710.196086,-1574.723168
gdb_51495,O=COC1C=CC2NC12,3.39978,1.2464,1.13846,5.5367,70.27,-0.2465,-0.0211,0.2255,1089.8988,0.125232,-437.875544,-437.868026,-437.867082,-437.907998,28.246,-1618.961925,-1628.464921,-1637.354841,-1509.564516
gdb_52983,CC#CC12CC=CC1N2,4.35586,0.92145,0.84819,1.5726,87.5,-0.223,0.0032,0.2263,1419.5965,0.147875,-364.773503,-364.764899,-364.763955,-364.808015,31.809,-1827.939365,-1838.539247,-1848.615159,-1706.974455
gdb_53006,CC#CC12NC1CC=C2,4.36246,0.91624,0.84431,1.7286,88.68,-0.2183,0.0092,0.2274,1430.78,0.147707,-364.773319,-364.76463,-364.763686,-364.809111,31.953,-1827.823903,-1838.370447,-1848.446359,-1707.662205
gdb_53065,CC#CC1=CC2NC2C1,5.866,0.77533,0.7284,1.3048,93.19,-0.2114,-0.0143,0.1971,1587.889,0.148082,-364.778515,-364.769874,-364.76893,-364.813657,31.632,-1831.08444,-1841.661104,-1851.737016,-1710.51486
gdb_53078,CC#CC1=CCC2NC12,4.64304,0.85274,0.7574,1.4533,92.59,-0.2125,-0.0123,0.2002,1532.657,0.14807,-364.778107,-364.769466,-364.768522,-364.813282,31.599,-1830.828416,-1841.40508,-1851.480992,-1710.279545
gdb_53197,CC#CC1C=CC2NC12,3.90579,0.96476,0.86766,1.3508,85.83,-0.2252,0.0115,0.2366,1392.1493,0.148011,-364.763295,-364.754668,-364.753724,-364.798591,31.515,-1821.533753,-1832.119202,-1842.195114,-1701.06081
gdb_54477,CC(=O)C12CC=CC1N2,3.24343,1.39852,1.12016,2.5697,77.3,-0.2343,-0.0177,0.2166,1107.3383,0.147693,-401.957935,-401.949736,-401.948791,-401.990961,31.194,-1806.996252,-1817.849647,-1827.924932,-1684.84284
gdb_54483,NC(=O)C12CC=CC1N2,3.33414,1.4144,1.13934,2.8383,73.42,-0.2351,-0.0017,0.2334,1069.1824,0.137982,-418.032604,-418.024875,-418.023931,-418.064781,30.382,-1705.24755,-1715.506695,-1724.989611,-1588.938757
gdb_54507,CC(=O)C12NC1CC=C2,3.15272,1.41289,1.12386,2.6911,78.24,-0.241,-0.0218,0.2192,1109.8651,0.147825,-401.956972,-401.948837,-401.947893,-401.98976,31.111,-1806.391961,-1817.285517,-1827.361429,-1684.089201
gdb_54513,NC(=O)C12NC1CC=C2,3.27828,1.41971,1.13501,3.7224,74.3,-0.2391,-0.0019,0.2372,1076.0774,0.137824,-418.028281,-418.020464,-418.01952,-418.060538,30.568,-1702.534828,-1712.738752,-1722.221668,-1586.276236
gdb_54632,CC(=O)C1=CC2NC2C1,3.86147,1.12368,0.93899,3.7962,79.83,-0.2395,-0.0499,0.1897,1251.1515,0.147817,-401.953085,-401.944865,-401.943921,-401.986376,31.042,-1803.952833,-1814.793051,-1824.868963,-1681.965711
gdb_54638,NC(=O)C1=CC2NC2C1,4.0237,1.1264,0.95104,3.4155,75.53,-0.2407,-0.0334,0.2074,1214.5423,0.137875,-418.024246,-418.016381,-418.015437,-418.056945,30.472,-1700.00283,-1710.176633,-1719.659549,-1584.021596
gdb_54659,CC(=O)C1=CCC2NC12,3.29739,1.26737,0.9813,3.8184,79.34,-0.236,-0.0481,0.1879,1204.569,0.147823,-401.953517,-401.945313,-401.944368,-401.986737,31.007,-1804.223917,-1815.074175,-1825.14946,-1682.192242
gdb_54665,NC(=O)C1=CCC2NC12,3.41985,1.2788,0.9879,3.9544,75.48,-0.2385,-0.0285,0.21,1169.7722,0.137925,-418.02432,-418.016477,-418.015533,-418.056989,30.349,-1700.049265,-1710.236874,-1719.71979,-1584.049207
gdb_54816,CC(=O)N1C2CC=CC12,2.75543,1.55653,1.40613,3.064,76.33,-0.2386,-0.0085,0.2301,1011.2713,0.147711,-401.963906,-401.95574,-401.954795,-401.997065,30.617,-1810.743108,-1821.617211,-1831.692496,-1688.673155
gdb_54821,NC(=O)N1C2CC=CC12,2.81249,1.58829,1.45242,2.8864,72.41,-0.2366,0.0017,0.2383,970.8084,0.137784,-418.029269,-418.021617,-418.020673,-418.061416,29.956,-1703.154807,-1713.46227,-1722.945186,-1586.827189
gdb_54862,CC(=O)C1C=CC2NC12,3.10346,1.31014,1.23284,3.2061,77.09,-0.2316,-0.0054,0.2262,1086.081,0.147958,-401.945345,-401.93726,-401.936316,-401.978361,30.845,-1799.095913,-1810.020845,-1820.096757,-1676.936226
gdb_54869,NC(=O)C1C=CC2NC12,3.31551,1.35656,1.20014,4.1866,73.39,-0.2321,-0.0002,0.2319,1056.1532,0.13847,-418.022167,-418.014611,-418.013667,-418.054538,29.695,-1698.698238,-1709.065942,-1718.548858,-1582.511182
gdb_58839,CC(C)C12CC=CC1N2,2.92244,1.24482,1.19053,1.4467,85.81,-0.2237,0.0094,0.2331,1198.0731,0.194884,-367.207724,-367.198865,-367.197921,-367.240909,34.905,-2099.73171,-2113.725788,-2126.173684,-1951.192172
gdb_58843,CC(O)C12CC=CC1N2,3.03298,1.26045,1.1767,2.2055,78.86,-0.2272,0.0072,0.2344,1155.1835,0.171108,-403.132736,-403.123953,-403.123009,-403.166131,33.867,-1916.342833,-1928.606868,-1939.868772,-1781.05001
gdb_58881,CC(C)C12NC1CC=C2,3.11459,1.27167,1.08917,1.6579,86.75,-0.2254,0.0201,0.2455,1225.6367,0.194739,-367.202991,-367.194116,-367.193171,-367.236241,35.002,-2096.76171,-2110.745748,-2123.193017,-1948.26296
gdb_58886,CC(O)C12NC1CC=C2,3.24829,1.31143,1.09019,2.3848,79.99,-0.2233,0.0183,0.2416,1170.4212,0.171251,-403.131569,-403.12293,-403.121985,-403.164533,33.765,-1915.610529,-1927.964927,-1939.226203,-1780.04725
gdb_58996,CC(C)C1=CC2NC2C1,3.49751,1.01635,1.00875,1.3343,88.21,-0.222,0.0214,0.2434,1339.4883,0.19494,-367.204563,-367.195596,-367.194652,-367.238332,34.806,-2097.748154,-2111.674462,-2124.122358,-1949.575082
gdb_59001,CC(O)C1=CC2NC2C1,3.73098,1.08314,0.91386,0.6429,81.09,-0.2249,0.0137,0.2386,1312.644,0.17139,-403.128662,-403.120023,-403.119079,-403.161992,33.56,-1913.786361,-1926.140758,-1937.402662,-1778.45275
gdb_59025,CC(C)C1=CCC2NC12,2.97767,1.17382,1.05879,1.4078,88.19,-0.2236,0.023,0.2467,1279.6225,0.19495,-367.204928,-367.195947,-367.195003,-367.238628,34.787,-2097.977195,-2111.894717,-2124.342613,-1949.760824
gdb_59028,CC(O)C1=CCC2NC12,3.10395,1.19805,1.05546,1.8982,81.03,-0.2319,0.0107,0.2426,1226.902,0.17158,-403.131587,-403.122907,-403.121963,-403.165046,33.425,-1915.621825,-1927.950494,-1939.212398,-1780.369162
gdb_59275,CC(C)C1C=CC2NC12,2.96206,1.31005,1.01806,1.3862,86.9,-0.2299,0.0143,0.2442,1248.0411,0.194961,-367.19859,-367.189734,-367.18879,-367.23216,34.62,-2094.000043,-2107.996004,-2120.4439,-1945.702096
gdb_59279,CC(O)C1C=CC2NC12,3.05187,1.30956,1.02969,2.0655,79.87,-0.232,0.0102,0.2422,1198.5521,0.171491,-403.124834,-403.116282,-403.115337,-403.157958,33.389,-1911.384256,-1923.793247,-1935.054523,-1775.921379
