mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_158,C1C=CCO1,8.03792,7.90647,4.19499,1.5715,43.73,-0.2303,0.0188,0.2491,336.0014,0.092218,-231.142581,-231.138099,-231.137155,-231.169932,15.461,-1060.035893,-1066.999988,-1072.927438,-991.1943911
gdb_457,CC1=CCOC1,7.64601,3.12341,2.31329,1.8189,55.75,-0.2252,0.0249,0.2501,566.4241,0.119949,-270.43928,-270.433217,-270.432273,-270.468829,21.372,-1342.026515,-1350.664804,-1358.370615,-1252.066198
gdb_464,CC1OCC=C1,6.77781,3.51016,2.61055,1.4505,55.0,-0.2302,0.0182,0.2484,531.8706,0.120101,-270.437636,-270.4318,-270.430856,-270.466917,21.19,-1340.994891,-1349.775624,-1357.481435,-1250.8664
gdb_1348,CC1(C=CCO1)C,4.2207,2.36765,2.28654,1.3834,65.66,-0.2297,0.0195,0.2492,704.2269,0.147403,-309.731369,-309.724077,-309.723132,-309.762326,27.428,-1621.124321,-1631.657687,-1641.14123,-1509.549456
gdb_1859,CC1OC(C)C=C1,4.66538,2.24818,1.8119,1.3262,66.28,-0.2305,0.0176,0.248,766.1778,0.147908,-309.732713,-309.725486,-309.724542,-309.763832,26.947,-1621.967693,-1632.541847,-1642.026018,-1510.494484
gdb_1887,CC1OCC(C)=C1,5.46976,1.97827,1.59671,1.7015,67.26,-0.2254,0.0239,0.2494,821.9987,0.147795,-309.734363,-309.726916,-309.725972,-309.765752,27.105,-1623.003083,-1633.439185,-1642.923356,-1511.699301
gdb_2128,CC1=C(COC1)C,3.38695,2.88321,1.62007,1.9433,67.72,-0.2197,0.0289,0.2486,788.433,0.147601,-309.734862,-309.727156,-309.726212,-309.766587,27.288,-1623.31621,-1633.589787,-1643.073958,-1512.223271
gdb_2154,CC1OCC=C1C,3.50778,2.90903,1.74748,1.6775,66.64,-0.2248,0.0252,0.25,758.3742,0.147907,-309.733829,-309.72643,-309.725486,-309.765125,27.039,-1622.667993,-1633.134216,-1642.618387,-1511.305853
gdb_2869,C#CC1=CCOC1,7.96343,1.81594,1.50665,1.2613,65.38,-0.231,-0.0258,0.2052,771.0564,0.101347,-307.287454,-307.280885,-307.279941,-307.318107,23.545,-1343.248903,-1350.681747,-1357.793934,-1258.225198
gdb_2872,C1C=C(CO1)C#N,7.93855,1.83398,1.51817,3.2089,59.12,-0.2584,-0.0526,0.2058,745.8735,0.091134,-323.391458,-323.38525,-323.384306,-323.422014,21.385,-1259.908178,-1266.678372,-1273.197563,-1181.200979
gdb_2882,C#CC1OCC=C1,6.15657,2.09059,1.79716,1.7258,60.86,-0.2464,0.0069,0.2533,704.6804,0.101245,-307.275809,-307.269393,-307.268449,-307.306294,23.432,-1335.941561,-1343.470414,-1350.582601,-1250.812435
gdb_2886,N#CC1OCC=C1,6.13505,2.12769,1.82654,4.4719,55.64,-0.2685,-0.0142,0.2543,678.3839,0.090997,-323.382399,-323.376361,-323.375417,-323.41262,21.369,-1254.223574,-1261.100445,-1267.619636,-1175.306159
gdb_2899,C1C=C(CO1)C=O,7.09484,1.8894,1.52039,3.161,58.88,-0.2491,-0.0663,0.1827,755.3957,0.101697,-344.465017,-344.458585,-344.457641,-344.495829,22.14,-1317.995431,-1325.513616,-1332.625803,-1232.815477
gdb_2908,O=CC1OCC=C1,5.26608,2.324,1.98515,3.2989,56.06,-0.2331,-0.0293,0.2039,661.7507,0.101195,-344.454928,-344.448616,-344.447672,-344.485643,22.144,-1311.664492,-1319.257979,-1326.370166,-1226.42367
gdb_2922,CCC1=CCOC1,6.0273,1.73637,1.48851,1.8437,66.81,-0.2246,0.0237,0.2483,862.0048,0.148609,-309.726295,-309.718904,-309.717959,-309.758276,26.168,-1617.94034,-1628.411583,-1637.895126,-1507.008044
gdb_2926,C1C=C(CO1)CO,6.61015,1.76666,1.43141,2.4493,59.65,-0.2252,0.0257,0.2509,822.0886,0.124847,-345.645388,-345.638165,-345.637221,-345.677115,24.986,-1430.837237,-1439.636168,-1447.934347,-1332.860491
gdb_2936,CCC1OCC=C1,5.92009,1.91663,1.57773,1.4309,66.13,-0.2295,0.0185,0.248,819.6131,0.148569,-309.726463,-309.719311,-309.718367,-309.757828,26.074,-1618.045762,-1628.666979,-1638.15115,-1506.72692
gdb_2938,COC1OCC=C1,6.09771,2.08735,1.72623,0.8742,59.0,-0.2526,0.0095,0.2621,744.1805,0.125089,-345.648365,-345.641555,-345.640611,-345.679359,24.232,-1432.705331,-1441.763423,-1450.061602,-1334.268622
gdb_2941,OCC1OCC=C1,5.93808,2.00867,1.64001,2.7074,58.53,-0.2359,0.0086,0.2445,753.5015,0.125771,-345.649146,-345.64248,-345.641536,-345.680008,24.325,-1433.195415,-1442.343869,-1450.642048,-1334.675875
gdb_6205,CC1=CC(OC1)(C)C,3.69447,1.47318,1.38591,1.6328,78.06,-0.2253,0.025,0.2503,1036.4694,0.175086,-349.028,-349.019073,-349.018128,-349.061077,33.342,-1903.072272,-1915.245947,-1926.507851,-1770.329646
gdb_6215,CC1OC(C)(C)C=C1,3.51064,1.61186,1.5001,1.2681,77.05,-0.23,0.0186,0.2486,983.3882,0.175249,-349.026385,-349.017694,-349.01675,-349.059105,33.153,-1902.058845,-1914.380612,-1925.643143,-1769.092198
gdb_6968,CC1=CCOC1(C)C,2.39231,2.28779,1.59482,1.5998,76.96,-0.2239,0.0269,0.2508,931.2374,0.175182,-349.026993,-349.018072,-349.017128,-349.060037,33.291,-1902.440371,-1914.61781,-1925.880342,-1769.677036
gdb_8003,CC1OC(C)C(C)=C1,3.05996,1.74507,1.28148,1.5606,78.16,-0.2253,0.0243,0.2496,1039.7917,0.175717,-349.028927,-349.020107,-349.019163,-349.062025,32.787,-1903.653973,-1915.894791,-1927.157323,-1770.924524
gdb_9711,CC1(OCC=C1)C#C,3.29914,1.7976,1.63025,1.5736,72.19,-0.2449,0.0065,0.2514,876.2298,0.128607,-346.570768,-346.562881,-346.561937,-346.602804,29.693,-1616.840317,-1626.11239,-1635.002937,-1510.186377
gdb_9712,CC1(OCC=C1)C#N,3.30637,1.81839,1.64894,4.3967,66.86,-0.2658,-0.0136,0.2522,851.2043,0.118359,-362.678233,-362.670705,-362.669761,-362.71006,27.627,-1535.6714,-1544.279569,-1552.57712,-1435.263685
gdb_9718,CC1(OCC=C1)C=O,3.77239,1.6285,1.56599,3.0102,67.04,-0.2338,-0.0347,0.1991,885.3362,0.128584,-383.753667,-383.74575,-383.744806,-383.786243,28.557,-1594.935233,-1604.187853,-1613.0784,-1488.364124
