mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_655,C1COCC=C1,5.08056,4.85085,2.70226,1.1836,54.57,-0.2427,0.0243,0.2671,504.8171,0.12179,-270.435807,-270.430526,-270.429581,-270.46427,19.969,-1339.847177,-1348.976178,-1356.681361,-1249.205384
gdb_2087,CC1=CCCOC1,4.72713,2.35609,1.67837,1.2361,66.67,-0.2346,0.0278,0.2624,771.7952,0.149475,-309.731402,-309.724564,-309.72362,-309.761891,25.817,-1621.145029,-1631.963284,-1641.447455,-1509.276489
gdb_2088,CC1=CCOCC1,4.89474,2.28504,1.65933,1.3615,66.71,-0.2335,0.0285,0.2619,776.268,0.149503,-309.731536,-309.724731,-309.723786,-309.761997,25.76,-1621.229115,-1632.068078,-1641.551621,-1509.343005
gdb_2090,CC1CC=CCO1,4.72979,2.4736,1.73387,1.073,65.75,-0.2415,0.0257,0.2671,750.24,0.149376,-309.730988,-309.72426,-309.723316,-309.761296,25.763,-1620.88524,-1631.772521,-1641.256692,-1508.903121
gdb_2098,CC1COCC=C1,4.77072,2.3799,1.72725,1.1795,65.89,-0.2429,0.022,0.2649,756.3179,0.149678,-309.726244,-309.719536,-309.718592,-309.756595,25.614,-1617.908337,-1628.808169,-1638.29234,-1505.953202
gdb_2099,CC1OCCC=C1,4.66269,2.47228,1.78731,1.0674,66.19,-0.2424,0.0227,0.2651,745.1739,0.149606,-309.730329,-309.723647,-309.722702,-309.760656,25.653,-1620.471711,-1631.387858,-1640.871402,-1508.501516
gdb_2101,OC1COCC=C1,4.87456,2.44231,1.75845,1.8373,58.54,-0.2514,0.0148,0.2662,707.5345,0.125967,-345.64767,-345.641106,-345.640162,-345.677965,24.563,-1432.269212,-1441.481672,-1449.779851,-1333.393874
gdb_6845,CC1(CC=CCO1)C,3.22098,1.89008,1.63867,1.0937,75.75,-0.2402,0.0266,0.2667,908.8843,0.176874,-349.021378,-349.01332,-349.012376,-349.05298,31.816,-1898.916908,-1911.635887,-1922.898419,-1765.248705
gdb_6853,CC1(COCC=C1)C,3.27474,1.7863,1.57288,1.1506,76.64,-0.2431,0.0232,0.2663,934.084,0.177305,-349.017011,-349.008952,-349.008008,-349.048721,31.557,-1896.176576,-1908.894928,-1920.15746,-1762.576145
gdb_6854,CC1(C=CCCO1)C,3.25081,1.81282,1.59515,1.0541,76.86,-0.2419,0.0244,0.2663,931.7382,0.177117,-349.022119,-349.014048,-349.013104,-349.053862,31.779,-1899.381892,-1912.092714,-1923.355246,-1765.802168
gdb_6856,CC1(O)COCC=C1,3.43347,1.83057,1.58775,1.8576,69.29,-0.2422,0.0115,0.2537,887.0769,0.153879,-384.946266,-384.938535,-384.937591,-384.977752,30.212,-1715.450219,-1726.596661,-1736.673201,-1594.824164
