mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_105,C1C2CC1C2,7.20812,7.20681,6.22176,0.0002,49.82,-0.2974,0.1082,0.4056,328.2069,0.116844,-195.158734,-195.154774,-195.15383,-195.185188,15.584,-1206.505279,-1215.574667,-1222.688109,-1123.985963
gdb_316,CC12CC(C1)C2,5.99752,3.39906,3.39861,0.2077,61.09,-0.2934,0.0984,0.3917,520.6157,0.144312,-234.455424,-234.449921,-234.448977,-234.483864,21.869,-1488.490254,-1499.25768,-1508.149483,-1384.71909
gdb_319,OC12CC(C1)C2,6.11821,3.56308,3.551,1.329,53.49,-0.2587,0.0809,0.3397,476.4978,0.120826,-270.382725,-270.377533,-270.376589,-270.410876,20.67,-1306.537744,-1315.722593,-1323.428404,-1215.700169
gdb_651,CC1C2CC1C2,6.86385,3.29296,3.06483,0.1283,60.85,-0.2892,0.1047,0.3939,531.2527,0.144734,-234.447743,-234.442324,-234.44138,-234.476188,21.437,-1483.670357,-1494.490495,-1503.382297,-1379.902331
gdb_653,OC1C2CC1C2,7.03621,3.45239,3.19279,1.4563,53.19,-0.2526,0.0751,0.3278,484.8841,0.121175,-270.375081,-270.369961,-270.369017,-270.403214,20.256,-1301.741065,-1310.971095,-1318.676906,-1210.892195
gdb_1149,CC12CC(C)(C1)C2,5.79088,1.95367,1.95357,0.0002,72.52,-0.2901,0.0963,0.3864,782.4631,0.171694,-273.7519,-273.744793,-273.743848,-273.78222,28.159,-1770.340941,-1782.768129,-1793.437665,-1645.251414
gdb_1151,CC12CC(O)(C1)C2,5.90199,2.00364,1.99953,1.4144,64.77,-0.2546,0.0833,0.3379,730.5993,0.148237,-309.678595,-309.671798,-309.670854,-309.708628,26.957,-1588.008161,-1598.852144,-1608.336315,-1475.853477
gdb_1152,OC12CC(O)(C1)C2,6.02667,2.05106,2.04718,1.2552,57.1,-0.251,0.0715,0.3224,680.1462,0.124842,-345.602096,-345.595662,-345.594718,-345.63177,25.692,-1403.671117,-1412.965153,-1421.263332,-1304.406096
gdb_1895,CC12CC(C1)C2O,3.51483,2.91994,2.19637,1.4419,64.38,-0.2481,0.0747,0.3228,686.904,0.148548,-309.67203,-309.665257,-309.664313,-309.702169,26.574,-1583.888564,-1594.747608,-1604.231779,-1471.800397
gdb_1897,CC1C2CC1(C)C2,3.45151,2.83173,2.13394,0.2293,71.96,-0.2831,0.0954,0.3785,734.3806,0.172164,-273.744309,-273.737277,-273.736332,-273.774697,27.722,-1765.57752,-1778.051772,-1788.721307,-1640.530664
gdb_1899,CC1C2CC1(O)C2,3.55371,2.90741,2.1987,1.169,64.45,-0.2568,0.0813,0.3381,687.8277,0.148672,-309.671865,-309.665127,-309.664182,-309.701988,26.541,-1583.785025,-1594.666031,-1604.149575,-1471.686818
gdb_1902,OC1C2CC1(O)C2,3.66332,3.02423,2.27602,1.9264,57.01,-0.2549,0.0727,0.3275,637.2812,0.125251,-345.600119,-345.593712,-345.592768,-345.629875,25.239,-1402.430532,-1411.74151,-1420.039689,-1303.216966
gdb_2002,C#CC12CC(C1)C2,6.21612,2.01519,2.01511,0.6199,68.61,-0.2575,0.0461,0.3036,703.5632,0.12584,-271.300649,-271.294643,-271.293699,-271.330151,24.014,-1487.862117,-1497.425982,-1505.724161,-1389.001212
gdb_2005,N#CC12CC(C1)C2,6.19821,2.0418,2.04169,4.2071,62.9,-0.3107,0.0253,0.3361,678.8012,0.115732,-287.407788,-287.40215,-287.401205,-287.437115,21.862,-1406.488632,-1415.39424,-1423.098796,-1313.895287
gdb_2009,O=CC12CC(C1)C2,5.74265,2.08374,2.02612,2.74,62.46,-0.2461,-0.0278,0.2183,691.0499,0.125734,-308.475489,-308.469386,-308.468442,-308.505736,22.871,-1460.899938,-1470.402307,-1478.700486,-1362.250503
gdb_2012,CCC12CC(C1)C2,5.18386,1.99081,1.91531,0.2264,71.65,-0.2866,0.0912,0.3778,784.7641,0.172823,-273.743311,-273.736471,-273.735527,-273.774027,26.71,-1764.951266,-1777.545999,-1788.216162,-1640.110233
gdb_2015,COC12CC(C1)C2,5.40232,2.15272,2.08148,1.0894,64.62,-0.2482,0.0959,0.3441,715.9322,0.149106,-309.661518,-309.654982,-309.654038,-309.691913,25.083,-1577.29219,-1588.299953,-1597.784124,-1465.364664
gdb_2017,OCC12CC(C1)C2,5.35352,2.03795,1.95908,1.3849,64.86,-0.2638,0.0744,0.3382,733.8702,0.149398,-309.662433,-309.655798,-309.654854,-309.692957,25.419,-1577.86636,-1588.812,-1598.296171,-1466.019784
gdb_2043,CC1(C)C2CC1C2,4.11966,2.81542,2.13361,0.1122,71.5,-0.2809,0.0939,0.3748,710.3744,0.172378,-273.732431,-273.725484,-273.72454,-273.76293,27.483,-1758.123968,-1770.651558,-1781.321721,-1633.146766
gdb_2045,CC1(O)C2CC1C2,4.2706,2.91806,2.21666,1.3896,64.29,-0.2543,0.0767,0.331,662.4966,0.148719,-309.665941,-309.659399,-309.658455,-309.695711,26.324,-1580.067662,-1591.07166,-1600.555831,-1467.747944
gdb_2409,CC1C2CC1C2C,4.60166,2.25013,1.87851,0.141,72.04,-0.2861,0.106,0.3921,779.3598,0.172606,-273.735711,-273.72876,-273.727816,-273.766102,27.355,-1760.182198,-1772.707277,-1783.37744,-1635.137224
gdb_2410,CC1C2CC1C2O,4.71494,2.30989,1.92259,1.5909,64.27,-0.2511,0.0733,0.3244,727.7872,0.148931,-309.663477,-309.656789,-309.655844,-309.693614,26.211,-1578.52148,-1589.433861,-1598.917405,-1466.432057
gdb_2414,OC1C2CC1C2O,4.91313,2.40084,2.00986,2.1728,57.06,-0.2502,0.0761,0.3263,670.7171,0.125628,-345.591597,-345.585249,-345.584305,-345.621344,24.863,-1397.0829,-1406.430902,-1414.729081,-1297.863687
gdb_3494,C#CC1C2CC1C2,7.06485,2.01166,1.91669,0.6381,67.65,-0.2535,0.0455,0.299,706.5503,0.125894,-271.296056,-271.290104,-271.28916,-271.32551,23.696,-1484.979968,-1494.577718,-1502.875897,-1386.088942
gdb_3497,N#CC1C2CC1C2,7.06519,2.04655,1.94924,4.107,62.12,-0.3054,0.0245,0.3299,679.6258,0.11571,-287.404397,-287.39881,-287.397866,-287.433681,21.568,-1404.360749,-1413.29836,-1421.003543,-1311.740421
gdb_3501,O=CC1C2CC1C2,6.29452,2.16236,2.02358,2.4932,61.88,-0.2466,-0.026,0.2206,676.8724,0.12592,-308.470667,-308.46474,-308.463796,-308.500513,22.437,-1457.874089,-1467.4869,-1475.785079,-1358.973023
gdb_3505,CCC1C2CC1C2,5.84921,1.79726,1.75075,0.1306,71.76,-0.2881,0.0958,0.3839,827.7818,0.173231,-273.735646,-273.728917,-273.727973,-273.766326,26.266,-1760.14141,-1772.805796,-1783.475959,-1635.277786
gdb_3507,COC1C2CC1C2,6.23417,1.96506,1.91064,1.0355,64.97,-0.2488,0.098,0.3468,749.8514,0.14931,-309.6554,-309.64891,-309.647966,-309.685828,24.628,-1573.45309,-1584.489718,-1593.973889,-1461.546272
gdb_3509,OCC1C2CC1C2,6.05579,1.83003,1.77839,1.3371,64.79,-0.2617,0.076,0.3377,775.4136,0.149811,-309.655144,-309.648625,-309.647681,-309.685724,24.971,-1573.292447,-1584.310878,-1593.795049,-1461.481011
gdb_6563,CC12CC(C)(C1)C2O,3.00294,1.93239,1.48631,1.4211,75.72,-0.2441,0.0731,0.3172,947.9906,0.175885,-348.968632,-348.960169,-348.959225,-349.000683,32.907,-1865.818318,-1878.283157,-1889.545688,-1732.431867
gdb_6565,CC12CC(O)(C1)C2O,3.08967,1.98908,1.52458,1.3698,68.21,-0.2568,0.0739,0.3307,890.4348,0.15256,-384.896263,-384.88814,-384.887196,-384.927979,31.575,-1684.072886,-1694.973345,-1705.049885,-1563.591158
