mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_106,C1C2CC1O2,7.76429,7.54763,6.46247,1.8725,42.39,-0.2352,0.0994,0.3346,298.4772,0.092109,-231.069318,-231.065445,-231.064501,-231.095721,14.648,-1014.062702,-1021.408949,-1027.336399,-944.6263207
gdb_317,CC12CC(C1)O2,6.22463,3.60361,3.5536,1.8191,53.68,-0.2307,0.1012,0.3319,482.6135,0.119521,-270.370102,-270.364657,-270.363713,-270.398537,21.01,-1298.616698,-1307.642787,-1315.348598,-1207.957335
gdb_652,CC1C2CC1O2,7.23422,3.33967,3.08029,1.993,53.28,-0.2338,0.0894,0.3232,501.501,0.120022,-270.359564,-270.354228,-270.353283,-270.387995,20.486,-1292.004008,-1301.098496,-1308.803679,-1201.342135
gdb_654,OC1C2CC1O2,7.4502,3.53716,3.25337,1.8437,46.16,-0.2388,0.0631,0.3019,452.7784,0.096525,-306.286325,-306.281284,-306.28034,-306.314443,19.211,-1109.712643,-1117.214514,-1123.734332,-1031.969298
gdb_1150,CC12CC(C)(C1)O2,5.90647,2.07072,2.06618,1.6818,65.18,-0.2268,0.1023,0.329,731.1213,0.146912,-309.670613,-309.663553,-309.662609,-309.700944,27.348,-1582.999384,-1593.678332,-1603.162503,-1471.031698
gdb_1896,CC12CC(O1)C2O,3.71564,3.07505,2.30073,1.7143,57.21,-0.2485,0.0843,0.3328,639.2956,0.124503,-345.59241,-345.586031,-345.585087,-345.622228,24.895,-1397.593065,-1406.921614,-1415.219793,-1298.418405
gdb_1898,CC1C2CC1(C)O2,3.71321,2.76573,2.16613,1.9158,64.46,-0.2295,0.0894,0.3189,701.7911,0.147485,-309.66019,-309.653234,-309.65229,-309.69058,26.793,-1576.458858,-1587.203067,-1596.687238,-1464.528195
gdb_2003,C#CC12CC(C1)O2,6.46389,2.0966,2.07997,1.9161,61.1,-0.241,0.0143,0.2553,662.2897,0.100947,-307.209274,-307.203358,-307.202413,-307.238732,23.072,-1294.190249,-1302.032857,-1309.144416,-1208.416672
gdb_2007,N#CC12CC(C1)O2,6.45255,2.12477,2.1067,4.4634,55.54,-0.266,-0.0089,0.2571,638.5017,0.090627,-323.312375,-323.306806,-323.305861,-323.341661,21.035,-1210.282883,-1217.454056,-1223.97262,-1130.778748
gdb_2010,O=CC12CC(C1)O2,5.93688,2.13799,2.09202,2.2231,54.87,-0.2522,-0.0431,0.2091,652.3392,0.100545,-344.385047,-344.378878,-344.377934,-344.416181,22.114,-1267.813536,-1275.496756,-1282.608943,-1182.83564
gdb_2013,CCC12CC(C1)O2,5.36199,2.10073,2.00897,1.7381,64.35,-0.2308,0.0933,0.3241,734.8427,0.148106,-309.658574,-309.651808,-309.650863,-309.689207,25.842,-1575.444803,-1586.308239,-1595.791783,-1463.666625
gdb_2018,OCC12CC(C1)O2,5.50883,2.16849,2.07586,2.0858,57.13,-0.2433,0.0763,0.3196,679.9535,0.125078,-345.579201,-345.572843,-345.571899,-345.609389,24.234,-1389.304298,-1398.646025,-1406.944204,-1290.361817
gdb_2044,CC1(C)C2CC1O2,4.21553,2.90709,2.1646,1.8593,64.1,-0.2346,0.0917,0.3264,674.4208,0.147654,-309.649998,-309.64326,-309.642316,-309.680057,26.489,-1570.063286,-1580.944292,-1590.428463,-1457.924918
gdb_2046,CC1(O)C2CC1O2,4.43277,2.97719,2.23888,1.8302,56.75,-0.2535,0.0765,0.3299,628.3097,0.12452,-345.584667,-345.578458,-345.577514,-345.614261,24.69,-1392.734263,-1402.169488,-1410.467667,-1293.419041
gdb_2411,CC1C2OC1C2C,4.97086,2.2475,1.89792,1.943,64.56,-0.2343,0.0892,0.3235,745.8129,0.147868,-309.651827,-309.645002,-309.644058,-309.682118,26.299,-1571.211,-1582.037413,-1591.521584,-1459.218214
gdb_2412,CC1C2OC1C2O,5.02232,2.34859,1.96436,1.7702,57.27,-0.2388,0.0633,0.3021,690.9659,0.124389,-345.578846,-345.572337,-345.571393,-345.608816,24.99,-1389.081533,-1398.328505,-1406.626684,-1290.002254
gdb_2416,OC1C2OC1C2O,5.25565,2.40476,2.02173,2.3367,49.73,-0.2539,0.0494,0.3034,639.0396,0.101437,-381.506605,-381.50064,-381.499696,-381.536099,23.166,-1207.416422,-1215.227027,-1222.339214,-1121.153388
gdb_3495,C#CC1C2CC1O2,7.42493,2.01397,1.90689,1.4869,59.77,-0.244,0.0321,0.2761,676.2356,0.101126,-307.206439,-307.200583,-307.199638,-307.235889,22.694,-1292.411261,-1300.291519,-1307.403079,-1206.632664
gdb_3499,N#CC1C2CC1O2,7.42468,2.04823,1.93847,2.2163,54.54,-0.2667,0.0094,0.2761,649.7046,0.090789,-323.312767,-323.307253,-323.306309,-323.34206,20.65,-1210.528867,-1217.734553,-1224.253744,-1131.029124
