mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_715,C1C2C3CC1C23,5.97304,5.2497,4.16578,0.2808,55.83,-0.2442,0.1074,0.3515,420.7831,0.122208,-233.24225,-233.237852,-233.236908,-233.269547,18.147,-1355.06427,-1364.747989,-1372.453799,-1263.946826
gdb_2429,CC12CC3CC1C23,5.23866,2.73732,2.35937,0.2939,67.57,-0.2384,0.1023,0.3407,648.6045,0.149749,-272.537685,-272.531719,-272.530775,-272.566905,24.285,-1636.26172,-1647.627791,-1657.111962,-1523.852896
gdb_2435,OC12CC3CC1C23,5.33869,2.82285,2.42413,1.1259,59.95,-0.2393,0.0812,0.3205,601.6966,0.126184,-308.459279,-308.453652,-308.452708,-308.48816,23.1,-1450.728017,-1460.52908,-1468.827259,-1351.221405
gdb_2486,CC12CC3C(C1)C23,4.74271,2.92135,2.50464,0.2996,67.22,-0.2419,0.093,0.3349,632.1206,0.149594,-272.538255,-272.532309,-272.531365,-272.567413,24.402,-1636.619401,-1647.998021,-1657.482192,-1524.17167
gdb_2490,OC12CC3C(C1)C23,4.81089,3.02856,2.58943,1.0451,59.76,-0.2369,0.0753,0.3122,586.1417,0.125797,-308.462932,-308.457154,-308.456209,-308.492031,23.363,-1453.020307,-1462.726617,-1471.024168,-1353.650492
gdb_3473,CC12C3CC1CC23,4.35733,2.87744,2.5795,0.4827,67.72,-0.2333,0.1046,0.3379,641.0551,0.149997,-272.53819,-272.532181,-272.531237,-272.567531,24.165,-1636.578613,-1647.9177,-1657.401871,-1524.245716
gdb_3477,OC12C3CC1CC23,4.44861,2.96936,2.63772,1.2694,60.07,-0.2323,0.0748,0.3071,595.9731,0.12644,-308.457242,-308.451622,-308.450678,-308.486168,22.965,-1449.449781,-1459.255237,-1467.553416,-1349.971407
gdb_3550,CC1C2C3CC1C23,4.87976,2.79189,2.49675,0.2579,66.76,-0.2433,0.0989,0.3422,636.57,0.150143,-272.533448,-272.52758,-272.526636,-272.562685,23.884,-1633.602965,-1645.030531,-1654.514702,-1521.204808
gdb_3557,OC1C2C3CC1C23,4.99153,2.91736,2.6079,1.4278,59.68,-0.2445,0.079,0.3235,586.4221,0.126757,-308.462382,-308.456812,-308.455868,-308.49132,22.571,-1452.675177,-1462.512008,-1470.810187,-1353.204333
gdb_8512,CC12CC3(C)CC1C23,4.13444,1.79673,1.5692,0.2684,79.13,-0.2364,0.0947,0.3311,917.1513,0.177106,-311.833634,-311.826077,-311.825133,-311.864654,30.549,-1917.781711,-1930.8157,-1942.078232,-1784.004322
gdb_8517,CC12CC3(O)CC1C23,4.20566,1.82823,1.59845,1.0947,71.59,-0.2336,0.0779,0.3115,865.5559,0.153335,-347.758399,-347.751008,-347.750064,-347.789366,29.503,-1734.237838,-1745.598261,-1755.674801,-1613.54213
gdb_8519,CC12CC3C1C3(O)C2,4.18974,1.83041,1.59608,1.1197,71.43,-0.2383,0.0825,0.3209,864.1116,0.15355,-347.755139,-347.747924,-347.74698,-347.785815,29.365,-1732.192159,-1743.663023,-1753.739563,-1611.313845
gdb_8521,OC12CC3(O)CC1C23,4.26335,1.86291,1.62578,2.3052,64.01,-0.2412,0.0734,0.3146,813.2214,0.12975,-383.679391,-383.672354,-383.67141,-383.70999,28.322,-1548.326374,-1558.131202,-1567.02175,-1440.51468
gdb_8552,CC12CC3CC1(C)C23,2.76318,2.60654,1.65723,0.3335,78.98,-0.2333,0.0936,0.3269,868.9893,0.177319,-311.831735,-311.824136,-311.823191,-311.862885,30.417,-1916.590071,-1929.597705,-1940.859609,-1782.894259
gdb_8554,CC12CC3CC1(O)C23,2.89423,2.62899,1.70513,1.3277,71.54,-0.2261,0.0764,0.3025,817.2771,0.153846,-347.755493,-347.748272,-347.747328,-347.78623,29.163,-1732.414297,-1743.881396,-1753.957936,-1611.574261
gdb_8559,OC12CC3CC1(O)C23,3.00221,2.66861,1.74972,1.545,63.91,-0.2182,0.0575,0.2757,766.9342,0.130444,-383.676722,-383.669919,-383.668975,-383.707045,27.737,-1546.651553,-1556.603218,-1565.493765,-1438.666666
gdb_14203,CC12C3CC1CC23O,2.7296,2.41652,1.84709,0.9186,71.76,-0.2297,0.0811,0.3108,821.9874,0.153971,-347.755424,-347.748111,-347.747167,-347.786358,29.1,-1732.370999,-1743.780368,-1753.856907,-1611.654583
gdb_14206,CC12CC3CC1C23C,2.68969,2.35946,1.80632,0.4674,79.21,-0.2279,0.0937,0.3215,870.2627,0.177482,-311.833241,-311.825591,-311.824647,-311.864496,30.318,-1917.5351,-1930.510731,-1941.773262,-1783.905176
gdb_14207,CC12CC3CC1C23O,2.7892,2.37169,1.8454,1.1378,71.7,-0.2286,0.0739,0.3025,823.071,0.154027,-347.752653,-347.74538,-347.744436,-347.783521,29.068,-1730.632171,-1742.06664,-1752.14318,-1609.87434
gdb_14214,OC12CC3CC1C23O,2.80285,2.43898,1.87946,2.1771,64.3,-0.2262,0.0701,0.2964,777.3515,0.130426,-383.672185,-383.665256,-383.664312,-383.702681,27.889,-1543.804544,-1553.677143,-1562.567691,-1435.928217
gdb_14225,CC12CC3C1C2C3O,4.67583,1.70099,1.50051,1.8914,71.27,-0.2414,0.0812,0.3225,891.5206,0.154121,-347.753617,-347.746461,-347.745517,-347.784391,28.772,-1731.23709,-1742.744978,-1752.821517,-1610.420272
gdb_14227,CC1C2C3C1CC23C,4.59359,1.68175,1.48387,0.2662,78.94,-0.2381,0.0977,0.3357,943.4843,0.177533,-311.829377,-311.821918,-311.820973,-311.860398,30.025,-1915.110405,-1928.20589,-1939.467794,-1781.333644
gdb_14228,CC1C2C3C1CC23O,4.70099,1.70016,1.50174,1.1704,71.21,-0.2393,0.0811,0.3204,892.0951,0.153985,-347.751079,-347.743971,-347.743027,-347.781747,28.826,-1729.644472,-1741.18248,-1751.25902,-1608.761139
gdb_14235,OC1C2C3C1CC23O,4.79,1.71875,1.51815,0.9097,63.73,-0.242,0.0751,0.317,840.7025,0.130532,-383.675487,-383.668674,-383.66773,-383.705922,27.579,-1545.876579,-1555.821969,-1564.712517,-1437.961974
gdb_14381,CC1(C)C2C3CC1C23,3.53374,2.12636,1.83073,0.2526,77.56,-0.244,0.0926,0.3367,838.4598,0.177471,-311.824487,-311.817188,-311.816244,-311.855235,29.992,-1912.041886,-1925.237773,-1936.500304,-1778.093815
gdb_14386,CC1(O)C2C3CC1C23,3.65222,2.1528,1.85728,1.1553,70.43,-0.2418,0.0787,0.3205,795.4208,0.15387,-347.750862,-347.743839,-347.742895,-347.781361,28.827,-1729.508303,-1741.099649,-1751.176189,-1608.51892
gdb_14418,CC12C3CC1C(O)C23,2.98961,2.23829,1.70729,1.9687,71.23,-0.2384,0.0755,0.314,840.8031,0.154337,-347.753533,-347.746324,-347.745379,-347.78445,28.696,-1731.184379,-1742.659009,-1752.734921,-1610.457295
gdb_14420,CC1C2C3CC1C23C,3.8862,1.795,1.61697,0.462,78.82,-0.2326,0.0992,0.3318,914.8539,0.177797,-311.829314,-311.821772,-311.820828,-311.860556,29.968,-1915.070872,-1928.114274,-1939.376805,-1781.43279
gdb_14421,CC1C2C3CC1C23O,3.94066,1.8298,1.63723,1.1866,71.06,-0.2307,0.0745,0.3052,863.7455,0.154311,-347.748141,-347.741007,-347.740063,-347.778937,28.727,-1727.800851,-1739.322544,-1749.399083,-1606.997838
gdb_14427,OC1C2C3CC1C23O,4.02538,1.87614,1.68085,1.8581,63.92,-0.2322,0.0703,0.3026,808.0019,0.130954,-383.676521,-383.669711,-383.668767,-383.706998,27.377,-1546.525423,-1556.472696,-1565.363244,-1438.637174
gdb_14469,CC12C3CC1(C)CC23,2.74579,2.29017,1.89943,0.4822,78.83,-0.2313,0.0893,0.3207,857.0734,0.177222,-311.83396,-311.826299,-311.825355,-311.865201,30.479,-1917.986279,-1930.955007,-1942.217539,-1784.347569
gdb_14472,CC12C3CC1(O)CC23,2.77734,2.36433,1.95112,0.7932,71.53,-0.2288,0.0769,0.3056,808.4765,0.153533,-347.759089,-347.751589,-347.750645,-347.7903,29.403,-1734.670819,-1745.962844,-1756.039383,-1614.128223
gdb_14474,CC12CC3C(C1)C23O,2.82003,2.30036,1.93306,1.2781,71.27,-0.2302,0.0688,0.299,812.5657,0.153792,-347.753118,-347.745842,-347.744897,-347.783967,29.221,-1730.923963,-1742.35655,-1752.432462,-1610.154209
gdb_14476,OC12C3CC1(O)CC23,2.86609,2.35946,1.98121,1.6692,63.96,-0.2284,0.0663,0.2947,765.3187,0.129994,-383.677101,-383.669975,-383.669031,-383.707925,28.174,-1546.889379,-1556.638358,-1565.528906,-1439.218874
gdb_16485,CC12C3CC(C13)C2O,2.82795,2.5536,1.76447,1.306,71.28,-0.2405,0.08,0.3205,816.0761,0.154254,-347.757943,-347.750719,-347.749774,-347.788803,28.755,-1733.951694,-1745.416911,-1755.492823,-1613.188842
gdb_16488,CC1C2CC3C2C13C,2.70844,2.52014,1.71176,0.2886,78.22,-0.2377,0.0977,0.3353,867.6539,0.177605,-311.828648,-311.821148,-311.820204,-311.859755,30.07,-1914.652951,-1927.722708,-1938.98524,-1780.930155
gdb_16489,CC1C2CC3C2C13O,2.73034,2.58442,1.74086,1.1156,70.62,-0.2367,0.077,0.3137,821.2645,0.153967,-347.750439,-347.743235,-347.742291,-347.781262,28.947,-1729.242867,-1740.720634,-1750.797173,-1608.456797
gdb_16496,OC1C2CC3C2C13O,2.85199,2.6217,1.79578,1.218,63.66,-0.2412,0.0752,0.3165,769.5198,0.130675,-383.679544,-383.672663,-383.671719,-383.710042,27.576,-1548.422383,-1558.325103,-1567.21565,-1440.547311
gdb_17217,C#CC12CC3CC1C23,5.34244,1.67427,1.52151,0.9814,76.21,-0.2306,0.0423,0.2729,857.8412,0.131068,-309.385702,-309.379183,-309.378239,-309.415988,26.59,-1637.385589,-1647.516722,-1656.407269,-1529.889532
gdb_17223,N#CC12CC3CC1C23,5.32494,1.6931,1.53527,4.5585,70.21,-0.2688,0.0211,0.2899,830.7761,0.12103,-325.493357,-325.487239,-325.486295,-325.523455,24.313,-1556.335899,-1565.829483,-1574.127034,-1455.099245
gdb_17231,O=CC12CC3CC1C23,4.86458,1.77408,1.55182,2.9806,69.82,-0.2437,-0.0222,0.2215,834.3482,0.131256,-346.565048,-346.558539,-346.557595,-346.595711,25.251,-1613.250965,-1623.387746,-1632.278293,-1505.735456
gdb_17237,CCC12CC3CC1C23,4.31597,1.58593,1.52626,0.2951,78.28,-0.2383,0.0935,0.3318,950.8165,0.178303,-311.825774,-311.818471,-311.817527,-311.857169,29.125,-1912.84949,-1926.042867,-1937.305398,-1779.307417
