mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_718,C1C2C3OC1C23,6.29327,5.52309,4.39133,1.7566,48.29,-0.2298,0.084,0.3137,384.9781,0.097855,-269.154939,-269.150758,-269.149814,-269.182103,16.78,-1163.942599,-1171.984754,-1178.504573,-1085.856634
gdb_2432,CC12CC3OC1C23,5.48083,2.78107,2.42181,1.8699,59.89,-0.2245,0.0819,0.3064,610.8271,0.125444,-308.450468,-308.444698,-308.443754,-308.479605,22.938,-1445.199035,-1454.910364,-1463.208543,-1345.853065
gdb_2434,CC12OC3CC1C23,5.49442,2.85847,2.48846,1.6431,60.11,-0.2252,0.0905,0.3157,604.1409,0.125438,-308.45482,-308.44905,-308.448106,-308.483947,22.953,-1447.929954,-1457.641284,-1465.939463,-1348.577709
gdb_2436,OC12CC3OC1C23,5.5915,2.87053,2.48799,0.8225,52.28,-0.22,0.0698,0.2898,564.1492,0.101879,-344.371144,-344.36573,-344.364786,-344.399915,21.728,-1259.089278,-1267.246268,-1274.358455,-1172.628578
gdb_2488,CC12CC3C(O1)C23,4.99234,3.05434,2.62386,1.6347,59.74,-0.2267,0.0851,0.3119,589.1686,0.12522,-308.455402,-308.449654,-308.448709,-308.484455,23.104,-1448.295165,-1458.020299,-1466.317851,-1348.896484
gdb_3475,CC12C3CC1OC23,4.62415,2.90894,2.60583,1.9418,60.09,-0.2255,0.0852,0.3107,606.9366,0.125723,-308.451299,-308.445497,-308.444553,-308.480542,22.811,-1445.720495,-1455.411744,-1463.709923,-1346.441041
gdb_3478,OC12C3CC1OC23,4.72574,3.00347,2.66568,0.9524,52.63,-0.2291,0.0671,0.2962,561.6168,0.10224,-344.370966,-344.365594,-344.36465,-344.39975,21.518,-1258.977582,-1267.160927,-1274.273114,-1172.525039
gdb_3553,CC1C2C3OC1C23,5.13474,2.9277,2.60241,1.6911,59.21,-0.2293,0.0826,0.3119,592.7196,0.125762,-308.448572,-308.442931,-308.441986,-308.47763,22.517,-1444.009278,-1453.801556,-1462.099108,-1344.613735
gdb_3559,OC1C2C3OC1C23,5.24295,3.08593,2.7267,2.1546,51.66,-0.2397,0.0736,0.3133,541.0817,0.102942,-344.379764,-344.37466,-344.373716,-344.408351,20.656,-1264.498406,-1272.849923,-1279.96211,-1177.922244
gdb_8515,CC12CC3(C)OC1C23,4.51218,1.80061,1.60407,1.7106,71.56,-0.2217,0.0849,0.3066,875.4058,0.152708,-347.750898,-347.743503,-347.742559,-347.781868,29.298,-1729.530893,-1740.888806,-1750.965346,-1608.837067
