mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_16,C1CC1,20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,0.081231,-117.824798,-117.821426,-117.820482,-117.849087,11.041,-804.9961556,-810.8790525,-815.6217655,-752.7434812
gdb_43,CC1CC1,15.61472,6.31363,5.54514,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,0.109284,-157.116735,-157.11209,-157.111146,-157.143262,16.49,-1083.99858,-1091.748943,-1098.270017,-1010.65219
gdb_46,C1CC1O,16.79477,6.71015,5.86781,1.3894,34.64,-0.239,0.0775,0.3166,263.966,0.085106,-193.034988,-193.030356,-193.029411,-193.061689,15.679,-896.3683686,-902.3491569,-907.6836109,-836.2461038
gdb_86,CC1(CC1)C,6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,0.137025,-196.409349,-196.403398,-196.402453,-196.437676,22.258,-1363.425827,-1373.02295,-1381.321757,-1268.710874
gdb_88,CC1(CC1)O,6.57648,5.31603,3.98453,1.3822,45.85,-0.2494,0.0776,0.327,401.4888,0.113237,-232.33341,-232.327734,-232.32679,-232.36147,21.17,-1179.440189,-1187.432143,-1194.545585,-1097.672628
gdb_100,CC1CC1C,7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,0.3573,465.3301,0.137341,-196.406419,-196.40034,-196.399396,-196.435152,22.005,-1361.587226,-1371.104027,-1379.403461,-1267.127041
gdb_101,CC1CC1O,7.36997,4.78662,3.53123,1.3092,45.84,-0.2518,0.0822,0.334,418.298,0.113827,-232.32907,-232.323327,-232.322383,-232.357426,20.702,-1176.716799,-1184.666711,-1191.780153,-1095.134982
gdb_104,OC1CC1O,7.51163,5.3853,3.80314,2.4925,38.43,-0.2369,0.0642,0.3011,370.2795,0.090396,-268.251114,-268.245852,-268.244908,-268.278934,19.173,-991.465475,-997.9394854,-1003.866935,-922.6622507
gdb_139,C#CC1CC1,15.9285,3.34091,3.17008,0.8635,48.65,-0.2425,0.0503,0.2928,429.6736,0.090505,-193.963318,-193.958152,-193.957208,-193.990986,18.785,-1084.2226,-1090.758107,-1096.685557,-1015.836042
gdb_142,C1CC1C#N,15.97776,3.43771,3.25625,4.1966,43.5,-0.2931,0.0289,0.322,407.3682,0.080403,-210.071468,-210.066701,-210.065757,-210.098937,16.544,-1003.483527,-1009.380229,-1014.714683,-941.3494687
gdb_145,C1CC1C=O,16.01056,3.17029,3.01951,3.147,44.1,-0.2486,-0.0157,0.2329,436.2586,0.090683,-231.145151,-231.140101,-231.139157,-231.173071,17.457,-1061.648592,-1068.256261,-1074.183711,-993.1641419
gdb_149,CCC1CC1,11.92252,3.07744,2.77702,0.095,52.9,-0.2723,0.0986,0.3709,514.3053,0.137725,-196.40532,-196.399392,-196.398448,-196.434166,21.364,-1360.897594,-1370.509149,-1378.808583,-1266.508317
gdb_152,COC1CC1,13.06284,3.49477,3.12333,1.0906,46.29,-0.244,0.0955,0.3395,452.0432,0.113725,-232.3174,-232.311743,-232.310798,-232.345925,19.738,-1169.393769,-1177.397647,-1184.510461,-1087.918001
gdb_153,C1CC1CO,12.75002,3.20516,2.88061,1.3201,46.01,-0.2601,0.079,0.339,468.6229,0.1143,-232.324966,-232.319256,-232.318312,-232.35363,20.059,-1174.141503,-1182.112122,-1189.225564,-1092.752958
gdb_299,CC1(C)CC1O,5.09266,2.97394,2.52892,1.2792,56.93,-0.2497,0.083,0.3327,599.392,0.141365,-271.621961,-271.61481,-271.613865,-271.652008,26.639,-1456.317867,-1466.050532,-1474.941707,-1353.299087
gdb_300,CC1(O)CC1O,5.24096,3.07084,2.60289,1.9707,49.85,-0.2427,0.0794,0.3221,557.5787,0.117602,-307.546144,-307.539271,-307.538327,-307.575926,25.546,-1272.408784,-1280.538164,-1288.243974,-1182.338653
gdb_301,CC1CC1(C)C,4.93979,2.82688,2.43235,0.0963,64.09,-0.2558,0.0887,0.3445,649.5784,0.16489,-235.698987,-235.691505,-235.69056,-235.729399,27.904,-1640.985608,-1652.2883,-1662.365467,-1525.080931
gdb_302,CC1CC1(C)O,5.09412,2.91073,2.50204,1.2745,56.95,-0.2458,0.0798,0.3256,607.2163,0.141106,-271.623957,-271.616756,-271.615812,-271.654105,26.806,-1457.570375,-1467.271664,-1476.163467,-1354.614973
gdb_398,CC1(CC1)C#C,5.65815,3.06401,2.39381,0.7654,59.61,-0.24,0.0571,0.2972,582.3195,0.118255,-233.255259,-233.2487,-233.247756,-233.284774,24.638,-1363.227534,-1371.555206,-1379.261017,-1273.501905
gdb_399,CC1(CC1)C#N,5.6186,3.15251,2.43943,4.1425,54.31,-0.2853,0.037,0.3224,559.2985,0.108158,-249.363808,-249.357626,-249.356681,-249.393152,22.416,-1282.738838,-1290.4139,-1297.526087,-1199.283278
gdb_404,C1CC1(C#N)N,5.89466,3.14775,2.48009,3.0748,51.03,-0.2722,0.029,0.3012,537.6808,0.09733,-265.408147,-265.402167,-265.401223,-265.437265,21.894,-1161.957788,-1168.870427,-1175.390245,-1084.737785
gdb_405,C#CC1(CC1)O,6.13748,3.07004,2.45758,1.2031,52.54,-0.2424,0.035,0.2774,544.2268,0.094491,-269.176442,-269.170213,-269.169268,-269.205661,23.372,-1177.435925,-1184.192942,-1190.712133,-1100.639491
gdb_406,C1CC1(C#N)O,6.09849,3.15469,2.5059,3.5524,47.42,-0.2828,0.0136,0.2964,521.6025,0.084237,-285.282853,-285.276998,-285.276054,-285.311886,21.226,-1095.605614,-1101.708139,-1107.634961,-1025.069837
gdb_407,CC1(CC1)C=O,5.91437,3.00538,2.3965,2.9392,54.61,-0.2482,-0.0141,0.2341,572.0979,0.118497,-270.439135,-270.432679,-270.431735,-270.468877,23.265,-1341.935527,-1350.327204,-1358.033015,-1252.096318
gdb_410,C1CC1(C=O)O,6.6913,3.03598,2.50133,2.375,48.35,-0.2519,-0.0315,0.2204,528.8623,0.094927,-306.364186,-306.358187,-306.357242,-306.393465,21.796,-1158.571122,-1165.471838,-1171.991029,-1081.556315
gdb_411,CC1(CC1)CO,5.32426,2.84956,2.38565,1.3206,56.77,-0.2616,0.0757,0.3373,610.3779,0.142009,-271.618137,-271.611049,-271.610104,-271.648484,25.913,-1453.918273,-1463.69047,-1472.581645,-1351.087745
gdb_414,CCC1(CC1)C,5.14779,2.74148,2.30804,0.1151,63.52,-0.2627,0.0859,0.3486,658.7763,0.165551,-235.696677,-235.689426,-235.688482,-235.727158,27.138,-1639.536062,-1650.983709,-1661.061504,-1523.674683
gdb_416,CCC1(CC1)O,5.61124,2.75377,2.3805,1.3751,56.44,-0.2519,0.0723,0.3242,618.4343,0.141819,-271.621836,-271.614856,-271.613912,-271.652038,26.023,-1456.239429,-1466.079397,-1474.9712,-1353.317912
gdb_417,CC1(CC1)OC,5.26363,3.09609,2.52678,1.104,56.8,-0.245,0.0897,0.3348,596.0747,0.141327,-271.611366,-271.604301,-271.603357,-271.641692,25.705,-1449.669409,-1459.45604,-1468.347842,-1346.825704
gdb_418,C1CC1(CO)O,5.94194,2.85945,2.4711,2.0651,49.73,-0.2421,0.0639,0.306,568.4896,0.1187,-307.544316,-307.537691,-307.536747,-307.574152,24.458,-1271.261698,-1279.546699,-1287.25251,-1181.225452
gdb_473,CC1C(C)C1C,3.56333,3.56313,2.51002,0.0164,63.6,-0.2571,0.0841,0.3412,642.4422,0.165387,-235.694216,-235.686596,-235.685652,-235.725092,27.583,-1637.991763,-1649.207859,-1659.285653,-1522.37825
gdb_474,CC1C(C)C1O,3.86929,3.62098,2.67648,1.3139,56.45,-0.2441,0.0725,0.3165,589.5057,0.141848,-271.61858,-271.611272,-271.610327,-271.649185,26.227,-1454.196259,-1463.830405,-1472.72158,-1351.527629
gdb_476,CC1C(O)C1O,4.14245,3.72097,2.84576,1.9714,49.27,-0.2301,0.0537,0.2838,539.3304,0.118633,-307.540766,-307.533965,-307.53302,-307.570981,24.471,-1269.034041,-1277.208601,-1284.913784,-1179.235621
gdb_477,OC1C(O)C1O,4.20573,4.20358,3.19021,0.6618,41.57,-0.2552,0.0505,0.3058,476.1977,0.096192,-343.468335,-343.462548,-343.461604,-343.497233,21.828,-1087.249704,-1094.282825,-1100.802643,-1009.739792
gdb_571,C#CCC1CC1,10.85908,1.95333,1.7863,0.6877,58.69,-0.2584,0.0556,0.314,694.8847,0.118801,-233.249538,-233.243054,-233.24211,-233.279588,23.656,-1359.637555,-1368.012291,-1375.718101,-1270.247643
gdb_574,C1CC1CC#N,10.97625,1.97735,1.8089,4.0027,53.78,-0.3029,0.0346,0.3375,669.5084,0.108659,-249.358446,-249.352356,-249.351412,-249.388285,21.499,-1279.374134,-1287.106928,-1294.219742,-1196.229192
gdb_578,N=COC1CC1,12.91115,1.97178,1.85558,3.3988,52.29,-0.2588,0.0211,0.2799,666.8787,0.107686,-286.46722,-286.46095,-286.460006,-286.497552,21.614,-1210.954946,-1218.57416,-1225.686974,-1127.863341
gdb_579,C1CC1CC=O,11.9149,1.76899,1.6621,2.7826,54.2,-0.2458,-0.0201,0.2258,725.196,0.118731,-270.427802,-270.42131,-270.420366,-270.45852,22.45,-1334.823967,-1343.193055,-1350.898865,-1245.597207
gdb_583,C1CC1NC=O,9.03104,2.42288,2.07708,3.5897,50.79,-0.2469,0.0288,0.2757,602.5288,0.108445,-286.498633,-286.492413,-286.491469,-286.528974,21.624,-1230.666886,-1238.317475,-1245.43029,-1147.580929
gdb_584,C1CC1OC=O,13.07302,1.97457,1.86172,3.9549,47.46,-0.2762,0.0022,0.2785,647.0438,0.09542,-306.370119,-306.364013,-306.363068,-306.400339,20.641,-1162.294133,-1169.127706,-1175.646897,-1085.869812
gdb_585,CC#CC1CC1,13.64625,1.58265,1.55333,0.1421,63.06,-0.2264,0.0572,0.2837,812.7972,0.118893,-233.262752,-233.255758,-233.254814,-233.294462,23.778,-1367.929459,-1375.984165,-1383.689975,-1279.581212
gdb_588,CCCC1CC1,10.46011,1.59727,1.52425,0.1174,64.07,-0.2707,0.0954,0.3661,856.0996,0.166165,-235.693825,-235.686573,-235.685628,-235.724945,26.225,-1637.746407,-1649.193426,-1659.270593,-1522.286006
gdb_591,CCOC1CC1,10.98354,1.8194,1.73248,0.9952,57.69,-0.2424,0.0952,0.3376,757.9582,0.14199,-271.611192,-271.60423,-271.603286,-271.641993,24.716,-1449.560223,-1459.411486,-1468.303289,-1347.014584
gdb_592,COCC1CC1,11.38234,1.74877,1.65851,0.9417,57.75,-0.2495,0.0923,0.3419,774.9385,0.142346,-271.606364,-271.599345,-271.598401,-271.637363,24.416,-1446.530609,-1456.346105,-1465.237908,-1344.109218
gdb_595,C1CC1CCO,11.05396,1.62236,1.54412,1.392,56.79,-0.2617,0.0807,0.3424,799.4573,0.142775,-271.61389,-271.606856,-271.605911,-271.644826,24.947,-1451.253242,-1461.059325,-1469.9505,-1348.792317
gdb_598,CC1CC1C#C,6.06795,2.83481,2.21906,0.8753,59.69,-0.24,0.0508,0.2907,602.7793,0.118547,-233.255379,-233.248816,-233.247872,-233.285091,24.264,-1363.302836,-1371.627997,-1379.333808,-1273.700825
gdb_599,CC1CC1C#N,6.09231,2.90988,2.26761,4.1979,54.41,-0.2867,0.0307,0.3174,577.6433,0.108412,-249.363949,-249.35778,-249.356836,-249.393472,22.047,-1282.827316,-1290.510537,-1297.623351,-1199.484081
gdb_606,OC1CC1C#C,6.3441,3.06012,2.36016,1.2269,52.51,-0.2506,0.0359,0.2864,545.6297,0.094612,-269.177232,-269.17084,-269.169895,-269.206904,23.083,-1177.931657,-1184.58639,-1191.105581,-1101.419485
gdb_607,OC1CC1C#N,6.56461,2.98095,2.34689,4.0674,47.52,-0.278,0.0249,0.3029,534.1305,0.08473,-285.284456,-285.2786,-285.277655,-285.313705,20.749,-1096.611511,-1102.713408,-1108.639603,-1026.211276
gdb_608,CC1CC1C=O,6.66589,2.4248,2.01739,3.3091,55.07,-0.2446,-0.0158,0.2288,637.5147,0.118807,-270.434394,-270.427936,-270.426992,-270.464394,22.99,-1338.960506,-1347.350929,-1355.05674,-1249.283195
