mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_162,C1C2CCC12,9.13872,6.09542,4.76786,0.2527,48.92,-0.2519,0.0987,0.3506,350.7167,0.116089,-195.179738,-195.175335,-195.174391,-195.206606,16.868,-1219.685478,-1228.476879,-1235.590321,-1137.425951
gdb_478,CC12CC1CC2,5.88257,3.5926,2.86567,0.3029,60.48,-0.243,0.0951,0.338,542.9521,0.143756,-234.474951,-234.469056,-234.468112,-234.50378,22.864,-1500.743622,-1511.265065,-1520.156868,-1397.216559
gdb_482,OC12CC1CC2,6.06624,3.74807,2.96204,1.1413,53.1,-0.2475,0.0834,0.3309,499.7541,0.120085,-270.397623,-270.392001,-270.391057,-270.426196,21.746,-1315.886373,-1324.801393,-1332.507204,-1225.313606
gdb_665,CC1C2CCC12,5.91086,3.28043,3.20017,0.1799,59.83,-0.2481,0.0932,0.3413,534.5684,0.144219,-234.469383,-234.46358,-234.462636,-234.498209,22.427,-1497.249652,-1507.828826,-1516.720628,-1393.720707
gdb_667,OC1C2CCC12,6.04615,3.50039,3.42472,1.3959,52.57,-0.2452,0.0769,0.3221,485.374,0.120797,-270.394458,-270.388966,-270.388022,-270.422979,21.07,-1313.900307,-1322.896904,-1330.602714,-1223.29491
gdb_688,CC1CC2CC12,6.26967,3.38781,2.82139,0.2782,59.74,-0.2504,0.0931,0.3435,545.883,0.143977,-234.470813,-234.465,-234.464056,-234.49964,22.557,-1498.14699,-1508.719889,-1517.611691,-1394.618672
gdb_691,OC1CC2CC12,6.44379,3.58724,2.94944,1.4055,52.75,-0.25,0.0768,0.3269,499.0357,0.12054,-270.396464,-270.390923,-270.389979,-270.425102,21.241,-1315.15909,-1324.124939,-1331.830749,-1224.627112
gdb_1913,CC12CC1C(O)C2,5.72782,2.06265,1.8091,1.4534,64.36,-0.2448,0.078,0.3228,752.6671,0.148174,-309.691584,-309.684513,-309.683569,-309.722094,27.24,-1596.158875,-1606.830921,-1616.315092,-1484.303514
gdb_1914,CC1CC2(C)CC12,5.56538,2.00293,1.76351,0.3049,71.49,-0.2416,0.0919,0.3336,806.6267,0.171642,-273.765901,-273.758554,-273.75761,-273.7966,28.533,-1779.126694,-1791.403281,-1802.073444,-1654.274994
gdb_1916,CC1CC2(O)CC12,5.69634,2.04985,1.80069,1.0968,63.93,-0.2465,0.083,0.3295,755.4915,0.147979,-309.688191,-309.681127,-309.680183,-309.718614,27.422,-1594.029737,-1604.706175,-1614.190346,-1482.119782
gdb_1919,OC1CC2(O)CC12,5.86137,2.11734,1.85161,1.5198,56.84,-0.2459,0.0733,0.3193,701.3333,0.124521,-345.613396,-345.606614,-345.60567,-345.643626,26.109,-1410.761969,-1419.837631,-1428.13581,-1311.845843
gdb_1929,CC12CC1(C)CC2,3.34607,2.80179,2.09115,0.3154,71.88,-0.2351,0.0889,0.3241,747.3911,0.171348,-273.769835,-273.762367,-273.761423,-273.800602,28.873,-1781.595315,-1793.795972,-1804.466135,-1656.786285
gdb_1931,CC12CC1(O)CC2,3.41345,2.89401,2.14953,1.0365,64.6,-0.2387,0.0827,0.3214,701.3287,0.147743,-309.692993,-309.68579,-309.684845,-309.723541,27.719,-1597.043035,-1607.63225,-1617.115793,-1485.211519
gdb_1935,OC12CC1(O)CC2,3.58459,2.88171,2.16533,2.0516,57.36,-0.2216,0.0728,0.2944,661.756,0.12389,-345.61283,-345.605786,-345.604842,-345.64342,26.653,-1410.406799,-1419.318054,-1427.616233,-1311.716576
