mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_674,C1C2CCOC12,5.9367,4.46406,3.25447,1.3987,51.92,-0.2271,0.0914,0.3186,466.8514,0.121999,-270.417842,-270.412868,-270.411924,-270.445903,19.348,-1328.573977,-1337.895624,-1345.601434,-1237.679926
gdb_2238,CC12CC1CCO2,4.45208,2.72222,2.19008,1.2516,63.42,-0.2241,0.0887,0.3127,678.7449,0.149442,-309.715058,-309.708558,-309.707614,-309.744945,25.465,-1610.889022,-1621.919375,-1631.403546,-1498.642722
gdb_2240,CC12CC1OCC2,4.58747,2.60341,2.12855,1.4675,63.16,-0.2238,0.0895,0.3134,686.5542,0.14951,-309.711468,-309.70496,-309.704016,-309.741379,25.415,-1608.636264,-1619.661597,-1629.145768,-1496.405025
gdb_2247,OC12CC1OCC2,4.6898,2.67486,2.17646,2.3383,55.94,-0.2266,0.0755,0.302,641.0189,0.125807,-345.633122,-345.62692,-345.625976,-345.662734,24.294,-1423.140211,-1432.579829,-1440.878008,-1323.836285
gdb_2465,CC1CC2CC2O1,5.53741,2.28849,1.94851,1.3933,63.51,-0.2331,0.0885,0.3216,718.7505,0.149431,-309.711894,-309.70544,-309.704496,-309.742044,25.134,-1608.903583,-1619.962802,-1629.446973,-1496.822318
gdb_3367,CC1C2CCOC12,4.28113,2.54309,2.39665,1.4292,63.14,-0.2325,0.0855,0.318,671.7024,0.149928,-309.706892,-309.700356,-309.699412,-309.737153,24.848,-1605.764783,-1616.772546,-1626.256717,-1493.753172
gdb_3372,OC1C2CCOC12,4.35567,2.74084,2.56114,1.8339,55.6,-0.237,0.0763,0.3133,611.5821,0.126788,-345.631797,-345.62584,-345.624895,-345.661395,23.129,-1422.308762,-1431.902119,-1440.199671,-1322.99605
gdb_3445,CC1COC2CC12,4.37654,2.72342,2.0338,1.4629,62.63,-0.2268,0.0871,0.3139,691.3805,0.149842,-309.708282,-309.701884,-309.700939,-309.738208,25.026,-1606.637021,-1617.73138,-1627.214923,-1494.415194
gdb_3453,OC1COC2CC12,4.44274,2.80782,2.08059,1.4206,55.29,-0.2355,0.0702,0.3056,644.2851,0.126287,-345.631685,-345.62552,-345.624576,-345.661471,23.829,-1422.238481,-1431.701317,-1439.999496,-1323.043741
gdb_8153,CC1CC2(C)CC2O1,3.97466,1.62619,1.38376,1.4617,74.78,-0.2311,0.0894,0.3205,987.4731,0.177041,-349.005244,-348.997262,-348.996318,-349.037166,31.136,-1888.792677,-1901.559348,-1912.82188,-1755.325278
gdb_8154,CC1CC2(O)CC2O1,4.09481,1.6398,1.3984,1.9837,67.62,-0.2344,0.0769,0.3113,938.6745,0.153286,-384.927392,-384.919697,-384.918753,-384.959055,30.05,-1703.606614,-1714.775647,-1724.852186,-1583.091628
gdb_8156,CC1CC2CC2(C)O1,3.68034,1.72383,1.43322,1.2753,74.85,-0.2288,0.085,0.3137,969.7094,0.176963,-349.008651,-349.000656,-348.999712,-349.040589,31.217,-1890.930601,-1903.689114,-1914.951645,-1757.473241
gdb_8205,CC12CC1(C)OCC2,2.63045,2.38098,1.62315,1.3176,74.46,-0.2208,0.0845,0.3054,895.8697,0.176994,-349.008053,-348.999996,-348.999052,-349.039714,31.511,-1890.55535,-1903.274958,-1914.537489,-1756.924171
gdb_8208,CC12CC1(O)CCO2,2.71938,2.41114,1.66298,2.1437,67.34,-0.2226,0.0748,0.2974,846.523,0.153356,-384.930845,-384.923088,-384.922144,-384.962224,30.352,-1705.773402,-1716.90353,-1726.980069,-1585.080204
gdb_8425,CC1(C)CC2CC2O1,3.72008,1.70826,1.68751,1.3672,73.85,-0.2309,0.0823,0.3132,909.4975,0.176786,-349.00513,-348.997275,-348.99633,-349.036792,31.24,-1888.721141,-1901.567506,-1912.82941,-1755.09059
gdb_11035,CC12CC1C(O)CO2,4.05127,1.72606,1.44389,1.177,67.31,-0.2291,0.0665,0.2956,911.7136,0.153592,-384.927576,-384.919812,-384.918868,-384.95921,29.986,-1703.722076,-1714.84781,-1724.92435,-1583.188892
gdb_11041,CC1COC2(C)CC12,3.9733,1.68745,1.42435,1.3172,74.35,-0.2238,0.0876,0.3114,965.6374,0.177219,-349.005611,-348.997637,-348.996693,-349.03733,31.174,-1889.022973,-1901.794664,-1913.057195,-1755.42819
gdb_12006,CC1(C)COC2CC12,3.119,1.98572,1.73601,1.4087,73.19,-0.2267,0.0838,0.3105,880.1328,0.177339,-348.998873,-348.991103,-348.990159,-349.030208,31.033,-1884.794818,-1897.69452,-1908.957052,-1750.95907
gdb_12014,CC1(O)COC2CC12,3.23182,2.00409,1.75679,1.9428,66.31,-0.228,0.0668,0.2948,838.9731,0.153538,-384.925007,-384.917448,-384.916503,-384.956199,29.944,-1702.110005,-1713.364379,-1723.440291,-1581.299462
gdb_12878,CC12CCOC1C2O,2.65894,2.31161,1.73133,1.875,66.74,-0.2336,0.0796,0.3131,846.2159,0.154278,-384.925218,-384.917666,-384.916722,-384.956617,29.278,-1702.242409,-1713.501176,-1723.577715,-1581.561761
gdb_12880,CC12OCCC1C2O,2.58764,2.37176,1.79702,1.8781,66.9,-0.2334,0.0774,0.3108,838.0361,0.154254,-384.92912,-384.921582,-384.920638,-384.960478,29.321,-1704.690949,-1715.958501,-1726.035041,-1583.984573
gdb_12884,CC1C2CCOC12C,2.42474,2.37017,1.71505,1.3101,74.47,-0.228,0.0824,0.3104,898.1355,0.17735,-349.003619,-348.995499,-348.994554,-349.035668,31.032,-1887.772975,-1900.45305,-1911.714954,-1754.38527
gdb_12887,CC1C2OCCC12C,2.46258,2.31059,1.67211,1.4895,74.36,-0.2307,0.0876,0.3183,904.6027,0.177454,-349.000023,-348.991955,-348.991011,-349.031969,30.936,-1885.516453,-1898.229158,-1909.491689,-1752.064114
gdb_12888,CC1C2OCCC12O,2.5026,2.34431,1.69173,1.4155,67.07,-0.2296,0.0731,0.3027,859.2919,0.153631,-384.922111,-384.914298,-384.913354,-384.953881,29.858,-1700.292739,-1711.387725,-1721.464265,-1579.844896
gdb_12893,OC1C2OCCC12O,2.66246,2.37667,1.75296,1.274,59.5,-0.2333,0.0709,0.3041,801.0075,0.130682,-420.846608,-420.83939,-420.838446,-420.877676,28.107,-1516.580694,-1526.271315,-1535.161863,-1408.807278
gdb_13015,CC12CC1OCC2O,2.53193,2.44334,1.601,1.3775,66.41,-0.2316,0.0679,0.2995,862.2023,0.153934,-384.925548,-384.917849,-384.916905,-384.957062,29.825,-1702.449487,-1713.61601,-1723.692549,-1581.841002
gdb_13022,CC1COC2CC12C,2.47218,2.42416,1.57241,1.5195,73.62,-0.2237,0.0805,0.3042,908.9283,0.177456,-349.001798,-348.993855,-348.99291,-349.033465,31.038,-1886.630281,-1899.421425,-1910.683329,-1753.002867
gdb_13023,CC1COC2CC12O,2.51284,2.47518,1.59263,2.3404,66.43,-0.2257,0.0664,0.2921,864.0145,0.153628,-384.923889,-384.91619,-384.915246,-384.955347,30.001,-1701.40845,-1712.574972,-1722.651512,-1580.764824
gdb_13029,OC1COC2CC12O,2.57896,2.5135,1.63199,1.9921,59.55,-0.2309,0.0588,0.2896,815.1089,0.130182,-420.84639,-420.838964,-420.83802,-420.877678,28.698,-1516.443897,-1526.003997,-1534.894544,-1408.808533
gdb_14174,CC1(C)C2CCOC12,3.74315,1.64827,1.62872,1.4121,74.61,-0.2295,0.0858,0.3153,930.5108,0.177404,-348.999571,-348.991534,-348.99059,-349.031482,30.906,-1885.232819,-1897.964976,-1909.227508,-1751.758517
gdb_14178,CC1(O)C2CCOC12,3.8185,1.66343,1.64074,0.4669,67.19,-0.2248,0.0743,0.2991,884.7699,0.153588,-384.923963,-384.916219,-384.915275,-384.955567,29.827,-1701.454885,-1712.59317,-1722.66971,-1580.902876
gdb_14304,CC1C2CC(C)OC12,3.43575,1.6967,1.60458,1.3035,74.38,-0.2323,0.0828,0.3152,938.1309,0.177647,-349.002232,-348.994309,-348.993365,-349.034268,30.57,-1886.90262,-1899.706314,-1910.968845,-1753.506757
gdb_14309,CC1CC2C(O)C2O1,3.5264,1.79937,1.69577,1.8633,66.71,-0.2355,0.0734,0.3089,867.1066,0.154549,-384.927466,-384.920131,-384.919187,-384.95887,28.807,-1703.65305,-1715.047985,-1725.124525,-1582.975539
gdb_16106,C#CC12CC1CCO2,4.3411,1.70206,1.48697,1.8827,71.2,-0.2261,0.0381,0.2642,880.9922,0.130547,-346.556337,-346.549267,-346.548323,-346.587307,27.752,-1607.784735,-1617.569482,-1626.46003,-1500.46187
gdb_16108,C#CC12CC1OCC2,4.46814,1.63766,1.44274,1.0112,70.98,-0.2274,0.0485,0.2759,891.2049,0.130809,-346.558188,-346.551118,-346.550174,-346.589158,27.743,-1608.946254,-1618.731002,-1627.621549,-1501.623389
gdb_16117,N#CC12CC1CCO2,4.32626,1.72189,1.50131,5.0868,65.6,-0.2544,0.0171,0.2715,854.5433,0.120375,-362.662378,-362.655673,-362.654728,-362.693191,25.599,-1525.722245,-1534.846853,-1543.143777,-1424.678236
gdb_16119,N#CC12CC1OCC2,4.45893,1.65637,1.45627,3.7852,65.49,-0.2551,0.0284,0.2834,864.0104,0.120769,-362.665786,-362.659123,-362.658179,-362.69655,25.473,-1527.860796,-1537.011759,-1545.309311,-1426.786039
gdb_16141,O=CC12CC1CCO2,3.91766,1.79383,1.49134,4.3245,66.02,-0.2431,-0.0176,0.2255,867.8653,0.130829,-383.737503,-383.73054,-383.729596,-383.768691,26.394,-1584.792177,-1594.643441,-1603.533989,-1477.350086
gdb_16143,O=CC12CC1OCC2,3.9666,1.73075,1.4537,2.42,65.7,-0.2414,-0.0191,0.2223,874.9803,0.131056,-383.740716,-383.733757,-383.732813,-383.771903,26.342,-1586.808364,-1596.662138,-1605.552685,-1479.365645
gdb_16170,CCC12CC1CCO2,3.99789,1.61933,1.3904,1.226,74.37,-0.2242,0.0862,0.3104,985.5699,0.177935,-349.003626,-348.99578,-348.994836,-349.035615,30.342,-1887.777368,-1900.62938,-1911.891911,-1754.352012
gdb_16172,CCC12CC1OCC2,4.14612,1.52132,1.32913,1.4673,73.88,-0.2238,0.0859,0.3097,1007.1539,0.178104,-348.999415,-348.991593,-348.990649,-349.031413,30.234,-1885.134927,-1898.001999,-1909.264531,-1751.715219
gdb_16179,COC12CC1OCC2,4.33165,1.62253,1.40968,2.1408,67.12,-0.2272,0.0885,0.3157,932.5023,0.153931,-384.911696,-384.904092,-384.903148,-384.943476,28.793,-1693.757233,-1704.983369,-1715.059908,-1573.315665
gdb_16181,OCC12CC1CCO2,4.04735,1.64617,1.40288,2.4528,67.0,-0.2355,0.0818,0.3172,931.3896,0.154856,-384.925027,-384.917515,-384.91657,-384.956817,28.806,-1702.122555,-1713.406422,-1723.482334,-1581.687263
gdb_16183,OCC12CC1OCC2,4.2135,1.53462,1.33838,1.0651,66.71,-0.2315,0.0754,0.3069,953.7608,0.154925,-384.921189,-384.913678,-384.912734,-384.952939,28.795,-1699.714176,-1710.99867,-1721.075209,-1579.253783
gdb_16669,CC1OC2CC2C1C,2.72782,2.27028,1.6155,1.4031,73.25,-0.2241,0.0794,0.3035,893.9001,0.177751,-348.997356,-348.989558,-348.988614,-349.029083,30.714,-1883.842886,-1896.725019,-1907.98755,-1750.253123
gdb_16670,CC1OC2CC2C1O,3.13763,2.16037,1.56101,1.3891,66.78,-0.2391,0.0695,0.3087,863.2313,0.153725,-384.925245,-384.917485,-384.916541,-384.957225,29.641,-1702.259352,-1713.387597,-1723.464136,-1581.943286
