mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_159,C1CCCC1,6.46711,6.46539,3.72933,0.001,52.0,-0.3078,0.0844,0.3922,414.0869,0.140316,-196.432825,-196.427608,-196.426663,-196.462198,18.624,-1378.157229,-1388.214943,-1396.513749,-1284.09865
gdb_466,CC1CCCC1,6.22174,2.91216,2.1948,0.0756,63.03,-0.3044,0.0828,0.3872,641.8924,0.168121,-235.723792,-235.71718,-235.716236,-235.754746,24.306,-1656.550969,-1668.399594,-1678.477388,-1540.986401
gdb_471,C1CCC(C1)O,5.20474,3.4934,2.76418,1.3247,55.74,-0.2601,0.0738,0.3338,550.8423,0.144785,-271.648392,-271.642208,-271.641264,-271.678618,22.879,-1472.903558,-1483.243023,-1492.134826,-1369.997102
gdb_1350,CC1(CCCC1)C,3.85944,2.16237,2.07352,0.0504,73.18,-0.2969,0.0719,0.3689,796.1568,0.195833,-275.012535,-275.004678,-275.003734,-275.044138,30.228,-1933.549129,-1947.282791,-1959.138946,-1795.893735
gdb_1355,CC1(CCCC1)O,4.04236,2.23226,2.08954,1.2861,66.51,-0.2594,0.068,0.3274,754.8611,0.172177,-310.94266,-310.935106,-310.934161,-310.974251,29.035,-1753.368705,-1765.514769,-1776.184305,-1628.820719
gdb_1889,CC1CCC(C)C1,4.95486,1.79185,1.44223,0.1533,74.22,-0.299,0.0815,0.3805,929.9492,0.196059,-275.0143,-275.006377,-275.005433,-275.046602,29.889,-1934.656683,-1948.348929,-1960.205084,-1797.439917
gdb_1891,CC1CCC(O)C1,4.48326,1.94944,1.64679,1.6282,66.54,-0.2545,0.0659,0.3204,833.71,0.17255,-310.937644,-310.930087,-310.929143,-310.969737,28.622,-1750.22112,-1762.365302,-1773.035465,-1625.988143
gdb_1894,OC1CCC(O)C1,4.38502,2.08807,1.76784,2.5769,59.69,-0.2565,0.0723,0.3287,764.2333,0.149223,-346.861635,-346.854448,-346.853504,-346.893055,27.227,-1566.191555,-1576.790182,-1586.274354,-1454.651203
gdb_2173,CC1CCCC1C,3.29579,2.61041,1.71473,0.1274,73.43,-0.2965,0.0785,0.375,830.2232,0.196419,-275.010289,-275.002547,-275.001603,-275.042396,29.683,-1932.139744,-1945.94557,-1957.801725,-1794.800614
gdb_2174,CC1CCCC1O,3.59653,2.5718,1.89484,1.3559,66.53,-0.2603,0.0684,0.3287,764.9941,0.172695,-310.938583,-310.930911,-310.929967,-310.970575,28.595,-1750.810351,-1762.882369,-1773.552532,-1626.513996
gdb_2180,OC1CCCC1O,3.60712,2.7382,1.79845,0.7072,59.22,-0.252,0.0647,0.3167,732.0326,0.149853,-346.865438,-346.858287,-346.857343,-346.896859,26.8,-1568.577972,-1579.19919,-1588.683361,-1457.038247
gdb_2887,C#CC1CCCC1,6.33786,1.75862,1.47214,0.8513,69.64,-0.2539,0.0599,0.3138,845.963,0.149373,-272.569212,-272.561967,-272.561023,-272.601994,26.623,-1656.045197,-1666.608683,-1676.092854,-1545.871559
