mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_160,C1CCOC1,7.13328,6.90764,3.97481,1.465,45.06,-0.2479,0.0825,0.3304,374.1439,0.116649,-232.351764,-232.346824,-232.34588,-232.380488,16.873,-1190.957489,-1199.41129,-1206.524732,-1109.606594
gdb_467,CC1CCCO1,6.55719,3.16956,2.37365,1.5053,56.51,-0.2379,0.0868,0.3246,586.3351,0.144187,-271.647465,-271.641158,-271.640214,-271.67776,22.689,-1472.321857,-1482.584139,-1491.475941,-1369.458699
gdb_468,CC1CCOC1,6.72379,3.02517,2.29024,1.7082,56.14,-0.2381,0.0839,0.322,594.9572,0.144241,-271.642927,-271.63658,-271.635636,-271.673114,22.656,-1469.474221,-1479.711403,-1488.603205,-1366.543292
gdb_472,OC1CCOC1,5.60949,3.62344,2.87618,1.5931,49.05,-0.2428,0.0712,0.314,508.516,0.120836,-307.56626,-307.560326,-307.559382,-307.595858,21.242,-1285.031755,-1293.750366,-1301.456176,-1194.846162
gdb_1351,CC1(CCCO1)C,3.95366,2.28628,2.17199,1.4135,66.79,-0.2381,0.0787,0.3168,749.0613,0.171716,-310.94019,-310.932627,-310.931683,-310.971715,28.7,-1751.818758,-1763.959174,-1774.629337,-1627.229356
gdb_1352,CC1(CCOC1)C,4.03703,2.21795,2.1344,1.4972,66.33,-0.2434,0.075,0.3184,751.5983,0.17205,-310.932716,-310.925095,-310.924151,-310.964626,28.45,-1747.128756,-1759.232777,-1769.90294,-1622.780945
gdb_1356,CC1(O)CCOC1,4.14556,2.26051,2.13614,1.1467,59.29,-0.2458,0.0683,0.3141,713.3081,0.14846,-346.859213,-346.851913,-346.850969,-346.890853,27.268,-1564.671729,-1575.199447,-1584.683618,-1453.269428
gdb_1888,CC1CC(O)CO1,3.78471,2.50825,2.11449,1.6322,59.98,-0.2407,0.0706,0.3113,709.7029,0.148644,-346.861074,-346.853813,-346.852869,-346.892385,26.898,-1565.839523,-1576.391714,-1585.875885,-1454.230772
gdb_1890,CC1CCC(C)O1,4.81663,2.02164,1.57387,1.2058,67.6,-0.2459,0.0852,0.3311,851.3752,0.172079,-310.942587,-310.934911,-310.933967,-310.974709,28.329,-1753.322897,-1765.392405,-1776.062568,-1629.108118
gdb_1892,CC1COC(C)C1,5.34368,1.86376,1.52908,1.5746,67.48,-0.2369,0.085,0.3219,868.0234,0.172026,-310.938181,-310.9305,-310.929556,-310.970011,28.351,-1750.558092,-1762.624463,-1773.294626,-1626.160081
