mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_45,CN1CC1,16.58914,7.18798,6.11415,1.1353,39.02,-0.2304,0.0968,0.3271,270.5508,0.097671,-173.147782,-173.143343,-173.142399,-173.174073,15.298,-954.8766802,-961.8671305,-967.795208,-887.7595726
gdb_102,CC1CN1C,7.53724,4.74514,3.54049,1.2483,49.79,-0.2199,0.0931,0.313,432.5081,0.125556,-212.438188,-212.432286,-212.431342,-212.466725,20.993,-1232.918388,-1241.657078,-1249.363516,-1144.712585
gdb_140,C#CC1CN1,17.05252,3.4088,3.26202,1.2763,45.22,-0.2422,0.0322,0.2744,408.3613,0.079399,-210.001565,-209.996559,-209.995615,-210.029132,17.704,-959.6187658,-965.3654932,-970.6999472,-897.546203
gdb_143,N#CC1CN1,17.10357,3.50921,3.35299,2.8377,40.21,-0.2775,0.0076,0.2851,386.5557,0.069125,-226.107205,-226.102575,-226.10163,-226.134578,15.572,-877.3046452,-882.3981357,-887.1389662,-821.4877196
gdb_146,O=CC1CN1,12.11336,4.15999,3.92501,2.03,40.19,-0.2639,-0.0381,0.2258,363.3567,0.079887,-247.184334,-247.179519,-247.178575,-247.211988,16.144,-937.6321054,-943.4980595,-948.8325136,-875.3581123
gdb_148,C1CN1C=O,14.7497,3.94953,3.42803,3.2517,40.77,-0.2555,-0.0013,0.2542,383.6013,0.079595,-247.192524,-247.187626,-247.186682,-247.22031,16.197,-942.7714041,-948.585275,-953.919729,-880.5802422
gdb_151,CCN1CC1,12.65097,3.37781,3.01126,1.0617,50.07,-0.2299,0.095,0.3249,474.34,0.126034,-212.439286,-212.433577,-212.432633,-212.467838,20.247,-1233.607393,-1242.467192,-1250.173631,-1145.411003
gdb_154,OCC1CN1,13.52261,3.29848,2.97514,2.9395,42.64,-0.2436,0.0677,0.3113,445.0397,0.103108,-248.364357,-248.358808,-248.357864,-248.392932,19.038,-1050.255538,-1057.438006,-1063.958452,-975.1885191
gdb_304,CC1(CN1C)C,5.05749,3.02686,2.58542,1.1514,60.96,-0.219,0.0873,0.3063,612.8334,0.153033,-251.732828,-251.725481,-251.724536,-251.763141,26.999,-1513.616969,-1524.115195,-1533.599366,-1404.027542
gdb_400,CC1(CN1)C#C,5.918,3.08345,2.40985,1.9146,56.0,-0.2444,0.0441,0.2885,564.5299,0.106988,-249.293044,-249.286674,-249.285729,-249.322437,23.611,-1238.333791,-1245.890882,-1253.003069,-1154.908979
gdb_401,CC1(CN1)C#N,5.87456,3.17277,2.45596,4.9191,50.81,-0.2743,0.0226,0.2969,541.8201,0.096715,-265.399968,-265.393944,-265.393,-265.429201,21.524,-1156.825392,-1163.71042,-1170.230239,-1079.677553
gdb_408,CC1(CN1)C=O,6.11932,3.04137,2.41582,3.0447,50.74,-0.2483,-0.0234,0.2249,553.6489,0.107129,-286.477365,-286.471021,-286.470076,-286.507087,22.432,-1217.321024,-1224.893803,-1232.00599,-1133.84664
gdb_412,CC1(CO)CN1,5.30044,2.98932,2.47639,2.1168,52.8,-0.2463,0.0724,0.3186,582.3057,0.13149,-287.663174,-287.656474,-287.65553,-287.693286,24.487,-1333.575224,-1342.701715,-1351.000522,-1236.974606
