mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_694,OC1CN2CC12,6.88853,3.57139,3.00581,1.7907,49.2,-0.235,0.0621,0.2971,480.0539,0.108991,-286.432515,-286.427104,-286.426159,-286.461069,20.301,-1189.177246,-1197.33549,-1204.447677,-1104.96993
gdb_2037,CC1(C)CN2CC12,4.38412,2.44968,2.16614,1.647,66.82,-0.229,0.0814,0.3104,711.3698,0.160172,-289.799552,-289.792565,-289.791621,-289.829761,27.458,-1651.638829,-1663.252138,-1673.329305,-1532.857022
gdb_2042,CC1(O)CN2CC12,4.57056,2.4829,2.21724,2.551,59.86,-0.2286,0.0684,0.297,669.6086,0.136195,-325.725266,-325.718471,-325.717527,-325.755329,26.471,-1468.690462,-1478.64652,-1487.537695,-1362.931978
gdb_2262,CC12CN1CC2O,3.71259,2.78216,2.14824,1.752,60.53,-0.23,0.0648,0.2949,682.7732,0.136497,-325.730097,-325.723075,-325.72213,-325.76065,26.439,-1471.721958,-1481.535571,-1490.426119,-1366.270953
gdb_3113,C#CC12CN1CC2,6.05924,2.17619,1.88376,1.6551,64.85,-0.2335,0.0191,0.2526,696.3935,0.113408,-287.358011,-287.351719,-287.350774,-287.387818,24.239,-1375.253117,-1383.748334,-1391.452889,-1282.960976
gdb_3121,N#CC12CN1CC2,6.04295,2.211,1.90681,4.5343,59.04,-0.2626,-0.0035,0.2591,671.8379,0.103247,-303.463214,-303.457301,-303.456357,-303.492835,22.067,-1292.664775,-1300.508637,-1307.620824,-1206.633291
gdb_3127,O=CC12CN1CC2,5.47241,2.28743,1.89118,2.8079,58.94,-0.2475,-0.033,0.2145,682.5521,0.113671,-324.538764,-324.532538,-324.531594,-324.568849,22.952,-1352.001398,-1360.537403,-1368.242586,-1259.627681
gdb_3139,OCC12CN1CC2,5.52942,2.01665,1.77633,1.6216,60.2,-0.2365,0.0631,0.2996,746.9279,0.1375,-325.721867,-325.715062,-325.714117,-325.752653,25.42,-1466.557559,-1476.507342,-1485.397889,-1361.252764
gdb_3214,CC1C(O)C2CN12,3.40809,3.21879,2.20192,1.8961,59.79,-0.2297,0.0626,0.2923,661.4908,0.136937,-325.725274,-325.718383,-325.717439,-325.755702,26.024,-1468.695482,-1478.591299,-1487.482474,-1363.166039
gdb_3298,C#CC1CC2CN12,5.86396,2.24736,1.9606,1.6288,62.71,-0.2358,0.0288,0.2647,676.5342,0.113597,-287.353313,-287.347094,-287.34615,-287.383122,23.853,-1372.30508,-1380.846105,-1388.551288,-1280.014194
gdb_3303,N#CC1CC2CN12,5.87758,2.28841,1.99299,3.8892,57.43,-0.2588,0.0065,0.2653,651.1199,0.103318,-303.459637,-303.453774,-303.45283,-303.48928,21.779,-1290.420175,-1298.295413,-1305.4076,-1204.402497
gdb_3306,N#CC1CN2CC12,6.20498,2.1207,1.91025,2.4854,57.25,-0.2605,0.0167,0.2772,670.6073,0.103509,-303.460433,-303.454586,-303.453642,-303.490149,21.647,-1290.919672,-1298.804951,-1305.917138,-1204.947802
gdb_3310,O=CC1CC2CN12,5.4522,2.29105,2.09253,1.5593,56.94,-0.2453,-0.033,0.2122,653.8441,0.113436,-324.530742,-324.524486,-324.523542,-324.561248,22.707,-1346.967521,-1355.484701,-1363.189884,-1254.857985
gdb_3313,O=CC1CN2CC12,5.50326,2.2117,2.1037,2.0513,57.12,-0.2383,-0.0285,0.2098,657.8202,0.113629,-324.531139,-324.524923,-324.523979,-324.561569,22.567,-1347.216642,-1355.758922,-1363.464105,-1255.059416
gdb_3323,COC1CN2CC12,6.43039,1.94104,1.76672,1.6101,60.57,-0.2336,0.0728,0.3064,756.1055,0.137081,-325.712603,-325.705857,-325.704912,-325.743374,24.728,-1460.744316,-1470.731121,-1479.621669,-1355.430108
gdb_3325,OCC1CC2CN12,5.38134,2.11813,1.79228,2.4251,59.69,-0.24,0.0706,0.3106,731.717,0.137909,-325.718957,-325.712366,-325.711421,-325.749432,24.962,-1464.731508,-1474.815577,-1483.706125,-1359.231557
gdb_3328,OCC1CN2CC12,6.38394,1.80598,1.64978,2.6465,59.83,-0.2311,0.0713,0.3024,778.0691,0.137609,-325.715957,-325.709188,-325.708244,-325.746759,25.107,-1462.848981,-1472.821354,-1481.712529,-1357.554226
