mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_48,C1COC1,12.06545,11.77731,6.71997,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,0.086675,-193.034094,-193.029968,-193.029024,-193.060777,12.915,-895.8073755,-902.1056834,-907.4407649,-835.6738156
gdb_96,CC1CCO1,9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,0.11459,-232.33123,-232.325877,-232.324933,-232.359589,18.582,-1178.072219,-1186.266859,-1193.380301,-1096.492284
gdb_97,CC1COC1,10.13697,4.32512,3.50912,1.8995,45.45,-0.2419,0.0814,0.3233,414.1575,0.114694,-232.325947,-232.320548,-232.319604,-232.354576,18.443,-1174.757089,-1182.922863,-1190.036306,-1093.346581
gdb_99,C1C(CO1)O,10.85394,4.52867,3.62328,2.4158,38.58,-0.2465,0.0604,0.3069,374.4087,0.091005,-268.248371,-268.243234,-268.24229,-268.276572,17.344,-989.7442178,-996.2966668,-1002.224117,-921.1800745
gdb_295,CC1(CCO1)C,5.10608,3.28695,2.96998,1.636,56.17,-0.2392,0.0812,0.3205,560.0105,0.141947,-271.626697,-271.619919,-271.618974,-271.656931,24.691,-1459.28975,-1469.256475,-1478.14765,-1356.388314
gdb_296,CC1(COC1)C,5.16119,3.14248,2.83176,1.888,56.09,-0.2425,0.0728,0.3154,569.1031,0.142192,-271.618179,-271.611373,-271.610429,-271.649191,24.362,-1453.944628,-1463.893783,-1472.785586,-1351.531394
gdb_298,CC1(COC1)O,5.46124,3.21403,2.92761,2.486,49.2,-0.246,0.0616,0.3076,527.7516,0.118569,-307.544712,-307.538272,-307.537328,-307.574452,23.305,-1271.510192,-1279.911282,-1287.617093,-1181.413704
gdb_312,CC1CC(C)O1,7.09839,2.5176,2.36131,1.5588,56.92,-0.2399,0.0942,0.3341,627.2141,0.14242,-271.628346,-271.621668,-271.620724,-271.658548,24.277,-1460.324512,-1470.353988,-1479.245791,-1357.402996
gdb_434,CC1COC1C,4.43292,3.8862,2.44563,1.7671,56.23,-0.2398,0.085,0.3248,585.5983,0.142555,-271.620997,-271.61422,-271.613276,-271.651656,24.15,-1455.712948,-1465.680301,-1474.572104,-1353.078204
gdb_435,CC1OCC1O,4.53978,4.15272,2.54101,2.3269,49.4,-0.2442,0.0626,0.3069,539.14,0.118783,-307.544728,-307.538101,-307.537157,-307.575262,23.068,-1271.520232,-1279.803978,-1287.509789,-1181.921987
