mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_92,C1COC1=O,12.44643,5.23328,3.86599,3.9339,35.4,-0.2788,0.0089,0.2878,336.0792,0.068574,-267.106213,-267.101929,-267.100985,-267.13332,14.483,-900.8814133,-906.192022,-910.93348,-845.0017369
gdb_308,CC1CC(=O)O1,9.32445,2.68104,2.36185,4.16,46.42,-0.2737,0.0124,0.2861,549.3072,0.096346,-306.403144,-306.397481,-306.396537,-306.432231,20.176,-1183.017617,-1190.129177,-1196.648995,-1105.882329
gdb_422,CC1COC1=O,5.28041,3.90606,2.48055,3.9998,46.04,-0.2726,0.0099,0.2825,521.9194,0.096641,-306.397746,-306.391983,-306.391039,-306.427029,20.03,-1179.630324,-1186.679132,-1193.198951,-1102.618027
gdb_427,NC1COC1=O,5.44207,3.89064,2.47394,2.9069,42.57,-0.2481,0.0012,0.2493,503.6554,0.085902,-322.439472,-322.433831,-322.432887,-322.468624,19.618,-1057.209593,-1063.445777,-1069.3726,-986.4924662
gdb_431,OC1COC1=O,5.55098,4.00493,2.53231,3.0125,39.11,-0.2674,-0.0058,0.2616,481.5842,0.072889,-342.315546,-342.309972,-342.309028,-342.344721,18.879,-991.7158511,-997.1055259,-1002.439352,-927.7507212
gdb_1137,CC1(CC(=O)O1)C,5.1632,2.0099,1.89504,4.3041,57.07,-0.2696,0.015,0.2846,734.218,0.123755,-345.698757,-345.691694,-345.69075,-345.729482,26.255,-1464.326764,-1473.226097,-1481.524276,-1365.721255
gdb_1304,CC1(COC1=O)C,3.50696,2.57633,2.22623,3.9969,56.57,-0.2679,0.0137,0.2816,686.7649,0.124338,-345.689766,-345.682556,-345.681612,-345.720707,25.972,-1458.684831,-1467.49192,-1475.790099,-1360.214864
gdb_1307,CC1(N)COC1=O,3.56803,2.63832,2.25229,4.1989,53.12,-0.2585,0.0086,0.2671,662.6069,0.113257,-361.731914,-361.724741,-361.723797,-361.762913,25.64,-1336.528909,-1344.470035,-1352.175218,-1244.472711
gdb_1311,CC1(O)COC1=O,3.65301,2.62796,2.2389,3.314,49.68,-0.2625,0.0008,0.2634,648.3864,0.100436,-381.612501,-381.605481,-381.604536,-381.643329,24.923,-1273.867115,-1281.015698,-1288.127257,-1188.441178
gdb_1941,O=C1CC(O1)C#C,8.25538,1.68472,1.59494,3.8907,53.22,-0.2784,0.0006,0.279,741.7742,0.077382,-343.240623,-343.23439,-343.233446,-343.270891,22.38,-1177.528796,-1183.39475,-1189.320945,-1105.378439
gdb_1942,O=C1CC(O1)C#N,8.31485,1.70163,1.60861,3.6205,48.21,-0.3048,-0.0226,0.2823,716.9356,0.066943,-359.342366,-359.336482,-359.335537,-359.372435,20.402,-1092.769273,-1097.965047,-1103.297619,-1026.871415
gdb_1946,O=CC1CC(=O)O1,6.42998,1.91271,1.74179,4.8676,47.88,-0.2766,-0.0503,0.2263,693.6514,0.077251,-380.415966,-380.409727,-380.408783,-380.446784,21.184,-1150.882254,-1156.743816,-1162.670011,-1078.821003
gdb_1965,CCC1CC(=O)O1,6.91956,1.63045,1.44116,4.1185,57.54,-0.2734,0.0127,0.2862,849.9582,0.12481,-345.692143,-345.685151,-345.684206,-345.723385,25.061,-1460.17642,-1469.120306,-1477.417857,-1361.895333
gdb_1971,OCC1CC(=O)O1,7.00548,1.68055,1.47742,2.8699,50.3,-0.2796,0.0025,0.2821,788.3577,0.10167,-381.612648,-381.606056,-381.605112,-381.643529,23.492,-1273.959359,-1281.376516,-1288.488703,-1188.566679
gdb_2192,CC1OC(=O)C1C,3.84376,2.57461,1.76901,4.1896,56.78,-0.2678,0.0133,0.281,732.6435,0.124405,-345.693035,-345.685824,-345.68488,-345.724222,25.78,-1460.736158,-1469.542619,-1477.840798,-1362.420558
gdb_2193,CC1OC(=O)C1N,3.84767,2.6213,1.80235,3.1797,53.3,-0.246,0.0039,0.2499,707.1464,0.113596,-361.735863,-361.728698,-361.727754,-361.767029,25.429,-1339.006942,-1346.953089,-1354.658272,-1247.055538
gdb_2194,CC1OC(=O)C1O,4.0572,2.63134,1.84225,2.9275,49.93,-0.2659,-0.003,0.2629,681.6803,0.100613,-381.612946,-381.605844,-381.6049,-381.6442,24.633,-1274.146357,-1281.243484,-1288.355671,-1188.987738
gdb_2742,O=C1OCC1C#C,4.89006,2.25782,1.68114,3.662,52.63,-0.2692,-0.0024,0.2668,696.9568,0.077691,-343.238086,-343.231809,-343.230865,-343.268454,22.263,-1175.936806,-1181.77515,-1187.701345,-1103.849199
gdb_2743,O=C1OCC1C#N,4.91617,2.28532,1.69718,4.2614,47.88,-0.3039,-0.025,0.2789,673.4281,0.06738,-359.341296,-359.335393,-359.334449,-359.371449,20.201,-1092.097838,-1097.28169,-1102.614889,-1026.252691
gdb_2748,O=CC1COC1=O,4.84537,2.28136,1.76883,3.1806,47.8,-0.2765,-0.0518,0.2247,671.4939,0.077835,-380.417684,-380.411492,-380.410548,-380.448362,20.97,-1151.960314,-1157.851369,-1163.777564,-1079.811212
gdb_2779,CCC1COC1=O,4.28002,2.24838,1.58856,3.9218,56.77,-0.2707,0.0098,0.2805,778.5544,0.125233,-345.686524,-345.6795,-345.678556,-345.717833,24.829,-1456.650447,-1465.574252,-1473.872431,-1358.411403
gdb_2784,CNC1COC1=O,4.36381,2.37775,1.64887,4.3844,53.74,-0.2386,0.0057,0.2443,740.3857,0.113942,-361.718361,-361.711458,-361.710514,-361.74953,24.096,-1328.02428,-1336.134833,-1343.840016,-1236.074758
gdb_2788,COC1COC1=O,4.46035,2.38486,1.65869,3.3045,50.33,-0.2558,-0.0038,0.252,723.4941,0.101175,-381.595252,-381.588423,-381.587479,-381.626469,23.279,-1263.043213,-1270.311649,-1277.423836,-1177.861376
gdb_2792,OCC1COC1=O,4.39888,2.38721,1.66123,3.4062,49.66,-0.2799,-0.0017,0.2782,711.6475,0.102219,-381.607752,-381.601174,-381.60023,-381.638596,23.145,-1270.887075,-1278.313017,-1285.425204,-1185.471178
gdb_6113,CC1(C)OC(=O)C1N,2.82202,1.87819,1.49787,3.3092,64.14,-0.2428,0.0066,0.2494,916.7426,0.141002,-401.031639,-401.023037,-401.022093,-401.064332,31.547,-1620.418373,-1630.129075,-1639.612619,-1506.927095
gdb_6114,CC1(C)OC(=O)C1O,2.92481,1.89205,1.51861,2.987,60.7,-0.2654,-0.0007,0.2647,890.6775,0.127829,-420.909173,-420.900534,-420.899589,-420.942172,30.863,-1555.840795,-1564.639726,-1573.529646,-1449.279099
gdb_6120,CC1C(=O)OC1(C)C,2.79908,1.86425,1.48188,4.3041,67.56,-0.2641,0.0155,0.2795,941.8749,0.151886,-384.98855,-384.979929,-384.978984,-385.021251,31.844,-1741.983809,-1752.571769,-1762.647681,-1622.120178
gdb_6426,CC1(CC(=O)O1)C#C,3.85318,1.5668,1.35131,4.0871,64.0,-0.2741,0.0056,0.2797,920.3766,0.10476,-382.536798,-382.529105,-382.528161,-382.568709,28.544,-1459.190603,-1466.80668,-1474.511236,-1365.573163
gdb_6427,CC1(CC(=O)O1)C#N,3.88565,1.57516,1.36174,4.0862,58.92,-0.2983,-0.0151,0.2832,895.9679,0.094339,-398.639678,-398.632322,-398.631378,-398.671404,26.56,-1375.144558,-1382.082925,-1389.194484,-1287.788403
gdb_6433,CC1(CC(=O)O1)C=O,3.5641,1.6221,1.37627,3.4829,58.15,-0.274,-0.0522,0.2217,903.3728,0.104589,-419.715147,-419.707385,-419.706441,-419.747773,27.495,-1434.430353,-1442.002504,-1449.70706,-1341.005558
gdb_6461,CC1(CO)CC(=O)O1,3.74368,1.48823,1.33236,3.0538,60.78,-0.277,0.0057,0.2826,955.8903,0.129275,-420.909234,-420.901275,-420.900331,-420.94155,29.483,-1555.879073,-1565.10471,-1573.995257,-1448.888788
gdb_6465,CCC1(C)CC(=O)O1,3.70058,1.44453,1.3029,4.2568,67.89,-0.2693,0.0152,0.2845,1017.5859,0.1523,-384.986329,-384.977926,-384.976982,-385.019128,31.137,-1740.590112,-1751.314868,-1761.391408,-1620.787976
gdb_7000,CC1OC(=O)C1(C)C,2.49885,2.05064,1.57032,4.1617,67.43,-0.2635,0.0169,0.2803,920.4847,0.152069,-384.984778,-384.976087,-384.975142,-385.017552,31.766,-1739.616845,-1750.160879,-1760.236791,-1619.799022
gdb_7001,CC1OC(=O)C1(C)N,2.58195,2.05599,1.56774,4.3553,64.05,-0.256,0.012,0.268,898.1802,0.141074,-401.027193,-401.018591,-401.017647,-401.059914,31.39,-1617.628468,-1627.33917,-1636.822714,-1504.154761
gdb_7002,CC1OC(=O)C1(C)O,2.57695,2.07701,1.5723,3.4833,60.56,-0.2586,0.0042,0.2628,880.9209,0.128149,-420.908299,-420.899792,-420.898848,-420.940955,30.732,-1555.292352,-1564.174114,-1573.064662,-1448.51542
gdb_7622,CC(=O)C1CC(=O)O1,4.58477,1.39553,1.18242,2.2838,57.99,-0.2643,-0.0386,0.2257,979.9914,0.105009,-419.721007,-419.713162,-419.712218,-419.75505,27.069,-1438.107556,-1445.627624,-1453.332179,-1345.571941
gdb_7627,NC(=O)C1CC(=O)O1,4.99172,1.39643,1.21957,1.1445,54.37,-0.2628,-0.0052,0.2576,936.6407,0.095416,-435.796262,-435.788891,-435.787947,-435.82869,26.341,-1336.726574,-1343.654901,-1350.766461,-1249.554907
gdb_7633,CC(C)C1CC(=O)O1,4.17027,1.31201,1.26937,4.1042,67.75,-0.2731,0.0123,0.2853,1042.9355,0.152804,-384.980069,-384.971717,-384.970773,-385.013097,30.557,-1736.661905,-1747.418665,-1757.495204,-1617.003469
gdb_7638,CC(O)C1CC(=O)O1,4.35031,1.35819,1.32384,3.5547,60.82,-0.2779,0.0081,0.2861,979.0579,0.129559,-420.908469,-420.900552,-420.899607,-420.940961,29.049,-1555.399028,-1564.651021,-1573.540941,-1448.519185
gdb_8249,O=C1CC(CC#C)O1,6.05274,1.13493,1.01375,3.943,63.68,-0.274,0.0061,0.28,1098.859,0.105739,-382.533469,-382.525903,-382.524959,-382.565911,27.331,-1457.101626,-1464.797396,-1472.501952,-1363.817393
gdb_8252,O=C1CC(CC#N)O1,6.16355,1.13169,1.01454,5.1713,58.76,-0.2935,-0.0082,0.2853,1073.3511,0.095446,-398.639136,-398.631938,-398.630994,-398.671409,25.272,-1374.804448,-1381.841961,-1388.953521,-1287.79154
gdb_8259,O=CCC1CC(=O)O1,6.89136,1.01656,0.93505,2.8303,58.93,-0.2641,-0.0389,0.2252,1158.1171,0.105639,-419.711031,-419.703418,-419.702474,-419.744256,26.218,-1431.847526,-1439.513176,-1447.217732,-1338.798609
gdb_8266,CC#CC1CC(=O)O1,6.64285,0.93257,0.91392,4.5649,67.78,-0.2643,0.0091,0.2734,1267.9762,0.105672,-382.542538,-382.534417,-382.533473,-382.57736,27.51,-1462.792505,-1470.140008,-1477.844563,-1371.001743
