mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_166,c1cnn[nH]1,10.07849,9.91557,4.99818,4.2954,35.66,-0.2641,-0.0023,0.2618,266.8979,0.059084,-242.180146,-242.176561,-242.175617,-242.206312,12.248,-774.4716078,-779.331665,-783.480127,-724.2746529
gdb_728,Cc1cnn[nH]1,9.49204,3.5053,2.60151,4.8091,47.65,-0.251,0.0018,0.2527,483.3848,0.086723,-281.476832,-281.471555,-281.470611,-281.50559,18.283,-1056.454072,-1062.91867,-1068.845492,-985.3855403
gdb_731,Cc1c[nH]nn1,9.39394,3.54635,2.61617,4.1169,47.56,-0.2499,0.0027,0.2526,482.4411,0.086525,-281.476938,-281.471586,-281.470642,-281.506126,18.403,-1056.520588,-1062.938123,-1068.864945,-985.7218851
gdb_745,Cn1ccnn1,9.46656,3.76303,2.73947,4.458,47.81,-0.2576,0.0014,0.2591,465.914,0.086738,-281.469893,-281.46469,-281.463746,-281.498675,17.769,-1052.099787,-1058.610821,-1064.537643,-981.0463156
gdb_758,c1c([nH]nn1)N,9.71187,3.64488,2.66238,5.383,44.26,-0.2234,0.0126,0.236,454.6522,0.075741,-297.520999,-297.515908,-297.514964,-297.549226,18.253,-935.5650908,-941.2572249,-946.5910514,-870.5407257
gdb_761,c1c(nn[nH]1)N,9.64217,3.69719,2.68224,4.0185,44.3,-0.2126,0.0044,0.217,452.8301,0.075973,-297.523583,-297.518606,-297.517662,-297.55163,18.15,-937.186574,-942.9502442,-948.2840707,-872.0492573
gdb_782,c1c(nn[nH]1)O,9.78282,3.77389,2.72332,2.8417,40.29,-0.2326,-0.0042,0.2284,432.8267,0.063735,-317.402836,-317.398234,-317.39729,-317.43057,16.777,-873.6876833,-878.7981166,-883.5389471,-815.0915204
gdb_3634,C#Cc1cnn[nH]1,9.99253,1.97623,1.64993,4.0454,58.04,-0.2523,-0.0389,0.2135,676.362,0.068171,-318.323005,-318.317441,-318.316496,-318.352268,20.287,-1056.420814,-1061.817392,-1067.149963,-989.9130178
gdb_3637,C#Cc1c[nH]nn1,9.87528,1.98682,1.65404,4.3471,57.1,-0.2438,-0.015,0.2288,677.1945,0.068028,-318.32151,-318.315953,-318.315009,-318.350741,20.396,-1055.482688,-1060.883658,-1066.216857,-988.9548115
gdb_3654,Cc1c(nn[nH]1)C,3.55692,3.39488,1.77537,4.6004,59.43,-0.2382,0.0054,0.2436,697.4367,0.114074,-320.773105,-320.765963,-320.765019,-320.805258,24.383,-1338.177375,-1346.137954,-1353.843137,-1246.741156
gdb_3658,Cc1c(nn[nH]1)N,3.67375,3.44432,1.80484,4.1563,56.2,-0.2096,0.0069,0.2164,668.4957,0.103635,-336.819674,-336.812929,-336.811984,-336.850301,23.976,-1218.79567,-1226.11619,-1233.22775,-1132.779247
gdb_3661,Cc1c([nH]nn1)N,3.66546,3.44857,1.80303,5.1193,56.13,-0.215,0.0147,0.2297,668.644,0.103211,-336.817321,-336.810451,-336.809507,-336.848254,24.268,-1217.319142,-1224.561223,-1231.67341,-1131.494736
gdb_3665,Cc1c(nn[nH]1)O,3.73929,3.47163,1.82073,3.3047,52.42,-0.2219,-0.0004,0.2215,648.674,0.091261,-356.699649,-356.693192,-356.692248,-356.730236,22.826,-1155.749841,-1162.362531,-1168.881722,-1076.445881
gdb_3714,CCc1cnn[nH]1,7.11252,1.87822,1.63886,4.871,58.79,-0.2501,0.0024,0.2525,762.3412,0.115437,-320.764569,-320.758051,-320.757107,-320.795711,23.043,-1332.820958,-1341.173103,-1348.878286,-1240.750328
gdb_3717,CCc1c[nH]nn1,7.05638,1.90454,1.65301,4.0273,58.84,-0.2496,0.0024,0.2519,759.0825,0.115359,-320.764992,-320.758501,-320.757557,-320.79604,23.119,-1333.086395,-1341.455482,-1349.160665,-1240.956778
gdb_3731,CCn1ccnn1,7.03098,2.00382,1.76024,4.5391,58.79,-0.2554,0.0031,0.2585,729.4899,0.115235,-320.761312,-320.75488,-320.753935,-320.792587,22.628,-1330.777162,-1339.183272,-1346.887828,-1238.78999
gdb_3739,Cc1cn(nn1)C,7.6649,2.03642,1.64206,4.2223,60.23,-0.2439,0.006,0.2499,754.2101,0.114118,-320.766684,-320.759646,-320.758702,-320.798504,23.909,-1334.14814,-1342.17398,-1349.879163,-1242.502961
gdb_3741,Cn1cc(nn1)N,7.91751,2.07805,1.66727,4.0477,57.06,-0.2081,0.0075,0.2155,719.7891,0.103619,-336.813559,-336.806946,-336.806002,-336.843992,23.605,-1214.958453,-1222.361804,-1229.473991,-1128.820293
gdb_3743,Cn1cc(nn1)O,8.03971,2.09599,1.68027,3.0658,52.77,-0.227,-0.0003,0.2266,696.8324,0.091379,-356.693135,-356.6869,-356.685956,-356.723234,22.267,-1151.662248,-1158.414244,-1164.933435,-1072.052063
gdb_3768,Cc1cnnn1C,3.94842,3.32825,1.84784,4.8814,59.28,-0.2455,0.0071,0.2526,674.6334,0.114432,-320.766344,-320.759525,-320.758581,-320.797188,23.725,-1333.934787,-1342.098051,-1349.803234,-1241.677159
gdb_3769,Cn1c(cnn1)N,4.04827,3.40886,1.87903,5.3839,55.99,-0.2197,0.017,0.2368,646.0584,0.103569,-336.811099,-336.80446,-336.803515,-336.841556,23.554,-1213.414781,-1220.801817,-1227.913376,-1127.291681
gdb_3770,Cn1c(cnn1)O,4.11214,3.44393,1.8967,4.5328,51.95,-0.2333,0.0149,0.2482,626.6552,0.091046,-356.687774,-356.68132,-356.680376,-356.718237,22.537,-1148.298172,-1154.912744,-1161.431935,-1068.916401
gdb_3781,CNc1cnn[nH]1,7.88933,1.994,1.61143,5.6746,56.06,-0.2145,0.015,0.2295,730.9188,0.103946,-336.802871,-336.796432,-336.795488,-336.833246,23.012,-1208.251637,-1215.764175,-1222.876362,-1122.077081
gdb_3784,CNc1c[nH]nn1,7.86683,2.00312,1.62499,4.0423,56.14,-0.2023,0.007,0.2093,729.4535,0.10403,-336.805704,-336.799304,-336.79836,-336.836067,22.928,-1210.02937,-1217.56638,-1224.678567,-1123.847284
gdb_3801,COc1c[nH]nn1,7.97015,2.13437,1.70157,2.7579,52.26,-0.2247,-0.0013,0.2234,688.7394,0.09173,-356.679691,-356.673566,-356.672621,-356.709894,21.518,-1143.226017,-1150.047039,-1156.565603,-1063.681093
